	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_NEURON_PROJECTION	BRSK2 C1QL1 CAMK2B CHRM4 FZD4 KCNB2 KCNJ2 MPP2 NEFL PRKCG S100A1 SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 UCN3	BASP1 CACNA1G ELFN1 FZD4 KCNAB2 LHFPL4 NTRK2 PCSK2 PTPRN2 RAP1GAP2 SAMD14 SCN1B SORCS2	ATP1A3 ELFN1 FZD4 KCNB2 KCNJ2 SV2B	AP3B2 BRSK1 BRSK2 C1QL1 CACNA1C CADM2 CDK5R1 CDK5R2 CNGA3 CNIH2 DNER DSCAML1 KCNIP3 KCNJ11 KCNN3 LGI3 MAP2 MAP6 PSD SLC12A5 SNAP25 SYN1 SYP	ANK2 ARHGAP33 BSN CACNA1C CERKL CHRM4 CHRNA5 CNGA3 CPLX2 CRH FRMPD4 HAP1 KCNB2 KCNC1 KCNJ2 KIF5A KIRREL3 KNDC1 LGI3 MAP1A MAP1B MAP9 MAST1 MYO3A NEFM PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SRCIN1 SSTR3 SV2A SV2B SYP TMOD2 UCN3 UNC80 USH2A	ATP1A3 BAALC BRS3 CACNA1G CERKL CHRNA5 CRMP1 DDC EPHA4 GABBR2 GABRB3 GABRG2 HAP1 NEFM PTPRN2 STMND1 TMOD2 UCN3 UNC13A VSTM2L	CHRNA3 CHRNA5 CHRNB2 KCNC1 S100A1 SLC18A1 STMN2 STX1A TMOD2 TUBB4A UNC80 VCAN	AP3B2 DNER MAP6 PRKCG SSTR1 STX1A SYT5	CACNA1C CACNA1G KIAA1549 LGI3 NTRK2 PCSK1 PTPRN STMND1 SV2B	BOC CACNA1G CACNA1H CERKL KIAA1549 KIF1A LZTS1 MAP9 PTPRN2 TTLL7 USH2A	ADORA2A ARHGAP33 BAALC BASP1 BRSK1 CACNA1G CDK5R2 GRIK5 KCNAB2 KIAA1549 KIF1A KIRREL3 NTRK2 SNAP25 SORCS2 SPTBN4 USH2A	ADCY2 ANK2 ARHGAP33 ATP1A3 BAALC BASP1 BOC BRS3 BRSK1 BSN CACNA1C CDK5R2 CERKL CHL1 CHRNA5 CNIH2 CPLX2 DNER FRMPD4 FZD4 GABRA1 GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KCNN3 KIF5A KIRREL3 LGI3 MAP1A MAP1B MAP2 MAP6 MAPK10 MPP2 MYO3A NEFM NFASC NTS PALMD PCSK1 PCSK2 PSD RET S100A1 SAMD14 SCGN SCN1B SEZ6 SLC12A5 SLC18A1 SNAP25 SPTBN4 SRCIN1 STMND1 STX1A SV2A SV2B SYP UCHL1 UCN3 UNC80 USH2A VCAN	ADCY2 ADORA2A BAALC BRSK1 C1QL1 CACNA1C CACNA1G CDK5R2 CNGA3 DDC DSCAML1 GABRA1 GHRL INSRR KIRREL3 MAP6 MPP2 MYO3A NTRK2 P2RX6 PCSK1 PCSK2 PTPRN SEZ6 STMN3 SYN1 UCHL1	CRH S100A1 SCN1B TAC1 USH2A	ARHGAP33 ATP1A3 C1QL1 CDK5R2 CHRM4 CPLX2 CRH GRIK5 KNDC1 LGI3 MAST1 MYO3A NCS1 RAP1GAP2 SPTBN4 SSTR3 STMN3 SYP	BRS3 CAMK2B CNIH2 CPT1C GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 RET S100A1 SCGN SCN1B SEZ6 SYP
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B	FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 FXYD1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC14A1 SNAP25	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CLCA4 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC14A1 SLC26A7 TRPM3 UNC80	CACNA1E CACNA1G CHRNA5 CLCA1 GABRB3 GABRG2 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 CACNA1A CACNA1C CHRNA5 CLCA4 GABRA1 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC14A1 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6 SLC14A1			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_PEPTIDE_HORMONE_SECRETION	BRSK2 SLC30A8 SNAP25 STX1A UCN3			BAIAP3 BRSK2 CACNA1C KCNJ11 RAPGEF4 RFX6 SCT SNAP25	BAIAP3 CACNA1C CACNA1E CACNA2D2 CPE CRH GIP PTPRN SFRP1 SLC30A8 STXBP5L UCN3	CACNA1E FFAR2 PTPRN2 UCN3	ADCY5 GIP STX1A STXBP5L	CHGA STX1A STXBP5L	CACNA1C CACNA1E CHGA PTPRN SCT SLC30A8	CACNA1E CACNA2D2 ITPR1 PTPRN2		ABCC8 BAIAP3 CACNA1A CACNA1C CHGA FFAR1 GIP ISL1 SNAP25 STX1A STXBP5L UCN3 VGF	BAIAP3 CACNA1C CPE GHRL ISL1 NEUROD1 PTPRN RFX6 SCT VGF	CRH SCT VGF	CPE CRH	ITPR1 KCNJ11 VGF
GO_PERIKARYON		PCSK2 SCN1B SORCS2		CACNA1C CDK5R1 CNGA3 RTN4RL1	CACNA1C CNGA3 CPLX2 CRH KCNB2 KIF5A KNDC1 MAP1B PCSK2 PTPRN SCN1B				AIF1 CACNA1C PTPRN RTN4RL1		GRIK5 SORCS2	CACNA1C CPLX2 GRIK5 KCNB2 KIF5A MAP1B MAPK10 PCSK2 SCN1B	AIF1 CACNA1C CNGA3 PCSK2 PTPRN	CRH SCN1B	AIF1 CPLX2 CRH GRIK5 KNDC1	
GO_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS													GHRL SCT	CRH SCT TAC1		
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT													AVPR1B GHRL	AVPR1B CES1 CRH TAC1		
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS									AIF1 AKT3 CHGA NEGR1 NTRK2 PAX6 PDGFD PROX1 SCT VASH2					AVPR1B CRH ISLR2 NEUROG3 PDGFD RGS4 S100A1 SCN1B SCT TAC1 TP73		AGT AIF1 ATOH8 CAMK1 CAMK2B GRIN1 MAP6 RET S100A1 SCN1B SCN3B SPON2
GO_POSITIVE_REGULATION_OF_SECRETION	SLC30A8 SPP1 STX1A UCN3			BAIAP3 CDK5R2 RFX6 SCT	AGT AVPR1B BAIAP3 CACNB2 CRH GIP SLC30A8 UCN3		CHRNB2 GIP STX1A	AIF1 STX1A	AIF1 CACNA1G SCT SLC30A8	CACNA1G CACNA1H CADPS	ADORA2A CACNA1G CDK5R2 ISL1	AGT BAIAP3 CDK5R2 FFAR1 GIP ISL1 SPP1 STX1A UCN3	ADORA2A AGT AIF1 AVPR1B BAIAP3 CACNA1G CDK5R2 CXCL12 GHRL ISL1 RFX6 SCT	AVPR1B CRH SCT TAC1	AIF1 CDK5R2 CRH NCS1	
GO_POSTSYNAPSE	CHRM4 IGSF21 KCNJ2 MPP2 NEFL PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 STX1A SYN1	ADCY1 FXYD6 KCNAB2 LHFPL4 NTRK2 SAMD14 SORCS2		CACNA1C CDK5R1 CNIH2 FXYD6 KCTD16 LIN7A LRFN2 MAP2 PSD SNAP25 SYN1	ANK2 ARHGAP33 BSN CACNA1C CALY CHRM4 CHRNA5 CPLX2 FRMPD4 FXYD6 HAP1 KCNC1 KCNJ2 LRFN2 MAP1B PCDH17 PRKCG PSD SAMD14 SLC6A17 SLC8A1 SRCIN1	ADCY1 BAALC CHRNA5 EPHA4 GABBR2 GABRB3 GABRG2 HAP1 IGSF21 RGS9	ADCY1 CHRNA3 CHRNA5 CHRNB2 KCNC1 STX1A	ADCY1 PRKCG STX1A		ADCY1 ITPR1 KIF1A LZTS1	ADORA2A ARHGAP33 BAALC GRIK5 KCNAB2 KIF1A LIN7A NTRK2 SNAP25 SORCS2	ANK2 ARHGAP33 BAALC BSN CACNA1C CHRNA5 CNIH2 CPLX2 EFNB3 FABP5 FRMPD4 GABRA1 GRIK5 HAP1 IGSF21 KCNMA1 LRRTM3 MAP1B MAP2 MPP2 PALMD PSD SAMD14 SEZ6 SNAP25 SRCIN1 STX1A	ADORA2A BAALC CACNA1C CALY GABRA1 GHRL LRFN2 MPP2 NTRK2 P2RX6 SEZ6 SYN1		ARHGAP33 CHRM4 CPLX2 GRIK5 NCS1	CAMK1 CNIH2 CPT1C EFNB3 GRIN1 ITPR1 LZTS1 MPP2 P2RX6 SEZ6
GO_POTASSIUM_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNAB2 KCNMB2	KCNB2 KCNH7 KCNJ2 KCNK17	KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2	KCNE4 KCNK3	KCNC1 KCNE4			HCN4 KCNH6 KCNK3	GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 SNAP25	KCNH2 KCNJ6 KCNK3			HCN4 KCNH2 KCNJ11
GO_POTASSIUM_CHANNEL_COMPLEX	KCNB2 KCNJ2 SNAP25 STX1A	KCNAB2 KCNMB2	KCNB2 KCNJ2	KCNIP3 KCNJ11 SNAP25	KCNB2 KCNC1 KCNJ2 KCNJ3		KCNC1 KCNE4 STX1A				GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNJ3 KCNMA1 KCNMB2 SNAP25 STX1A	KCNH2 KCNJ6			HCN4 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNAB2 KCNMB2	ATP1A3 KCNB2 KCNH7 KCNJ2 KCNK17	KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2	ATP1A3 KCNE4 KCNK3	KCNC1 KCNE4			HCN4 KCNH6 KCNK3	GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ATP1A3 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 SLC12A5 SNAP25	KCNH2 KCNJ6 KCNK3		ATP1A3 GRIK5	HCN4 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN RGS4 SNAP25		ATP1A3 FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17	FXYD1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	ANK2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 WNK3	ATP1A3 KCNE4 KCNK3				HCN4 KCNH6 KCNK3	KCNAB2 KCNE4 SNAP25	ABCC8 ANK2 ATP1A3 DPP10 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 SLC12A5 SNAP25	FXYD1 KCNH2 KCNJ6 KCNK3			HCN4 KCNH2 KCNJ11
GO_PRESYNAPSE	C1QL1 IGSF21 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 UCN3	CADPS FXYD6 KCNAB2 NTRK2 PTPRN2 STX2		BAIAP3 BRSK1 C1QL1 CDK5R1 FXYD6 KCNIP3 KCTD16 LGI3 LIN7A PDE2A SNAP25 SVOP SYN1 SYP	ATP6V1G2 BAIAP3 BSN CACNB2 CPLX2 FXYD6 HAP1 KCNC1 KCNJ3 KIRREL3 LGI3 PCDH17 PDE2A PRKCG PTPRN SLC6A17 SLC8A1 SRCIN1 SV2A SV2B SVOP SYP UCN3 USH2A	ATP6V1G2 DDC EPHA4 HAP1 IGSF21 PTPRN2 RAB3C UCN3 UNC13A	CHRNB2 KCNC1 SLC18A1 STX1A	PRKCG STX1A SYT5	CADM3 EFNB3 LGI3 NTRK2 PTPRN SV2B	CADPS KIF1A PTPRN2 RAB3C USH2A	ADORA2A AMPH BRSK1 GRIK5 KCNAB2 KIF1A KIRREL3 LIN7A NTRK2 SNAP25 STX2 USH2A	AMPH ATP6V1G2 BAIAP3 BRSK1 BSN CPLX2 EFNB3 GRIK5 HAP1 IGSF21 KCNIP3 KCNJ3 KIRREL3 LGI3 NTS RAB26 RAB3C SCGN SLC18A1 SNAP25 SRCIN1 STX1A STX2 SV2A SV2B SVOP SYP UCN3 USH2A	ADORA2A BAIAP3 BRSK1 C1QL1 DDC KIRREL3 NTRK2 PTPRN RAB26 SVOP SYN1		C1QL1 CPLX2 GRIK5 LGI3 NCS1 SYP	CADM3 EFNB3 GRIN1 PDE2A SCGN SYP
GO_REGULATION_OF_HEART_RATE	KCNJ2 RGS4 SLC8A1	CACNA1G SCN1B			AGT ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 RGS4 SCN1B SCN3B SLC8A1	CACNA1G KCNE4			CACNA1C CACNA1G	CACNA1G HCN4 KCNH6	CACNA1G KCNE4 SPTBN4	AGT ANK2 CACNA1C HCN4 KCNH6 KCNJ3 RGS4 SCN1B SPTBN4	AGT CACNA1C CACNA1G KCNH2	RGS4 SCN1B TAC1		AGT HCN4 KCNH2 SCN1B SCN3B
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION		CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B	CACNA1G KCNE4			CACNA1C CACNA1G	CACNA1G HCN4 KCNH6	CACNA1G KCNE4	ANK2 CACNA1C HCN4 KCNH6 KCNJ3 SCN1B	CACNA1C CACNA1G KCNH2			HCN4 KCNH2 SCN1B SCN3B
GO_REGULATION_OF_HORMONE_LEVELS	ADH6 BRSK2 CHST8 FZD4 SLC30A8 SNAP25 SPP1 STX1A UCN3	FFAR2 FZD4 PCSK2 PTPRN2		BAIAP3 BRSK2 CACNA1C CHST8 KCNJ11 RAPGEF4 RBP1 RFX6 SCT SNAP25	AGT BAIAP3 CACNA1C CACNA1E CACNA2D2 CHST8 CPE CRH CYP27C1 GIP PCSK2 PTPRN SFRP1 SLC30A8 STXBP5L UCN3	CACNA1E DHRS2 FFAR2 PTPRN2 UCN3	ADCY5 CYP27C1 GIP STX1A STXBP5L TTR	CHGA STX1A STXBP5L	CACNA1C CACNA1E CHGA PCSK1 PTPRN RBP1 SCT SLC30A8	CACNA1E CACNA1H CACNA2D2 ITPR1 PTPRN2		ABCC8 ADH6 AGT BAIAP3 CACNA1A CACNA1C CES1 CHGA DHRS2 DKK3 FFAR1 FZD4 GIP ISL1 PCSK1 PCSK1N PCSK2 SCG5 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF	AGT BAIAP3 CACNA1C CPE GHRL ISL1 NEUROD1 PCSK1 PCSK2 PTPRN RFX6 SCG5 SCT VGF	CES1 CRH SCT TAC1 VGF		
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1	CACNA1G FXYD6 KCNAB2 SCN1B	FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 WNK3	AGT ANK2 CACNA1C CACNA1E CACNA2D2 CACNB2 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN RGS4 SCN1B SCN3B SLC8A1 WNK3	CACNA1E CACNA1G HAP1 HECW2 KCNE4 RGS9	HECW2 KCNC1 KCNE4 S100A1		CACNA1C CACNA1E CACNA1G GSTM2	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 KCNH6		AGT ANK2 CACNA1A CACNA1C CNIH2 DPP10 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B	AGT CACNA1C CACNA1G FXYD1 GSTM2 KCNH2 KCNJ6	CRH RGS4 S100A1 SCN1B		AGT CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_ION_TRANSPORT	CAMK2B KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1		FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 WNK3	AGT ANK2 AVPR1B CACNA1C CACNA1E CACNA2D2 CACNB2 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN RGS4 SCN1B SCN3B SLC8A1 SV2A WNK3	CACNA1E CACNA1G HAP1 HECW2 KCNE4 RGS9	CHRNA3 CHRNB2 HECW2 KCNC1 KCNE4 S100A1			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 KCNH6	ADORA2A CACNA1G KCNAB2 KCNE4 SPTBN4	AGT ANK2 CACNA1A CACNA1C CES1 CNIH2 DPP10 FFAR1 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B SPTBN4 SV2A	ADORA2A AGT AVPR1B CACNA1C CACNA1G CXCL12 FXYD1 GSTM2 KCNH2 KCNJ6	AVPR1B CES1 CRH RGS4 S100A1 SCN1B		AGT CAMK2B CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_MEMBRANE_POTENTIAL	KCNJ2 KCNK17 MPP2 NALCN RGS4 SEZ6 SLC8A1 STX1A UCN3	ASIC1 CACNA1G KCNAB2 KCNMB2 NTRK2 SCN1B SLC25A27	ATP1A3 FXYD1 GRIN2C KCNH7 KCNJ2 KCNK17	CACNA1C CELF4 CNIH2 FXYD1 KCNH8 KCNJ11	ANK2 CACNA1C CACNA1E CACNB2 CELF4 CHRNA5 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 MLLT11 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC8A1 UCN3	ATP1A3 CACNA1E CACNA1G CHRNA5 GABRB3 GABRG2 KCNE4 KCNK3 UCN3	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 STX1A		CACNA1C CACNA1E CACNA1G CELF4 NTRK2	CACNA1E CACNA1G CACNA1H HCN4 KCNH6 KCNK3	ADORA2A CACNA1G GRIK5 KCNAB2 KCNE4 MLLT11 NTRK2	ANK2 ASIC1 ATP1A3 CACNA1A CACNA1C CHRNA5 CNIH2 FGF14 GABRA1 GRIK5 HCN4 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 MLLT11 MPP2 NALCN RGS4 SCN1B SEZ6 STX1A UCN3	ADORA2A CACNA1C CACNA1G FXYD1 GABRA1 GHRL KCNH2 KCNK3 MLLT11 MPP2 NTRK2 P2RX6 SEZ6	RGS4 SCN1B TAC1		CNIH2 FGF14 GRIN1 HCN4 KCNH2 KCNJ11 MPP2 P2RX6 SCN1B SCN3B SEZ6
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	PRKCG STX1A SYN1	ADCY1 ASIC1		BAIAP3 SYN1 SYP	BAIAP3 CACNB2 CHRNA5 CPLX2 PRKCG STXBP5L SYP	ADCY1 CHRNA5 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 STX1A STXBP5L	ADCY1 PRKCG STX1A STXBP5L			ADORA2A GRIK5	ASIC1 BAIAP3 CHRNA5 CPLX2 GRIK5 STX1A STXBP5L SYP	ADORA2A BAIAP3 SYN1		CPLX2 GRIK5 NCS1 SYP	
GO_REGULATION_OF_SECRETION	BRSK2 PRKCG SLC30A8 SNAP25 SPP1 SRCIN1 STX1A SYN1 UCN3	ADCY1 ASIC1 CACNA1G CADPS FFAR2		BAIAP3 BRSK2 CACNA1C CDK5R2 KCNJ11 LGI3 RAPGEF4 RFX6 SCT SNAP25 SYN1 SYP WNK3	AGT AVPR1B BAIAP3 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CPLX2 CRH GIP HAP1 LGI3 PRKCG SFRP1 SLC30A8 SRCIN1 STXBP5L SV2A SYP UCN3 WNK3	ADCY1 CACNA1E CACNA1G CHRNA5 FFAR2 HAP1 RAB3C UCN3 UNC13A	ADCY1 ADCY5 CHRNA3 CHRNA5 CHRNB2 GIP STX1A STXBP5L	ADCY1 AIF1 CHGA PRKCG STX1A STXBP5L SYT5	AIF1 CACNA1C CACNA1E CACNA1G CHGA LGI3 SCT SLC30A8	ADCY1 CACNA1E CACNA1G CACNA1H CACNA2D2 CADPS ITPR1 RAB3C	ADORA2A CACNA1G CDK5R2 GRIK5 ISL1 SNAP25	ABCC8 AGT ASIC1 BAIAP3 CACNA1A CACNA1C CDK5R2 CES1 CHGA CHRNA5 CPLX2 FFAR1 GIP GRIK5 HAP1 ISL1 LGI3 RAB26 RAB3C SCG5 SNAP25 SPP1 SRCIN1 STX1A STXBP5L SV2A SYP UCN3	ADORA2A AGT AIF1 AVPR1B BAIAP3 CACNA1C CACNA1G CDK5R2 CXCL12 GHRL ISL1 NEUROD1 RAB26 RFX6 SCG5 SCT SYN1	AVPR1B CES1 CRH SCT TAC1	AIF1 CDK5R2 CPLX2 CRH GRIK5 LGI3 NCS1 SYP	
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	CAMK2B MPP2 SNAP25	ADCY1 NTRK2 SORCS2		BRSK1 SCT SNAP25 SYP	AGT CPLX2 CRH GIP MAP1A MAP1B SYP	ADCY1 EPHA4 UNC13A	ADCY1 GIP			ADCY1 LZTS1	ADORA2A BRSK1 NTRK2 SNAP25 SORCS2	AGT BRSK1 CPLX2 FGF14 GIP MAP1A MAP1B MPP2 SCGN SNAP25 SYP VGF	ADORA2A AGT BRSK1 MPP2 NTRK2 SCT VGF	CRH SCT VGF	CPLX2 CRH SYP	AGT CAMK2B FGF14 GRIN1 LZTS1 MAP1A MPP2 SCGN SYP VGF
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1	CACNA1G FXYD6 KCNAB2 SCN1B SLC25A27	FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 NR4A3 WNK3	AGT ANK2 CACNA1C CACNA1E CACNA2D2 CACNB2 CRH FXYD6 GIP HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN NR4A3 RGS4 SCN1B SCN3B SLC25A27 SLC8A1 WNK3	CACNA1E CACNA1G HAP1 HECW2 KCNE4 RGS9	GIP HECW2 KCNC1 KCNE4 S100A1		CACNA1C CACNA1E CACNA1G GSTM2	CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 KCNH6		AGT ANK2 CACNA1A CACNA1C CNIH2 DPP10 FABP5 FGF14 GIP HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B	AGT CACNA1C CACNA1G FXYD1 GSTM2 KCNH2 KCNJ6	CRH RGS4 S100A1 SCN1B		AGT CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_TRANSPORT	BRSK2 CAMK2B ICA1L KCNB2 KCNJ2 KCNK17 NALCN NEFL PRKCG RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 SPP1 SRCIN1 STX1A SYN1 UCN3	ADCY1 ASIC1 CACNA1G CADPS FFAR2 FXYD6 KCNAB2 REEP2 SCN1B SIRPA SLC25A27	ADCY5 FXYD1 KCNB2 KCNH7 KCNJ2 KCNK17 SIRPA	ANKRD13B BAIAP3 BRSK1 BRSK2 CACNA1C CDK5R1 CDK5R2 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 LGI3 MAP2 NR4A3 RAPGEF4 RFX6 SCT SNAP25 SYN1 SYP WNK3	AGT ANK2 AVPR1B BAIAP3 BSN CACNA1C CACNA1E CACNA2D2 CACNB2 CALY CHRNA5 CPLX2 CRH FXYD6 GIP HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 LGI3 MAP1B NALCN NR4A3 PCDH17 PRKCG RGS4 SCN1B SCN3B SFRP1 SLC25A27 SLC30A8 SLC8A1 SRCIN1 STXBP5L SV2A SYP UCN3 WNK3	ADCY1 CACNA1E CACNA1G CHRNA5 FFAR2 HAP1 HECW2 KCNE4 RAB3C RGS9 UCN3 UNC13A	ADCY1 ADCY5 CHRNA3 CHRNA5 CHRNB2 GIP HECW2 KCNC1 KCNE4 S100A1 STX1A STXBP5L	ADCY1 AIF1 CHGA PRKCG STX1A STXBP5L SYT5	AIF1 CACNA1C CACNA1E CACNA1G CHGA GSTM2 ICA1L LGI3 SCT SIRPA SLC30A8	ADCY1 CACNA1E CACNA1G CACNA1H CACNA2D2 CADPS HCN4 ITPR1 KCNH6 RAB3C	ADORA2A BRSK1 CACNA1G CDK5R2 GRIK5 ISL1 KCNAB2 KCNE4 SIRPA SNAP25 SPTBN4	ABCC8 AGT ANK2 ASIC1 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CDK5R2 CES1 CHGA CHRNA5 CNIH2 CPLX2 DPP10 FABP5 FFAR1 FGF14 GIP GRIK5 HAP1 HCN4 ISL1 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 LGI3 MAP1B MAP2 NALCN RAB26 RAB3C REEP2 RGS4 S100A1 SCG5 SCN1B SIRPA SNAP25 SPP1 SPTBN4 SRCIN1 STX1A STXBP5L SV2A SYP UCN3	ADORA2A AGT AIF1 AVPR1B BAIAP3 BRSK1 CACNA1C CACNA1G CALY CDK5R2 CXCL12 FXYD1 GHRL GSTM2 ISL1 KCNH2 KCNJ6 NEUROD1 RAB26 RFX6 SCG5 SCT SYN1	AVPR1B CES1 CRH RGS4 S100A1 SCN1B SCT TAC1 TP73	AIF1 CDK5R2 CPLX2 CRH GRIK5 LGI3 NCS1 REEP2 SPTBN4 SYP	AGT AIF1 ANKRD13B CAMK1 CAMK2B CNIH2 FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B SIRPA SYP
