PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-4396	chr20	48629217	48629514	+	0	NA	Intergenic	Intergenic	28801	NR_051976	100887755	Hs.195705	NR_051976		TRERNA1	LINC00651|treRNA	translation regulatory long non-coding RNA 1	ncRNA
1-3217	chr10	29079213	29079510	+	0	NA	non-coding (NR_038374, exon 3 of 3)	non-coding (NR_038374, exon 3 of 3)	5618	NR_038374	100507605	Hs.119207	NR_038374	ENSG00000235824	LINC00837	-	long intergenic non-protein coding RNA 837	ncRNA
1-2456	chr7	40684518	40684815	+	0	NA	intron (NM_001193312, intron 11 of 12)	intron (NM_001193312, intron 11 of 12)	334871	NR_110831	101928744	Hs.639767	NR_110831	ENSG00000232458	LINC01450	-	long intergenic non-protein coding RNA 1450	ncRNA
1-1278	chr1	203141287	203141584	+	0	NA	intron (NM_004997, intron 3 of 10)	intron (NM_004997, intron 3 of 10)	3519	NM_004997	4608	Hs.927	NM_004997	ENSG00000133055	MYBPH	-	myosin binding protein H	protein-coding
1-2925	chr16	83847845	83848142	+	0	NA	3' UTR (NM_001537, exon 4 of 4)	3' UTR (NM_001537, exon 4 of 4)	6410	NM_001537	3281	Hs.250899	NM_001537	ENSG00000230989	HSBP1	NPC-A-13	heat shock factor binding protein 1	protein-coding
1-4434	chr1	95267807	95268104	+	0	NA	intron (NR_160783, intron 1 of 3)	intron (NR_160783, intron 1 of 3)	17833	NR_160782	101928079	Hs.596857	NR_104131	ENSG00000224081	SLC44A3-AS1	LINC01057|XLOC_000303	SLC44A3 antisense RNA 1	ncRNA
1-3603	chr7	141395700	141395997	+	0	NA	intron (NM_001080392, intron 1 of 8)	intron (NM_001080392, intron 1 of 8)	6118	NM_001080392	57189	Hs.521240	NM_001080392	ENSG00000257093	DENND11	KIAA1147|LCHN|PRO2561	DENN domain containing 11	protein-coding
1-1487	chr6	138561606	138561903	+	0	NA	intron (NM_020340, intron 6 of 33)	intron (NM_020340, intron 6 of 33)	-22127	NM_021635	59351	Hs.302016	NM_021635	ENSG00000254440	PBOV1	UC28|UROC28|dJ171N11.2	prostate and breast cancer overexpressed 1	protein-coding
1-304	chr2	26846405	26846702	+	0	NA	intron (NM_001029881, intron 3 of 6)	intron (NM_001029881, intron 3 of 6)	17681	NM_001029881	130106	Hs.591579	NM_001029881	ENSG00000157884	CIB4	KIP4	calcium and integrin binding family member 4	protein-coding
1-2131	chr4	90596242	90596539	+	0	NA	Intergenic	LTR22|LTR|ERVK	-161162	NR_045481	644248	Hs.553954	NR_045481	ENSG00000247775	SNCA-AS1	-	SNCA antisense RNA 1	ncRNA
1-369	chr8	120119749	120120046	+	0	NA	3' UTR (NM_001324095, exon 8 of 8)	3' UTR (NM_001324095, exon 8 of 8)	-38876	NR_134297	101927513	Hs.676598	NR_134297	ENSG00000254278	LOC101927513	-	uncharacterized LOC101927513	ncRNA
1-2720	chr3	38302024	38302321	+	0	NA	Intergenic	L1MC4a|LINE|L1	-5131	NM_004256	9390	Hs.225941	NM_004256	ENSG00000172940	SLC22A13	OAT10|OCTL1|OCTL3|ORCTL-3|ORCTL3	solute carrier family 22 member 13	protein-coding
1-459	chr16	85481015	85481312	+	0	NA	Intergenic	Intergenic	-141232	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
1-3799	chr17	75238354	75238651	+	0	NA	Intergenic	Intergenic	-39079	NM_001293695	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
1-2564	chr14	93535292	93535589	+	0	NA	non-coding (NR_002808, exon 1 of 1)	non-coding (NR_002808, exon 1 of 1)	1643	NR_002808	319085	Hs.612888	NR_002808	ENSG00000258730	ITPK1-AS1	C14orf85|ITPK1-AS|ITPK1AS|NCRNA00203	ITPK1 antisense RNA 1	ncRNA
1-1051	chr1	239582024	239582321	+	0	NA	intron (NM_001347716, intron 1 of 7)	intron (NM_001347716, intron 1 of 7)	32304	NM_001347716	1131	Hs.7138	NM_000740	ENSG00000133019	CHRM3	EGBRS|HM3|PBS	cholinergic receptor muscarinic 3	protein-coding
1-4594	chr1	232474798	232475095	+	0	NA	Intergenic	Intergenic	176408	NM_020808	57568	Hs.745009	NM_020808	ENSG00000116991	SIPA1L2	SPAL2|SPAR2	signal induced proliferation associated 1 like 2	protein-coding
1-3320	chr16	29836931	29837228	+	0	NA	intron (NM_005115, intron 1 of 14)	intron (NM_005115, intron 1 of 14)	-4757	NM_001293204	9961	Hs.632177	NM_005115	ENSG00000013364	MVP	LRP|VAULT1	major vault protein	protein-coding
1-3859	chr1	25425881	25426178	+	0	NA	Intergenic	Intergenic	76035	NR_039623	100616365		NR_039623	ENSG00000264371	MIR4425	-	microRNA 4425	ncRNA
1-2784	chr6	70663396	70663693	+	0	NA	intron (NM_001858, intron 9 of 50)	intron (NM_001858, intron 9 of 50)	87096	NM_001858	1310	Hs.444842	NM_001858	ENSG00000082293	COL19A1	COL9A1L|D6S228E	collagen type XIX alpha 1 chain	protein-coding
1-2955	chr18	42476851	42477148	+	0	NA	intron (NM_015559, intron 3 of 5)	intron (NM_015559, intron 3 of 5)	73132	NR_036203	100422829		NR_036203	ENSG00000265957	MIR4319	-	microRNA 4319	ncRNA
1-2180	chr8	141133515	141133812	+	0	NA	intron (NM_001160372, intron 17 of 22)	intron (NM_001160372, intron 17 of 22)	-23029	NR_144431	359809	Hs.26814	NR_144431	ENSG00000282164	PEG13	-	paternally expressed 13	ncRNA
1-4082	chr7	1494631	1494928	+	0	NA	intron (NM_182924, intron 1 of 16)	intron (NM_182924, intron 1 of 16)	4327	NM_182924	79778	Hs.376617	NM_024723	ENSG00000164877	MICALL2	JRAB|MICAL-L2	MICAL like 2	protein-coding
1-1007	chr11	76080532	76080829	+	0	NA	intron (NR_130898, intron 1 of 5)	MER68B|LTR|ERVL	11329	NR_130898	5612	Hs.503315	NM_004705	ENSG00000137492	THAP12	DAP4|P52rIPK|PRKRIR|THAP0	THAP domain containing 12	protein-coding
1-1858	chr2	159581704	159582001	+	0	NA	intron (NR_135242, intron 1 of 3)	MIR|SINE|MIR	9662	NR_135242	100129029	Hs.630724	NR_135242	ENSG00000204380	PKP4-AS1	-	PKP4 antisense RNA 1	ncRNA
1-4015	chr5	14853879	14854176	+	0	NA	intron (NM_054027, intron 1 of 11)	intron (NM_054027, intron 1 of 11)	17860	NM_054027	56172	Hs.156727	NM_054027	ENSG00000154122	ANKH	ANK|CCAL2|CMDJ|CPPDD|HANK|MANK|SLC62A1	ANKH inorganic pyrophosphate transport regulator	protein-coding
1-3630	chr9	27771909	27772206	+	0	NA	Intergenic	Intergenic	-198193	NM_001256054	203228	Hs.493639	NM_018325	ENSG00000147894	C9orf72	ALSFTD|DENND9|DENNL72|FTDALS|FTDALS1	C9orf72-SMCR8 complex subunit	protein-coding
1-190	chr10	105336697	105336994	+	0	NA	intron (NM_004210, intron 3 of 5)	intron (NM_004210, intron 3 of 5)	-59646	NR_120675	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
1-2668	chr1	62075306	62075603	+	0	NA	Intergenic	HERV16-int|LTR|ERVL	-44460	NR_073400	414927	Hs.123471	NR_073400		MGC34796	-	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) pseudogene	pseudo
1-4181	chr10	44890929	44891226	+	0	NA	Intergenic	Intergenic	-10532	NM_001178134	6387	Hs.522891	NM_000609	ENSG00000107562	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	C-X-C motif chemokine ligand 12	protein-coding
1-3391	chr22	25290403	25290700	+	0	NA	intron (NM_001098497, intron 17 of 24)	MLT1H|LTR|ERVL-MaLR	52111	NM_001001663	255349	Hs.329040	NM_001001663	ENSG00000206069	TMEM211	bA9F11.1	transmembrane protein 211	protein-coding
1-904	chr10	73053382	73053679	+	0	NA	exon (NM_170744, exon 13 of 17)	exon (NM_170744, exon 13 of 17)	-25480	NM_001363518	55315	Hs.438419	NM_018344	ENSG00000198246	SLC29A3	ENT3|HCLAP|HJCD|PHID	solute carrier family 29 member 3	protein-coding
1-4080	chr6	166558713	166559010	+	0	NA	Intergenic	Intergenic	22478	NM_001366285	6862	Hs.389457	NM_003181	ENSG00000164458	TBXT	SAVA|T|TFT	T-box transcription factor T	protein-coding
1-869	chr1	203456776	203457073	+	0	NA	3' UTR (NM_002725, exon 3 of 3)	3' UTR (NM_002725, exon 3 of 3)	-6357	NM_014359	26254	Hs.632468	NM_014359	ENSG00000188770	OPTC	OPT	opticin	protein-coding
1-3104	chr4	14695187	14695484	+	0	NA	intron (NR_126435, intron 3 of 6)	LTR50|LTR|ERVL	194458	NR_126435	201853	Hs.551051	NR_126435	ENSG00000248360	LINC00504	-	long intergenic non-protein coding RNA 504	ncRNA
1-3142	chr6	42122216	42122513	+	0	NA	promoter-TSS (NM_001370581)	promoter-TSS (NM_001370581)	-751	NM_001319062	2978	Hs.92858	NM_000409	ENSG00000048545	GUCA1A	C6orf131|COD3|CORD14|GCAP|GCAP1|GUCA|GUCA1	guanylate cyclase activator 1A	protein-coding
1-104	chr17	81008972	81009269	+	0	NA	intron (NM_001320742, intron 1 of 13)	G-rich|Low_complexity|Low_complexity	526	NR_135465	146712	Hs.607824	NM_001009905	ENSG00000175711	B3GNTL1	3-Gn-T8|B3GNT8|BGnT-8|beta-1|beta3Gn-T8|beta3GnTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	protein-coding
1-3171	chr7	129969577	129969874	+	0	NA	Intergenic	Intergenic	-14931	NM_001127442	93979	Hs.567642	NM_080385	ENSG00000158525	CPA5	-	carboxypeptidase A5	protein-coding
1-2628	chr20	56413865	56414162	+	0	NA	Intergenic	Intergenic	-127421	NM_199171	56937	Hs.517155	NM_020182	ENSG00000124225	PMEPA1	STAG1|TMEPAI	prostate transmembrane protein, androgen induced 1	protein-coding
1-3862	chr1	32039669	32039966	+	0	NA	Intergenic	(CAGA)n|Simple_repeat|Simple_repeat	-2269	NM_001204414	64129	Hs.199368	NM_022164	ENSG00000142910	TINAGL1	ARG1|LCN7|LIECG3|TINAGRP	tubulointerstitial nephritis antigen like 1	protein-coding
1-4632	chr21	47563987	47564284	+	0	NA	intron (NM_006657, intron 10 of 14)	LTR13|LTR|ERVK	-7154	NM_001350598	100861507	Hs.570448	NM_001350598		FTCD-AS1	-	FTCD antisense RNA 1	protein-coding
1-4441	chr2	15807776	15808073	+	0	NA	Intergenic	Intergenic	-22982	NR_110201	101926966	Hs.502835	NR_110201	ENSG00000231031	LINC01804	-	long intergenic non-protein coding RNA 1804	ncRNA
1-647	chr17	63160243	63160540	+	0	NA	intron (NM_001081955, intron 7 of 18)	MLT1I|LTR|ERVL-MaLR	26903	NM_003835	8787	Hs.664380	NM_003835	ENSG00000108370	RGS9	PERRS|RGS9L	regulator of G protein signaling 9	protein-coding
1-377	chr17	39150122	39150419	+	0	NA	exon (NM_033185, exon 1 of 1)	exon (NM_033185, exon 1 of 1)	146	NM_033185	85293	Hs.662759	NM_033185	ENSG00000212899	KRTAP3-3	KAP3.3|KRTAP3.3	keratin associated protein 3-3	protein-coding
1-1217	chr12	47548629	47548926	+	0	NA	intron (NM_001281429, intron 2 of 2)	intron (NM_001281429, intron 2 of 2)	-32818	NR_039847	100616486		NR_039847	ENSG00000263838	MIR4698	-	microRNA 4698	ncRNA
1-1735	chr13	27946086	27946383	+	0	NA	Intergenic	LTR16A1|LTR|ERVL	-52522	NM_002097	2971	Hs.445977	NM_002097	ENSG00000122034	GTF3A	AP2|TFIIIA	general transcription factor IIIA	protein-coding
1-1596	chrX	100475979	100476276	+	0	NA	intron (NM_001171184, intron 1 of 21)	intron (NM_001171184, intron 1 of 21)	1194	NM_001939	1821	Hs.159291	NM_001939	ENSG00000102385	DRP2	DRP-2	dystrophin related protein 2	protein-coding
1-430	chr2	106527434	106527731	+	0	NA	Intergenic	Intergenic	59279	NM_001004720	8440	Hs.529244	NM_003581	ENSG00000071051	NCK2	GRB4|NCKbeta	NCK adaptor protein 2	protein-coding
1-3485	chr2	205040453	205040750	+	0	NA	Intergenic	Intergenic	239130	NM_012092	29851	Hs.56247	NM_012092	ENSG00000163600	ICOS	AILIM|CD278|CVID1	inducible T cell costimulator	protein-coding
1-1590	chr20	31961817	31962114	+	0	NA	exon (NM_001365728, exon 10 of 15)	exon (NM_001365728, exon 10 of 15)	27360	NM_016408	51654	Hs.435952	NM_016082	ENSG00000101391	CDK5RAP1	C20orf34|C42|CGI-05|HSPC167	CDK5 regulatory subunit associated protein 1	protein-coding
1-398	chr9	107826846	107827143	+	0	NA	Intergenic	Intergenic	-136558	NM_005502	19	Hs.659274	NM_005502	ENSG00000165029	ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP binding cassette subfamily A member 1	protein-coding
1-447	chr8	98883187	98883484	+	0	NA	intron (NM_001317748, intron 1 of 17)	intron (NM_001317748, intron 1 of 17)	2043	NM_001317748	4147	Hs.189445	NM_002380	ENSG00000132561	MATN2	-	matrilin 2	protein-coding
1-1574	chr17	46089594	46089891	+	0	NA	Intergenic	CpG	-20506	NR_162100	113218499		NR_162100		MIR10226	-	microRNA 10226	ncRNA
1-4354	chr17	80666095	80666392	+	0	NA	Intergenic	Intergenic	7886	NR_136400	101929552	Hs.375081	NR_136400	ENSG00000263063	LOC101929552	-	uncharacterized LOC101929552	ncRNA
1-1693	chr8	126153588	126153885	+	0	NA	intron (NR_146191, intron 3 of 8)	MIRb|SINE|MIR	49634	NM_173685	286053	Hs.388297	NM_173685	ENSG00000156831	NSMCE2	C8orf36|MMS21|NSE2|ZMIZ7	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	protein-coding
1-2040	chr20	3799058	3799355	+	0	NA	Intergenic	Intergenic	-1965	NM_001204446	55317	Hs.104806	NM_018347	ENSG00000125843	AP5S1	C20orf29	adaptor related protein complex 5 subunit sigma 1	protein-coding
1-4471	chr4	83582895	83583192	+	0	NA	intron (NM_024906, intron 3 of 3)	intron (NM_024906, intron 3 of 3)	-40453	NR_024087	439934	Hs.457189	NM_001033661	ENSG00000231782	LINC00575	C4orf11	long intergenic non-protein coding RNA 575	ncRNA
1-1308	chr4	140762989	140763286	+	0	NA	intron (NM_018717, intron 2 of 4)	intron (NM_018717, intron 2 of 4)	176164	NM_001204368	4258	Hs.81874	NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
1-163	chr14	78348474	78348771	+	0	NA	intron (NM_001366489, intron 4 of 9)	intron (NM_001366489, intron 4 of 9)	82170	NM_020421	57143	Hs.413208	NM_020421	ENSG00000063761	ADCK1	-	aarF domain containing kinase 1	protein-coding
1-878	chr2	220379007	220379304	+	0	NA	exon (NM_182847, exon 1 of 9)	exon (NM_182847, exon 1 of 9)	263	NM_182847	55515	Hs.87469	NM_018674	ENSG00000072182	ASIC4	ACCN4|BNAC4	acid sensing ion channel subunit family member 4	protein-coding
1-2555	chr13	74993872	74994169	+	0	NA	promoter-TSS (NR_144452)	promoter-TSS (NR_144452)	710	NR_047005	100874151	Hs.564552	NR_047005	ENSG00000226240	LINC00381	-	long intergenic non-protein coding RNA 381	ncRNA
1-4422	chrX	106170867	106171164	+	0	NA	intron (NM_020384, intron 1 of 1)	intron (NM_020384, intron 1 of 1)	7383	NM_020384	9075	Hs.522746	NM_020384	ENSG00000165376	CLDN2	-	claudin 2	protein-coding
1-3442	chr1	174923264	174923561	+	0	NA	promoter-TSS (NR_121196)	promoter-TSS (NR_121196)	-14	NR_121196	101928696	Hs.666680	NR_121196	ENSG00000229531	LOC101928696	-	uncharacterized LOC101928696	ncRNA
1-2756	chr5	71169140	71169437	+	0	NA	Intergenic	Intergenic	154186	NM_004291	9607	Hs.1707	NM_004291	ENSG00000164326	CARTPT	CART	CART prepropeptide	protein-coding
1-3547	chr5	87437075	87437372	+	0	NA	Intergenic	CpG	127439	NM_001289007	153396	Hs.379972	NM_153354	ENSG00000164180	TMEM161B	FLB3342|PRO1313	transmembrane protein 161B	protein-coding
1-209	chr8	37002329	37002626	+	0	NA	intron (NR_031672, intron 1 of 2).2	intron (NR_031672, intron 1 of 2).2	23006	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
1-4098	chr7	55141632	55141929	+	0	NA	intron (NM_001346941, intron 1 of 21)	intron (NM_001346941, intron 1 of 21)	-35752	NM_001346900	1956	Hs.488293	NM_005228	ENSG00000146648	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	epidermal growth factor receptor	protein-coding
1-278	chr9_gl000199_random	44142	44439	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
1-1196	chr7	5626029	5626326	+	0	NA	Intergenic	Intergenic	-6270	NM_003088	6624	Hs.118400	NM_003088	ENSG00000075618	FSCN1	FAN1|HSN|SNL|p55	fascin actin-bundling protein 1	protein-coding
1-3552	chr5	140043790	140044087	+	0	NA	promoter-TSS (NM_017706)	promoter-TSS (NM_017706)	-446	NM_017706	54853	Hs.286261	NM_017706	ENSG00000120314	WDR55	-	WD repeat domain 55	protein-coding
1-3180	chr8	27154583	27154880	+	0	NA	intron (NM_001304495, intron 1 of 3)	intron (NM_001304495, intron 1 of 3)	14058	NM_001362813	23087	Hs.104223	NM_171982	ENSG00000104228	TRIM35	HLS5|MAIR	tripartite motif containing 35	protein-coding
1-1651	chr4	144280117	144280414	+	0	NA	intron (NM_207123, intron 1 of 10)	intron (NM_207123, intron 1 of 10)	15652	NR_036091	100423017		NR_036091	ENSG00000265623	MIR3139	-	microRNA 3139	ncRNA
1-3891	chr1	167026504	167026801	+	0	NA	intron (NM_005814, intron 4 of 6)	intron (NM_005814, intron 4 of 6)	32962	NM_005814	10223	Hs.651244	NM_005814	ENSG00000143167	GPA33	A33	glycoprotein A33	protein-coding
1-3356	chr18	55194802	55195099	+	0	NA	Intergenic	Intergenic	58984	NM_000140	2235	Hs.365365	NM_000140	ENSG00000066926	FECH	EPP|EPP1|FCE	ferrochelatase	protein-coding
1-4510	chr8	124229300	124229597	+	0	NA	Intergenic	Intergenic	-1345	NR_039808	100616260		NR_039808	ENSG00000266324	MIR4663	-	microRNA 4663	ncRNA
1-4493	chr6	155334649	155334946	+	0	NA	Intergenic	Intergenic	-76626	NM_012454	26230	Hs.586279	NM_012454	ENSG00000146426	TIAM2	STEF|TIAM-2	T cell lymphoma invasion and metastasis 2	protein-coding
1-4609	chr5	56257553	56257850	+	0	NA	Intergenic	LTR16D|LTR|ERVL	-9744	NM_001297598	166968	Hs.657594	NM_152622	ENSG00000155545	MIER3	-	MIER family member 3	protein-coding
1-794	chr1	203259505	203259802	+	0	NA	Intergenic	Intergenic	2825	NR_117098	100506775	Hs.443859	NR_117097	ENSG00000231507	LINC01353	-	long intergenic non-protein coding RNA 1353	ncRNA
1-4050	chr6	13478655	13478952	+	0	NA	intron (NM_001242629, intron 1 of 1)	intron (NM_001242629, intron 1 of 1)	-6508	NR_038459	54438	Hs.484686	NM_018988	ENSG00000145990	GFOD1	ADG-90|C6orf114	glucose-fructose oxidoreductase domain containing 1	protein-coding
1-1124	chr16	72236578	72236875	+	0	NA	Intergenic	Intergenic	-30377	NM_001160213	83449	Hs.714939	NM_031293	ENSG00000118557	PMFBP1	SPGF31|STAP	polyamine modulated factor 1 binding protein 1	protein-coding
1-2590	chr17	25784808	25785105	+	0	NA	intron (NM_001367810, intron 1 of 18)	intron (NM_001367810, intron 1 of 18)	1482	NM_001367810	8844	Hs.133534	NM_014238	ENSG00000141068	KSR1	KSR|RSU2	kinase suppressor of ras 1	protein-coding
1-109	chr13	111094376	111094673	+	0	NA	intron (NM_001846, intron 16 of 47)	intron (NM_001846, intron 16 of 47)	21110	NM_001267044	100129836	Hs.640035	NM_001267044		COL4A2-AS2	-	COL4A2 antisense 2	protein-coding
1-4286	chr15	53820226	53820523	+	0	NA	intron (NM_182758, intron 18 of 19)	intron (NM_182758, intron 18 of 19)	12675	NR_102336	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
1-4450	chr2	173320945	173321242	+	0	NA	intron (NM_001079818, intron 1 of 24)	intron (NM_001079818, intron 1 of 24)	9657	NR_157573	101929947	Hs.710861	NR_157573		ITGA6-AS1	-	ITGA6 antisense RNA 1	ncRNA
1-3783	chr17	25595512	25595809	+	0	NA	Intergenic	Intergenic	25362	NR_039748	100616277		NR_039748	ENSG00000263583	MIR4522	-	microRNA 4522	ncRNA
1-2149	chr5	169854668	169854965	+	0	NA	intron (NM_001034838, intron 1 of 7)	intron (NM_001034838, intron 1 of 7)	38319	NR_109899	101928033	Hs.709167	NR_109899	ENSG00000253647	CTD-2270F17.1	-	uncharacterized LOC101928033	ncRNA
1-2477	chr8	38592327	38592624	+	0	NA	intron (NR_148047, intron 1 of 1)	intron (NR_148047, intron 1 of 1)	6375	NM_001352788	6867	Hs.279245	NM_006283	ENSG00000147526	TACC1	Ga55	transforming acidic coiled-coil containing protein 1	protein-coding
1-666	chr3	69736170	69736467	+	0	NA	Intergenic	Intergenic	-52297	NM_001354605	4286	Hs.166017	NM_000248	ENSG00000187098	MITF	CMM8|COMMAD|MI|WS2|WS2A|bHLHe32	melanocyte inducing transcription factor	protein-coding
1-1643	chr3	185080639	185080936	+	0	NA	promoter-TSS (NM_004721)	promoter-TSS (NM_004721)	-137	NM_004721	9175	Hs.591306	NM_004721	ENSG00000073803	MAP3K13	LZK|MEKK13|MLK	mitogen-activated protein kinase kinase kinase 13	protein-coding
1-2078	chr1	162582427	162582724	+	0	NA	Intergenic	Intergenic	-18078	NM_001354983	4921	Hs.275757	NM_006182	ENSG00000162733	DDR2	MIG20a|NTRKR3|TKT|TYRO10|WRCN	discoidin domain receptor tyrosine kinase 2	protein-coding
1-4035	chr5	123145258	123145555	+	0	NA	Intergenic	Intergenic	264295	NM_001044723	1456	Hs.129206	NM_004384	ENSG00000151292	CSNK1G3	CKI-gamma 3|CSNK1G3L	casein kinase 1 gamma 3	protein-coding
1-4030	chr5	91160520	91160817	+	0	NA	Intergenic	Intergenic	-481534	NR_138072	57561	Hs.24684	NM_020801	ENSG00000113369	ARRDC3	TLIMP	arrestin domain containing 3	protein-coding
1-1397	chr16	22733079	22733376	+	0	NA	Intergenic	Intergenic	-92256	NM_006043	9956	Hs.115830	NM_006043	ENSG00000122254	HS3ST2	30ST2|3OST2	heparan sulfate-glucosamine 3-sulfotransferase 2	protein-coding
1-305	chr2	28416951	28417248	+	0	NA	intron (NR_120504, intron 1 of 2)	L2c|LINE|L2	12729	NR_120504	100505736	Hs.659540	NR_120504		LOC100505736	-	uncharacterized LOC100505736	ncRNA
1-1053	chr2	40661019	40661316	+	0	NA	intron (NM_001112802, intron 1 of 7)	intron (NM_001112802, intron 1 of 7)	-3723	NM_021097	6546	Hs.31961	NM_021097	ENSG00000183023	SLC8A1	NCX1	solute carrier family 8 member A1	protein-coding
1-1767	chr16	81801875	81802172	+	0	NA	Intergenic	L1ME1|LINE|L1	-10873	NM_002661	5336	Hs.372303	NM_002661	ENSG00000197943	PLCG2	APLAID|FCAS3|PLC-IV|PLC-gamma-2	phospholipase C gamma 2	protein-coding
1-4206	chr11	27255150	27255447	+	0	NA	Intergenic	LTR33|LTR|ERVL	-13638	NR_125767	103695435	Hs.196133	NR_125766	ENSG00000254560	BBOX1-AS1	-	BBOX1 antisense RNA 1	ncRNA
1-3097	chr3	127472083	127472380	+	0	NA	intron (NM_001003794, intron 3 of 7)	Tigger15a|DNA|TcMar-Tigger	69494	NM_007283	11343	Hs.277035	NM_007283	ENSG00000074416	MGLL	HU-K5|HUK5|MAGL|MGL	monoglyceride lipase	protein-coding
1-3671	chr11	10702897	10703194	+	0	NA	intron (NM_001206880, intron 1 of 19)	intron (NM_001206880, intron 1 of 19)	12076	NM_001100167	10335	Hs.501898	NM_130385	ENSG00000072952	MRVI1	IRAG|JAW1L	murine retrovirus integration site 1 homolog	protein-coding
1-1103	chr11	17413131	17413428	+	0	NA	TTS (NM_001351295)	TTS (NM_001351295)	-2386	NM_001166290	3767	Hs.248141	NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|TNDM3	potassium voltage-gated channel subfamily J member 11	protein-coding
1-3318	chr16	19170482	19170779	+	0	NA	Intergenic	Intergenic	-8526	NM_001330509	51760	Hs.258326	NM_016524	ENSG00000103528	SYT17	sytXVII	synaptotagmin 17	protein-coding
1-3994	chr4	68566888	68567185	+	0	NA	promoter-TSS (NM_018227)	promoter-TSS (NM_018227)	40	NR_015439	550112	Hs.479879	NR_015439	ENSG00000248049	UBA6-AS1	-	UBA6 antisense RNA 1 (head to head)	ncRNA
1-3036	chr1	154158748	154159045	+	0	NA	TTS (NR_103460)	TTS (NR_103460)	-3171	NM_001278190	7170	Hs.535581	NM_152263	ENSG00000143549	TPM3	CAPM1|CFTD|HEL-189|HEL-S-82p|NEM1|OK/SW-cl.5|TM-5|TM3|TM30|TM30nm|TM5|TPM3nu|TPMsk3|TRK|hscp30	tropomyosin 3	protein-coding
1-2217	chr12	3741920	3742217	+	0	NA	intron (NM_001144958, intron 15 of 19)	intron (NM_001144958, intron 15 of 19)	120207	NM_032680	84766	Hs.504534	NM_032680	ENSG00000130038	CRACR2A	EFCAB4B	calcium release activated channel regulator 2A	protein-coding
1-3912	chr2	9173509	9173806	+	0	NA	Intergenic	Intergenic	-29844	NM_138799	129642	Hs.467634	NM_138799	ENSG00000143797	MBOAT2	LPAAT|LPCAT4|LPEAT|LPLAT 2|OACT2	membrane bound O-acyltransferase domain containing 2	protein-coding
1-1901	chr5	149808152	149808449	+	0	NA	Intergenic	Intergenic	-15801	NM_004355	972	Hs.436568	NM_004355	ENSG00000019582	CD74	DHLAG|HLADG|II|Ia-GAMMA|p33	CD74 molecule	protein-coding
1-2279	chr17	59097503	59097800	+	0	NA	intron (NM_001320470, intron 16 of 25)	intron (NM_001320470, intron 16 of 25)	342439	NM_001353145	54828	Hs.655028	NM_017679	ENSG00000141376	BCAS3	GAOB1|MAAB	BCAS3 microtubule associated cell migration factor	protein-coding
1-2294	chr19	14466629	14466926	+	0	NA	intron (NR_134908, intron 1 of 3)	intron (NR_134908, intron 1 of 3)	8025	NR_134908	105372288	Hs.628463	NR_134908	ENSG00000266913	LINC01841	-	long intergenic non-protein coding RNA 1841	ncRNA
1-350	chr19	38548747	38549044	+	0	NA	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-104841	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
1-2827	chr9	72444689	72444986	+	0	NA	intron (NR_131757, intron 1 of 2)	MLT1K|LTR|ERVL-MaLR	9104	NR_131756	138255	Hs.444459	NM_001010940	ENSG00000204711	C9orf135	-	chromosome 9 open reading frame 135	protein-coding
