PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1344	chr12	9483827	9484154	+	0	NA	Intergenic	Intergenic	-36070	NR_120479	101930452	Hs.734183	NR_120479	ENSG00000260423	LINC02367	-	long intergenic non-protein coding RNA 2367	ncRNA
1-989	chr12	19556037	19556364	+	0	NA	Intergenic	L1PBb|LINE|L1	-36226	NM_153207	121536	Hs.126497	NM_153207	ENSG00000139154	AEBP2	-	AE binding protein 2	protein-coding
1-695	chr11	2675216	2675543	+	0	NA	non-coding (NR_002728, exon 1 of 1)	non-coding (NR_002728, exon 1 of 1)	45849	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
1-597	chr2	241374195	241374522	+	0	NA	promoter-TSS (NM_002081)	promoter-TSS (NM_002081)	-722	NM_002081	2817	Hs.328232	NM_002081	ENSG00000063660	GPC1	glypican	glypican 1	protein-coding
1-959	chr9	2299139	2299466	+	0	NA	Intergenic	Intergenic	140846	NM_001289400	6595	Hs.298990	NM_003070	ENSG00000080503	SMARCA2	BAF190|BRM|NCBRS|SNF2|SNF2L2|SNF2LA|SWI2|Sth1p|hBRM|hSNF2a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	protein-coding
1-25	chr17	79924700	79925027	+	0	NA	Intergenic	Intergenic	-5800	NM_178493	147111	Hs.106137	NM_178493	ENSG00000185269	NOTUM	hNOTUM	notum, palmitoleoyl-protein carboxylesterase	protein-coding
1-865	chr9	122748445	122748772	+	0	NA	Intergenic	Intergenic	51270	NR_132393	106146149	Hs.638938	NR_132393	ENSG00000261432	LINC01613	n341773	long intergenic non-protein coding RNA 1613	ncRNA
1-628	chr15	74823096	74823423	+	0	NA	Intergenic	Intergenic	-10259	NM_001307939	10620	Hs.647642	NM_006465	ENSG00000179361	ARID3B	BDP|DRIL2	AT-rich interaction domain 3B	protein-coding
1-194	chr17	72143663	72143990	+	0	NA	Intergenic	Intergenic	-55991	NM_001035258	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
1-746	chr1	205298928	205299255	+	0	NA	Intergenic	Intergenic	-8218	NM_030952	81788	Hs.497512	NM_030952	ENSG00000163545	NUAK2	SNARK	NUAK family kinase 2	protein-coding
1-958	chr8	103980800	103981127	+	0	NA	intron (NR_126338, intron 3 of 3)	intron (NR_126338, intron 3 of 3)	-52348	NM_001695	528	Hs.86905	NM_001695	ENSG00000155097	ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	ATPase H+ transporting V1 subunit C1	protein-coding
1-1376	chr1	224752263	224752590	+	0	NA	intron (NR_136295, intron 2 of 7)	intron (NR_136295, intron 2 of 7)	-51593	NM_001322305	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
1-648	chr22	25229827	25230154	+	0	NA	intron (NM_133454, intron 2 of 24)	intron (NM_133454, intron 2 of 24)	27802	NM_133454	129049	Hs.474397	NM_133454	ENSG00000167037	SGSM1	RUTBC2	small G protein signaling modulator 1	protein-coding
1	chr1	110662516	110662843	+	0	NA	Intergenic	Intergenic	7614	NM_203412	164153	Hs.374027	NM_203412	ENSG00000186150	UBL4B	-	ubiquitin like 4B	protein-coding
1-228	chr1	11118523	11118850	+	0	NA	intron (NM_003132, intron 3 of 7)	intron (NM_003132, intron 3 of 7)	1389	NM_003132	6723	Hs.76244	NM_003132	ENSG00000116649	SRM	PAPT|SPDSY|SPS1|SRML1	spermidine synthase	protein-coding
1-519	chr19	51003626	51003953	+	0	NA	Intergenic	Intergenic	10659	NM_001270686	126119	Hs.467151	NM_138334	ENSG00000161677	JOSD2	SBBI54	Josephin domain containing 2	protein-coding
1-241	chr12	31142741	31143068	+	0	NA	intron (NM_001370301, intron 6 of 6)	intron (NM_001370301, intron 6 of 6)	63066	NM_001080509	441631	Hs.505141	NM_001080509	ENSG00000110900	TSPAN11	VSSW1971	tetraspanin 11	protein-coding
1-1276	chr17	55596063	55596390	+	0	NA	intron (NM_001322250, intron 6 of 13)	intron (NM_001322250, intron 6 of 13)	4732	NR_110808	101927557	Hs.639984	NR_110808	ENSG00000266100	LOC101927557	-	uncharacterized LOC101927557	ncRNA
1-920	chr1	172421784	172422111	+	0	NA	promoter-TSS (NM_001300760)	promoter-TSS (NM_001300760)	-86	NM_001300760	92346	Hs.517991	NM_139240	ENSG00000180999	C1orf105	-	chromosome 1 open reading frame 105	protein-coding
1-1245	chr12	125093633	125093960	+	0	NA	Intergenic	Intergenic	-41638	NM_001077261	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
1-506	chr14	103578946	103579273	+	0	NA	Intergenic	Intergenic	10137	NR_138038	105370683	Hs.252904	NR_138038	ENSG00000259717	LINC00677	C14orf74	long intergenic non-protein coding RNA 677	ncRNA
1-832	chr2	86021595	86021922	+	0	NA	Intergenic	Intergenic	-10958	NR_106719	102466516		NR_106719	ENSG00000278783	MIR6071	hsa-mir-6071	microRNA 6071	ncRNA
1-1320	chr5	111612689	111613016	+	0	NA	intron (NM_022140, intron 3 of 22)	intron (NM_022140, intron 3 of 22)	48872	NR_110559	101927023	Hs.571002	NR_110559	ENSG00000251076	LOC101927023	-	uncharacterized LOC101927023	ncRNA
1-942	chr5	51787326	51787653	+	0	NA	Intergenic	Intergenic	-296261	NM_181501	3672	Hs.644352	NM_181501	ENSG00000213949	ITGA1	CD49a|VLA1	integrin subunit alpha 1	protein-coding
1-386	chr17	71179061	71179388	+	0	NA	Intergenic	Intergenic	-9970	NM_018714	9382	Hs.103555	NM_018714	ENSG00000166685	COG1	CDG2G|LDLB	component of oligomeric golgi complex 1	protein-coding
1-1248	chr13	24844688	24845015	+	0	NA	promoter-TSS (NM_001286793)	promoter-TSS (NM_001286793)	26	NM_001286794	221178	Hs.434298	NM_153023	ENSG00000182957	SPATA13	ARHGEF29|ASEF2	spermatogenesis associated 13	protein-coding
1-515	chr18	9848270	9848597	+	0	NA	intron (NM_006868, intron 6 of 6)	(TCTG)n|Simple_repeat|Simple_repeat	-37537	NM_032243	84203	Hs.98712	NM_032243	ENSG00000168454	TXNDC2	SPTRX|SPTRX1	thioredoxin domain containing 2	protein-coding
1-343	chr6	37759258	37759585	+	0	NA	Intergenic	Intergenic	-28082	NM_021943	60685	Hs.36959	NM_021943	ENSG00000156639	ZFAND3	TEX27	zinc finger AN1-type containing 3	protein-coding
1-261	chr2	7171766	7172093	+	0	NA	intron (NM_001349181, intron 8 of 9)	intron (NM_001349181, intron 8 of 9)	46082	NR_110252	101929452		NR_110252	ENSG00000223884	LOC101929452	-	uncharacterized LOC101929452	ncRNA
1-1234	chr11	67289958	67290285	+	0	NA	exon (NM_001318496, exon 2 of 7)	exon (NM_001318496, exon 2 of 7)	796	NM_001318496	51475	Hs.278984	NM_016366	ENSG00000167791	CABP2	DFNB93	calcium binding protein 2	protein-coding
1-1233	chr11	46379259	46379586	+	0	NA	intron (NM_001199268, intron 1 of 29)	intron (NM_001199268, intron 1 of 29)	-3734	NM_001105540	8525	Hs.502461	NM_003646	ENSG00000149091	DGKZ	DAGK5|DAGK6|DGK-ZETA|hDGKzeta	diacylglycerol kinase zeta	protein-coding
1-101	chr1	20769393	20769720	+	0	NA	Intergenic	Intergenic	-14269	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
1-632	chr16	87595915	87596242	+	0	NA	Intergenic	Intergenic	-39363	NR_073379	57338	Hs.592068	NM_020655	ENSG00000154118	JPH3	CAGL237|HDL2|JP-3|JP3|TNRC22	junctophilin 3	protein-coding
1-689	chr9	98793726	98794053	+	0	NA	Intergenic	Intergenic	-9796	NR_024129	100188953	Hs.434310	NR_024129	ENSG00000225194	LINC00092	NCRNA00092	long intergenic non-protein coding RNA 92	ncRNA
1-1035	chr20	45439909	45440236	+	0	NA	Intergenic	Intergenic	-83191	NM_172110	2139	Hs.472877	NM_005244	ENSG00000064655	EYA2	EAB1	EYA transcriptional coactivator and phosphatase 2	protein-coding
1-1284	chr19	35746619	35746946	+	0	NA	intron (NM_001260490, intron 2 of 6)	intron (NM_001260490, intron 2 of 6)	7223	NM_205834	51599	Hs.466507	NM_015925	ENSG00000105699	LSR	ILDR3|LISCH7	lipolysis stimulated lipoprotein receptor	protein-coding
1-736	chr1	3585379	3585706	+	0	NA	intron (NM_001204186, intron 1 of 10)	intron (NM_001204186, intron 1 of 10)	16413	NM_001204187	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
1-967	chr9	130738862	130739189	+	0	NA	intron (NM_001035254, intron 1 of 10)	intron (NM_001035254, intron 1 of 10)	4243	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
1-935	chr4	1145449	1145776	+	0	NA	Intergenic	MER52A|LTR|ERV1	20759	NM_012445	10417	Hs.302963	NM_012445	ENSG00000159674	SPON2	DIL-1|DIL1|M-SPONDIN|MINDIN	spondin 2	protein-coding
1-988	chr11	103407967	103408294	+	0	NA	Intergenic	Intergenic	-312504	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
1-24	chr11	68070131	68070458	+	0	NA	Intergenic	LTR78|LTR|ERV1	-9765	NM_002335	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
1-475	chr1	221915490	221915817	+	0	NA	promoter-TSS (NM_007207)	promoter-TSS (NM_007207)	-135	NR_111940	11221	Hs.497822	NM_007207	ENSG00000143507	DUSP10	MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
1-1217	chr8	53888434	53888761	+	0	NA	Intergenic	Intergenic	36129	NM_005285	2831	Hs.248117	NM_005285	ENSG00000183729	NPBWR1	GPR7	neuropeptides B and W receptor 1	protein-coding
1-1256	chr14	78256998	78257325	+	0	NA	Intergenic	LTR33|LTR|ERVL	-9291	NM_001142545	57143	Hs.413208	NM_020421	ENSG00000063761	ADCK1	-	aarF domain containing kinase 1	protein-coding
1-720	chr18	42476808	42477135	+	0	NA	intron (NM_015559, intron 3 of 5)	intron (NM_015559, intron 3 of 5)	73160	NR_036203	100422829		NR_036203	ENSG00000265957	MIR4319	-	microRNA 4319	ncRNA
1-953	chr7	72015426	72015753	+	0	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	-103461	NM_001363460	83698	Hs.592750	NM_031468	ENSG00000183166	CALN1	CABP8	calneuron 1	protein-coding
1-12	chr3	182833926	182834253	+	0	NA	Intergenic	Intergenic	-16714	NM_001293273	56922	Hs.47649	NM_020166	ENSG00000078070	MCCC1	MCC-B|MCCA	methylcrotonoyl-CoA carboxylase 1	protein-coding
1-807	chr17	79461900	79462227	+	0	NA	Intergenic	Intergenic	17762	NR_037688	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
1-380	chr11	72475588	72475915	+	0	NA	intron (NM_006645, intron 2 of 6)	intron (NM_006645, intron 2 of 6)	-12317	NM_001040118	116985	Hs.503165	NM_015242	ENSG00000186635	ARAP1	CENTD2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	protein-coding
1-367	chr3	52274548	52274875	+	0	NA	non-coding (NR_135307, exon 2 of 2)	non-coding (NR_135307, exon 2 of 2)	1457	NR_135307	101929054	Hs.281931	NR_135307	ENSG00000243224	LOC101929054	-	uncharacterized LOC101929054	ncRNA
1-694	chr10	100061746	100062073	+	0	NA	Intergenic	Intergenic	-33958	NM_032211	84171	Hs.306814	NM_032211	ENSG00000138131	LOXL4	LOXC	lysyl oxidase like 4	protein-coding
1-419	chr16	73054254	73054581	+	0	NA	intron (NM_006885, intron 1 of 9)	intron (NM_006885, intron 1 of 9)	27610	NM_006885	463	Hs.598297	NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3	protein-coding
1-1398	chr22	45361095	45361422	+	0	NA	intron (NM_001284296, intron 2 of 13)	intron (NM_001284296, intron 2 of 13)	38242	NR_147506	101927551	Hs.683911	NR_147506	ENSG00000230922	LOC101927551	-	uncharacterized LOC101927551	ncRNA
1-972	chr10	73015899	73016226	+	0	NA	intron (NM_001244889, intron 1 of 15)	intron (NM_001244889, intron 1 of 15)	-38077	NR_038453	728978	Hs.646725	NR_038453	ENSG00000237512	UNC5B-AS1	-	UNC5B antisense RNA 1	ncRNA
1-17	chr1	174943860	174944187	+	0	NA	intron (NM_001366446, intron 21 of 25)	intron (NM_001366446, intron 21 of 25)	10108	NM_001243764	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
1-1374	chrUn_gl000219	41547	41874	+	0	NA	Intergenic	Intergenic	-3687	NR_134504	105379477	Hs.702270	NR_134504		LOC105379477	-	uncharacterized LOC105379477	ncRNA
1-369	chr6	41395442	41395769	+	0	NA	Intergenic	CpG	-74577	NR_120347	103106903	Hs.563396	NR_120347	ENSG00000226917	LINC01276	-	long intergenic non-protein coding RNA 1276	ncRNA
1-21	chr7	1595882	1596209	+	0	NA	promoter-TSS (NM_001097620)	promoter-TSS (NM_001097620)	-204	NM_001097620	202915	Hs.592174	NM_152689	ENSG00000164855	TMEM184A	SDMG1	transmembrane protein 184A	protein-coding
1-115	chr10	120578199	120578526	+	0	NA	Intergenic	Intergenic	-63880	NM_153810	143384	Hs.420024	NM_153810	ENSG00000151893	CACUL1	C10orf46|CAC1	CDK2 associated cullin domain 1	protein-coding
1-362	chr1	154440648	154440975	+	0	NA	3' UTR (NM_181359, exon 9 of 9)	3' UTR (NM_181359, exon 9 of 9)	-33884	NM_001098475	126668	Hs.387671	NM_182499	ENSG00000163239	TDRD10	-	tudor domain containing 10	protein-coding
1-412	chr12	125009973	125010300	+	0	NA	intron (NM_001206654, intron 2 of 47)	intron (NM_001206654, intron 2 of 47)	42022	NM_001206654	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
1-363	chr1	227953837	227954164	+	0	NA	intron (NM_053052, intron 3 of 4)	intron (NM_053052, intron 3 of 4)	30604	NM_001323934	116841	Hs.325081	NM_053052	ENSG00000143740	SNAP47	C1orf142|ESFI5812|HEL-S-290|HEL170|SNAP-47|SVAP1	synaptosome associated protein 47	protein-coding
1-381	chr12	110153324	110153651	+	0	NA	intron (NM_032829, intron 1 of 2)	intron (NM_032829, intron 1 of 2)	1857	NM_032829	84915	Hs.661785	NM_032829	ENSG00000139438	FAM222A	C12orf34	family with sequence similarity 222 member A	protein-coding
1-965	chr9	115513634	115513961	+	0	NA	intron (NM_001012994, intron 1 of 8)	intron (NM_001012994, intron 1 of 8)	757	NM_001012994	401548	Hs.522350	NM_001012994	ENSG00000148158	SNX30	ATG24A	sorting nexin family member 30	protein-coding
1-159	chr8	63074506	63074833	+	0	NA	Intergenic	Intergenic	-86744	NR_130764	286183	Hs.654662	NM_173688	ENSG00000185942	NKAIN3	FAM77D	sodium/potassium transporting ATPase interacting 3	protein-coding
1-1345	chr12	47535350	47535677	+	0	NA	intron (NM_001281429, intron 2 of 2)	L1M3a|LINE|L1	-46082	NR_039847	100616486		NR_039847	ENSG00000263838	MIR4698	-	microRNA 4698	ncRNA
1-260	chr1	233626307	233626634	+	0	NA	Intergenic	Intergenic	-123382	NM_002245	3775	Hs.208544	NM_002245	ENSG00000135750	KCNK1	DPK|HOHO|K2P1|K2p1.1|KCNO1|TWIK-1|TWIK1	potassium two pore domain channel subfamily K member 1	protein-coding
1-244	chr16	11246198	11246525	+	0	NA	intron (NM_015226, intron 21 of 22)	intron (NM_015226, intron 21 of 22)	103678	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
1-842	chr3	140948047	140948374	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-2457	NM_001037172	92370	Hs.657887	NM_152282	ENSG00000155893	PXYLP1	ACPL2|HEL124|XYLP	2-phosphoxylose phosphatase 1	protein-coding
1-458	chr16	85482423	85482750	+	0	NA	Intergenic	Intergenic	-142655	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
1-1209	chr7	1520792	1521119	+	0	NA	intron (NM_001080453, intron 28 of 47)	intron (NM_001080453, intron 28 of 47)	-21849	NM_182924	79778	Hs.376617	NM_024723	ENSG00000164877	MICALL2	JRAB|MICAL-L2	MICAL like 2	protein-coding
1-936	chr4	7705744	7706071	+	0	NA	exon (NM_020777, exon 14 of 27)	exon (NM_020777, exon 14 of 27)	-49910	NR_026892	84740	Hs.663029	NM_032654	ENSG00000272620	AFAP1-AS1	AFAP1-AS|AFAP1AS	AFAP1 antisense RNA 1	ncRNA
1-1156	chr21	39495763	39496090	+	0	NA	intron (NR_026839, intron 2 of 2)	LTR33|LTR|ERVL	2381	NR_026841	84677	Hs.733345	NM_032589	ENSG00000198054	DSCR8	C21orf65|CT25.1a|CT25.1b|MMA-1|MMA-1a|MMA-1b|MMA1|MTAG2	Down syndrome critical region 8	ncRNA
1-1206	chr5	176737725	176738052	+	0	NA	intron (NM_031300, intron 2 of 5)	L2c|LINE|L2	1011	NM_031300	83463	Hs.743332	NM_031300	ENSG00000213347	MXD3	BHLHC13|MAD3|MYX	MAX dimerization protein 3	protein-coding
1-270	chr10	104536858	104537185	+	0	NA	intron (NM_017787, intron 1 of 3)	intron (NM_017787, intron 1 of 3)	1043	NM_017787	54838	Hs.500897	NM_017787	ENSG00000166272	WBP1L	C10orf26|OPA1L|OPAL1	WW domain binding protein 1 like	protein-coding
1-1377	chr2	159824956	159825283	+	0	NA	promoter-TSS (NM_001145909)	promoter-TSS (NM_001145909)	-27	NM_001350062	85461	Hs.61590	NM_033394	ENSG00000115183	TANC1	ROLSB|TANC	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
1-328	chr19	5392509	5392836	+	0	NA	Intergenic	Intergenic	-51849	NM_130854	5802	Hs.744928	NM_002850	ENSG00000105426	PTPRS	PTPSIGMA|R-PTP-S|R-PTP-sigma	protein tyrosine phosphatase receptor type S	protein-coding
1-315	chr15	72523773	72524100	+	0	NA	promoter-TSS (NM_001206798)	promoter-TSS (NM_001206798)	29	NM_001206798	5315	Hs.534770	NM_002654	ENSG00000067225	PKM	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	pyruvate kinase M1/2	protein-coding
1-199	chr1	3716808	3717135	+	0	NA	Intergenic	LTR38-int|LTR|ERV1	-3909	NM_020710	57470	Hs.268488	NM_020710	ENSG00000130764	LRRC47	-	leucine rich repeat containing 47	protein-coding
1-46	chr16	2200653	2200980	+	0	NA	intron (NM_014353, intron 2 of 8)	intron (NM_014353, intron 2 of 8)	2190	NM_014353	25837	Hs.3797	NM_014353	ENSG00000167964	RAB26	V46133	RAB26, member RAS oncogene family	protein-coding
1-1061	chr2	134944082	134944409	+	0	NA	intron (NM_001371457, intron 1 of 16)	intron (NM_001371457, intron 1 of 16)	59549	NR_037450	100500878		NR_037450	ENSG00000263813	MIR3679	mir-3679	microRNA 3679	ncRNA
1-974	chr10	99561002	99561329	+	0	NA	Intergenic	Intergenic	-29409	NM_003015	6425	Hs.279565	NM_003015	ENSG00000120057	SFRP5	SARP3	secreted frizzled related protein 5	protein-coding
1-658	chr1	227957674	227958001	+	0	NA	intron (NR_136655, intron 5 of 5)	intron (NR_136655, intron 5 of 5)	34441	NM_001323934	116841	Hs.325081	NM_053052	ENSG00000143740	SNAP47	C1orf142|ESFI5812|HEL-S-290|HEL170|SNAP-47|SVAP1	synaptosome associated protein 47	protein-coding
1-339	chr1	117081299	117081626	+	0	NA	intron (NM_001779, intron 2 of 5)	intron (NM_001779, intron 2 of 5)	21271	NR_039621	100616384		NR_039621	ENSG00000264419	MIR548AC	-	microRNA 548ac	ncRNA
1-896	chr17	7972781	7973108	+	0	NA	Intergenic	Intergenic	18090	NM_001139	242	Hs.136574	NM_001139	ENSG00000179477	ALOX12B	12R-LOX|ARCI2	arachidonate 12-lipoxygenase, 12R type	protein-coding
1-1120	chr13	80298660	80298987	+	0	NA	Intergenic	Intergenic	-79698	NR_125785	102724076	Hs.208617	NR_125785	ENSG00000229011	LINC01038	-	long intergenic non-protein coding RNA 1038	ncRNA
1-1315	chr3	186465155	186465482	+	0	NA	Intergenic	AluSx1|SINE|Alu	30170	NM_000893	3827	Hs.77741	NM_000893	ENSG00000113889	KNG1	BDK|BK|HMWK|KNG	kininogen 1	protein-coding
1-1231	chr11	15611783	15612110	+	0	NA	Intergenic	Intergenic	-53485	NM_001293172	102724957	Hs.512245	NM_001293172		LOC102724957	-	uncharacterized LOC102724957	protein-coding
1-204	chr3	32443008	32443335	+	0	NA	intron (NM_138410, intron 1 of 4)	CpG	9826	NM_138410	112616	Hs.440494	NM_138410	ENSG00000153551	CMTM7	CKLFSF7	CKLF like MARVEL transmembrane domain containing 7	protein-coding
1-329	chr20	30175568	30175895	+	0	NA	Intergenic	CpG	-14665	NR_046853	100874042	Hs.373741	NR_046853	ENSG00000230613	HM13-AS1	-	HM13 antisense RNA 1	ncRNA
1-577	chr21	33707200	33707527	+	0	NA	intron (NM_014825, intron 28 of 38)	intron (NM_014825, intron 28 of 38)	42268	NR_002996	677846	Hs.712293	NR_002996	ENSG00000200792	SNORA80A	ACA67|SNORA80	small nucleolar RNA, H/ACA box 80A	snoRNA
1-1274	chr17	49195666	49195993	+	0	NA	intron (NM_001130527, intron 1 of 29)	intron (NM_001130527, intron 1 of 29)	2400	NM_001130527	9043	Hs.463439	NM_003971	ENSG00000008294	SPAG9	CT89|HLC-6|HLC4|HLC6|JIP-4|JIP4|JLP|PHET|PIG6	sperm associated antigen 9	protein-coding
1-48	chr1	203085299	203085626	+	0	NA	Intergenic	Intergenic	-11392	NM_001048230	134	Hs.77867	NM_000674	ENSG00000163485	ADORA1	RDC7	adenosine A1 receptor	protein-coding
1-1004	chr15	46086980	46087307	+	0	NA	intron (NR_135680, intron 1 of 4)	intron (NR_135680, intron 1 of 4)	89750	NR_135680	105370802	Hs.447522	NR_135680	ENSG00000259200	LOC105370802	-	uncharacterized LOC105370802	ncRNA
1-420	chr16	75316714	75317041	+	0	NA	Intergenic	Intergenic	-14972	NM_001170715	9564	Hs.479747	NM_014567	ENSG00000050820	BCAR1	CAS|CAS1|CASS1|CRKAS|P130Cas	BCAR1 scaffold protein, Cas family member	protein-coding
1-978	chr10	129738154	129738481	+	0	NA	intron (NM_001323356, intron 1 of 19)	(CAGG)n|Simple_repeat|Simple_repeat	32950	NM_001323355	5791	Hs.127022	NM_006504	ENSG00000132334	PTPRE	HPTPE|PTPE|R-PTP-EPSILON	protein tyrosine phosphatase receptor type E	protein-coding
1-1292	chr20	32238745	32239072	+	0	NA	Intergenic	Intergenic	-11225	NM_080825	128864	Hs.324104	NM_080825	ENSG00000149609	C20orf144	dJ63M2.6	chromosome 20 open reading frame 144	protein-coding
1-385	chr16	52469557	52469884	+	0	NA	TTS (NM_001080430)	TTS (NM_001080430)	111335	NM_001080430	27324	Hs.132574	NM_001080430	ENSG00000103460	TOX3	CAGF9|TNRC9	TOX high mobility group box family member 3	protein-coding
1-271	chr11	2799970	2800297	+	0	NA	intron (NM_181798, intron 15 of 15)	intron (NM_181798, intron 15 of 15)	-78905	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
1-312	chr10	106060462	106060789	+	0	NA	3' UTR (NM_183239, exon 7 of 7)	3' UTR (NM_183239, exon 7 of 7)	-22497	NR_120622	101927472	Hs.670333	NR_120622		ITPRIP-AS1	-	ITPRIP antisense RNA 1	ncRNA
1-119	chr7	45872456	45872783	+	0	NA	Intergenic	Intergenic	27791	NR_146388	730234	Hs.714106	NR_146388		LOC730234	-	uncharacterized LOC730234	ncRNA
1-841	chr3	127505112	127505439	+	0	NA	intron (NM_001003794, intron 2 of 7)	intron (NM_001003794, intron 2 of 7)	36450	NM_001256585	11343	Hs.277035	NM_007283	ENSG00000074416	MGLL	HU-K5|HUK5|MAGL|MGL	monoglyceride lipase	protein-coding
1-585	chr1	45476818	45477145	+	0	NA	promoter-TSS (NR_036510)	promoter-TSS (NR_036510)	15	NM_024602	79654	Hs.525084	NM_024602	ENSG00000126107	HECTD3	-	HECT domain E3 ubiquitin protein ligase 3	protein-coding
1-672	chr5	71584749	71585076	+	0	NA	intron (NM_001286748, intron 4 of 11)	intron (NM_001286748, intron 4 of 11)	31155	NM_001286748	23107	Hs.482491	NM_015084	ENSG00000113048	MRPS27	MRP-S27|S27mt	mitochondrial ribosomal protein S27	protein-coding
1-56	chr20	60931138	60931465	+	0	NA	non-coding (NR_109922, exon 3 of 3)	non-coding (NR_109922, exon 3 of 3)	3235	NR_109924	101928158	Hs.473256	NR_109922	ENSG00000228812	LAMA5-AS1	-	LAMA5 antisense RNA 1	ncRNA
1-818	chr1	20438859	20439186	+	0	NA	TTS (NM_001271814)	TTS (NM_001271814)	7007	NM_012400	26279	Hs.189507	NM_012400	ENSG00000117215	PLA2G2D	PLA2IID|SPLASH|sPLA2-IID|sPLA2S	phospholipase A2 group IID	protein-coding
1-754	chr2	231603697	231604024	+	0	NA	intron (NM_001130849, intron 1 of 8)	intron (NM_001130849, intron 1 of 8)	25597	NM_001130850	51719	Hs.603930	NM_016289	ENSG00000135932	CAB39	CGI-66|MO25	calcium binding protein 39	protein-coding
1-874	chr11	11983207	11983534	+	0	NA	Intergenic	Intergenic	46816	NM_001018057	27122	Hs.292156	NM_013253	ENSG00000050165	DKK3	REIC|RIG	dickkopf WNT signaling pathway inhibitor 3	protein-coding
1-188	chr10	105336652	105336979	+	0	NA	intron (NM_004210, intron 3 of 5)	intron (NM_004210, intron 3 of 5)	-59616	NR_120675	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
1-352	chr11	61370474	61370801	+	0	NA	intron (NR_110189, intron 3 of 3)	intron (NR_110189, intron 3 of 3)	-11871	NR_002775	113157	Hs.502733	NR_002775	ENSG00000243742	RPLP0P2	RPLP0L2|RPLP0_3_1146	ribosomal protein lateral stalk subunit P0 pseudogene 2	pseudo
1-562	chr15	31569116	31569443	+	0	NA	Intergenic	ERV3-16A3_I-int|LTR|ERVL	-46214	NM_001243538	283710	Hs.591097	NM_001243538		LOC283710	-	uncharacterized LOC283710	protein-coding
