PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-539	chr10	35415826	35416279	+	0	NA	promoter-TSS (NM_181571)	promoter-TSS (NM_181571)	-103	NM_181571	1390	Hs.200250	NM_001881	ENSG00000095794	CREM	CREM-2|ICER|hCREM-2	cAMP responsive element modulator	protein-coding
1-1737	chr2	174897595	174898048	+	0	NA	Intergenic	Intergenic	7813	NR_136175	100128905	Hs.456944	NR_136175	ENSG00000260868	LINC01960	-	long intergenic non-protein coding RNA 1960	ncRNA
1-4148	chr8	77912575	77913028	+	0	NA	promoter-TSS (NM_000318)	promoter-TSS (NM_000318)	-277	NM_001079867	5828	Hs.437966	NM_000318	ENSG00000164751	PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	peroxisomal biogenesis factor 2	protein-coding
1-3583	chr2	42663136	42663589	+	0	NA	Intergenic	L1MB7|LINE|L1	57760	NM_172344	170850	Hs.352633	NM_133329	ENSG00000171126	KCNG3	KV10.1|KV6.3	potassium voltage-gated channel modifier subfamily G member 3	protein-coding
1-2105	chr1	109655184	109655637	+	0	NA	promoter-TSS (NM_001245025)	promoter-TSS (NM_001245025)	-41	NM_001245025	127003	Hs.446962	NM_001122961	ENSG00000179902	C1orf194	-	chromosome 1 open reading frame 194	protein-coding
1-4280	chr19	51362116	51362569	+	0	NA	intron (NM_001648, intron 4 of 4)	L2a|LINE|L2	4171	NM_001030047	354	Hs.171995	NM_001648	ENSG00000142515	KLK3	APS|KLK2A1|PSA|hK3	kallikrein related peptidase 3	protein-coding
1-4621	chr2	161522755	161523208	+	0	NA	Intergenic	Intergenic	-172663	NM_002897	5937	Hs.470412	NM_002897	ENSG00000153250	RBMS1	C2orf12|HCC-4|MSSP|MSSP-1|MSSP-2|MSSP-3|SCR2|YC1	RNA binding motif single stranded interacting protein 1	protein-coding
1-2453	chr10	560012	560465	+	0	NA	intron (NM_014974, intron 1 of 36)	intron (NM_014974, intron 1 of 36)	-114266	NR_147612	101930421	Hs.654707	NR_147612	ENSG00000225140	LOC101930421	-	uncharacterized LOC101930421	ncRNA
1-3531	chr19	11376800	11377253	+	0	NA	Intergenic	L2c|LINE|L2	-3826	NM_001367830	57572	Hs.591002	NM_020812	ENSG00000130158	DOCK6	AOS2|ZIR1	dedicator of cytokinesis 6	protein-coding
1-5825	chr1	165257629	165258082	+	0	NA	intron (NM_001174069, intron 3 of 8)	intron (NM_001174069, intron 3 of 8)	67623	NM_001174069	4009	Hs.667312	NM_177398	ENSG00000162761	LMX1A	LMX1|LMX1.1	LIM homeobox transcription factor 1 alpha	protein-coding
1-1852	chr20	61814622	61815075	+	0	NA	Intergenic	Intergenic	4996	NR_029670	406909		NR_029670	ENSG00000207598	MIR124-3	MIRN124-3|MIRN124A3|mir-124-3	microRNA 124-3	ncRNA
1-1462	chr6	148831022	148831475	+	0	NA	intron (NM_001346509, intron 1 of 12)	intron (NM_001346509, intron 1 of 12)	961	NM_001346509	23328	Hs.193133	NM_015278	ENSG00000111961	SASH1	CAPOK|DUH1|SH3D6A|dJ323M4.1	SAM and SH3 domain containing 1	protein-coding
1-3722	chr17	40672088	40672541	+	0	NA	intron (NM_001130020, intron 20 of 20)	intron (NM_001130020, intron 20 of 20)	6108	NR_049808	100847046		NR_049808	ENSG00000283929	MIR5010	mir-5010	microRNA 5010	ncRNA
1-1771	chr12	125002993	125003446	+	0	NA	intron (NM_001206654, intron 2 of 47)	CpG	48939	NM_006312	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
1-4688	chr6	167598534	167598987	+	0	NA	Intergenic	MIRb|SINE|MIR	14653	NM_001145121	401285		NM_001013683	ENSG00000166984	TCP10L2	-	t-complex 10 like 2	protein-coding
1-6172	chr1	146982015	146982468	+	0	NA	intron (NR_038423, intron 3 of 3)	intron (NR_038423, intron 3 of 3)	7458	NR_038423	100289211	Hs.323484	NR_038423	ENSG00000278811	LINC00624	-	long intergenic non-protein coding RNA 624	ncRNA
1-363	chr20	30191892	30192345	+	0	NA	promoter-TSS (NM_002165)	promoter-TSS (NM_002165)	-974	NM_181353	3397	Hs.504609	NM_002165	ENSG00000125968	ID1	ID|bHLHb24	inhibitor of DNA binding 1, HLH protein	protein-coding
1-2908	chr1	161014741	161015194	+	0	NA	promoter-TSS (NM_001276373)	promoter-TSS (NM_001276373)	-193	NM_001276373	7391	Hs.414880	NM_007122	ENSG00000158773	USF1	FCHL|FCHL1|HYPLIP1|MLTF|MLTFI|UEF|bHLHb11	upstream transcription factor 1	protein-coding
1-4668	chr5	154964752	154965205	+	0	NA	Intergenic	Intergenic	571663	NM_001099293	285643	Hs.567824	NM_001099293	ENSG00000226650	KIF4B	-	kinesin family member 4B	protein-coding
1-885	chr19	36360153	36360606	+	0	NA	intron (NM_005166, intron 1 of 16)	CpG	1032	NM_005166	333	Hs.74565	NM_005166	ENSG00000105290	APLP1	APLP	amyloid beta precursor like protein 1	protein-coding
1-3805	chr3	49823837	49824290	+	0	NA	promoter-TSS (NM_001242829)	promoter-TSS (NM_001242829)	-88	NM_153273	9807	Hs.386168	NM_153273	ENSG00000176095	IP6K1	IHPK1|PiUS	inositol hexakisphosphate kinase 1	protein-coding
1-4123	chr6	111302870	111303323	+	0	NA	promoter-TSS (NM_001289111)	promoter-TSS (NM_001289111)	-124	NM_001289111	84154	Hs.372265	NM_032194	ENSG00000197498	RPF2	BXDC1|bA397G5.4	ribosome production factor 2 homolog	protein-coding
1-4523	chr17	79885513	79885966	+	0	NA	promoter-TSS (NM_002359)	promoter-TSS (NM_002359)	34	NR_015454	92659	Hs.336958	NR_015454	ENSG00000265688	MAFG-DT	MAFG-AS1	MAFG divergent transcript	ncRNA
1-6244	chr19	8780701	8781154	+	0	NA	Intergenic	L3|LINE|CR1	28218	NM_178525	284382	Hs.209206	NM_178525	ENSG00000181786	ACTL9	HSD21	actin like 9	protein-coding
1-4427	chr9	139839129	139839582	+	0	NA	promoter-TSS (NM_000606)	promoter-TSS (NM_000606)	-165	NM_018998	54461	Hs.522507	NM_018998	ENSG00000159069	FBXW5	Fbw5	F-box and WD repeat domain containing 5	protein-coding
1-5260	chr3	74836056	74836509	+	0	NA	Intergenic	Intergenic	-265991	NM_020872	5067	Hs.12723	NM_020872	ENSG00000113805	CNTN3	BIG-1|PANG|PCS	contactin 3	protein-coding
1-2882	chr22	37505645	37506098	+	0	NA	promoter-TSS (NM_001289001)	promoter-TSS (NM_001289001)	-118	NM_001289000	164656	Hs.370885	NM_153609	ENSG00000187045	TMPRSS6	IRIDA	transmembrane serine protease 6	protein-coding
1-3519	chr17	39162203	39162656	+	0	NA	Intergenic	MER66B|LTR|ERV1	2951	NM_031958	83896	Hs.307027	NM_031958	ENSG00000212901	KRTAP3-1	KAP3.1|KRTAP3.1	keratin associated protein 3-1	protein-coding
1-127	chr5	121297267	121297720	+	0	NA	promoter-TSS (NM_152546)	promoter-TSS (NM_152546)	-177	NM_152546	153443	Hs.107622	NM_152546	ENSG00000151304	SRFBP1	BUD22|P49|Rlb1|STRAP|p49/STRAP	serum response factor binding protein 1	protein-coding
1-2836	chr12	104449782	104450235	+	0	NA	intron (NM_001316967, intron 1 of 10)	intron (NM_001316967, intron 1 of 10)	7947	NM_001316967	83468	Hs.631650	NM_031302	ENSG00000120820	GLT8D2	-	glycosyltransferase 8 domain containing 2	protein-coding
1-1032	chr9	114928360	114928813	+	0	NA	intron (NM_022486, intron 1 of 16)	MER81|DNA|hAT-Blackjack	8991	NM_022486	64420	Hs.494827	NM_022486	ENSG00000106868	SUSD1	-	sushi domain containing 1	protein-coding
1-1118	chr10	15130312	15130765	+	0	NA	intron (NM_001039844, intron 1 of 3)	CpG	237	NR_144471	108949267	Hs.723069	NR_144471		ACBD7-DCLRE1CP1	-	ACBD7-DCLRE1CP1 readthrough	ncRNA
1-5108	chr15	85290838	85291291	+	0	NA	promoter-TSS (NM_014630)	promoter-TSS (NM_014630)	-759	NM_014630	9640	Hs.79347	NM_014630	ENSG00000166716	ZNF592	CAMOS|SCAR5	zinc finger protein 592	protein-coding
1-3343	chr17	73530929	73531382	+	0	NA	intron (NM_001015002, intron 1 of 9)	intron (NM_001015002, intron 1 of 9)	9372	NM_001015002	3993	Hs.514477	NM_004524	ENSG00000073350	LLGL2	HGL|Hugl-2|LGL2	LLGL scribble cell polarity complex component 2	protein-coding
1-4612	chr2	106673650	106674103	+	0	NA	Intergenic	Intergenic	-8268	NM_032411	84417	Hs.43125	NM_032411	ENSG00000119147	ECRG4	C2orf40	ECRG4 augurin precursor	protein-coding
1-3642	chr8	57594608	57595061	+	0	NA	Intergenic	Intergenic	-122452	NR_038236	100507632	Hs.583755	NR_038236	ENSG00000246430	LINC00968	-	long intergenic non-protein coding RNA 968	ncRNA
1-6011	chr10	37585329	37585782	+	0	NA	Intergenic	Intergenic	-12559	NR_104061	101929520	Hs.144151	NR_104061	ENSG00000235687	LINC00993	-	long intergenic non-protein coding RNA 993	ncRNA
1-2630	chrX	39788179	39788632	+	0	NA	Intergenic	Intergenic	91590	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
1-289	chr10	73526840	73527293	+	0	NA	intron (NM_022153, intron 1 of 6)	intron (NM_022153, intron 1 of 6)	6211	NM_022153	64115	Hs.47382	NM_022153	ENSG00000107738	VSIR	B7-H5|B7H5|C10orf54|DD1alpha|Dies1|GI24|PD-1H|PP2135|SISP1|VISTA	V-set immunoregulatory receptor	protein-coding
1-2948	chr7	100720737	100721190	+	0	NA	Intergenic	Intergenic	-7799	NM_030961	81844	Hs.521092	NM_030961	ENSG00000169871	TRIM56	RNF109	tripartite motif containing 56	protein-coding
1-2742	chr20	43991887	43992340	+	0	NA	intron (NM_033542, intron 1 of 3)	CpG	304	NR_003189	767557	Hs.730643	NR_003189	ENSG00000254806	SYS1-DBNDD2	C20orf169-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)	ncRNA
1-4432	chr10	30488284	30488737	+	0	NA	Intergenic	Intergenic	-12271	NR_120653	101929279	Hs.559153	NR_120653		LOC101929279	-	uncharacterized LOC101929279	ncRNA
1-5658	chr9	75775710	75776163	+	0	NA	intron (NM_000700, intron 6 of 12)	intron (NM_000700, intron 6 of 12)	9155	NM_000700	301	Hs.494173	NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
1-6219	chr11	85600140	85600593	+	0	NA	intron (NM_173556, intron 5 of 11)	AluJb|SINE|Alu	34222	NM_173556	220047	Hs.567774	NM_173556	ENSG00000150676	CCDC83	CT148|HSD9|KP-CoT-23	coiled-coil domain containing 83	protein-coding
1-4616	chr2	127649541	127649994	+	0	NA	Intergenic	Intergenic	-6699	NM_001322244	101929926	Hs.98984	NM_001322244	ENSG00000237524	TEX51	-	testis expressed 51	protein-coding
1-5550	chr2	31464959	31465412	+	0	NA	intron (NM_014600, intron 1 of 5)	intron (NM_014600, intron 1 of 5)	8167	NM_014600	30845	Hs.368808	NM_014600	ENSG00000013016	EHD3	PAST3	EH domain containing 3	protein-coding
1-6014	chr10	72829686	72830139	+	0	NA	Intergenic	Intergenic	131102	NR_134313	105378349	Hs.119164	NR_134313	ENSG00000259267	LINC02622	-	long intergenic non-protein coding RNA 2622	ncRNA
1-3930	chr13	31325747	31326200	+	0	NA	intron (NM_001204406, intron 3 of 5)	intron (NM_001204406, intron 3 of 5)	16328	NM_001629	241	Hs.507658	NM_001629	ENSG00000132965	ALOX5AP	FLAP	arachidonate 5-lipoxygenase activating protein	protein-coding
1-1479	chr14	105940406	105940859	+	0	NA	promoter-TSS (NM_001270841)	promoter-TSS (NM_001270841)	-526	NR_073081	1397	Hs.534309	NM_001312	ENSG00000182809	CRIP2	CRIP|CRP2|ESP1	cysteine rich protein 2	protein-coding
1-5154	chr20	6660909	6661362	+	0	NA	Intergenic	Intergenic	55648	NR_146909	105372516	Hs.580741	NR_146909		LINC01713	-	long intergenic non-protein coding RNA 1713	ncRNA
1-1387	chr1	19481373	19481826	+	0	NA	intron (NM_020765, intron 43 of 105)	intron (NM_020765, intron 43 of 105)	55161	NM_020765	23352	Hs.148078	NM_020765	ENSG00000127481	UBR4	RBAF600|ZUBR1|p600	ubiquitin protein ligase E3 component n-recognin 4	protein-coding
1-4043	chr2	10456966	10457419	+	0	NA	intron (NM_134421, intron 1 of 5)	intron (NM_134421, intron 1 of 5)	-13097	NM_001258357	3241	Hs.580427	NM_002149	ENSG00000115756	HPCAL1	BDR1|HLP2|VILIP-3	hippocalcin like 1	protein-coding
1-1893	chr7	3334275	3334728	+	0	NA	Intergenic	Intergenic	-6383	NM_152744	221935	Hs.653013	NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
1-1377	chr16	4710501	4710954	+	0	NA	intron (NM_001142290, intron 5 of 16)	intron (NM_001142290, intron 5 of 16)	-10592	NR_106827	102466731		NR_106827	ENSG00000276641	MIR6769A	hsa-mir-6769a	microRNA 6769a	ncRNA
1-354	chr12	131040306	131040759	+	0	NA	intron (NM_001351228, intron 2 of 21)	intron (NM_001351228, intron 2 of 21)	72469	NM_015347	23504	Hs.657441	NM_015347	ENSG00000060709	RIMBP2	PPP1R133|RBP2|RIM-BP2	RIMS binding protein 2	protein-coding
1-3077	chr5	64196366	64196819	+	0	NA	intron (NM_005869, intron 11 of 13)	Tigger3b|DNA|TcMar-Tigger	131835	NM_001364478	10283	Hs.371372	NM_005869	ENSG00000153015	CWC27	NY-CO-10|RPSKA|SDCCAG-10|SDCCAG10	CWC27 spliceosome associated cyclophilin	protein-coding
1-3887	chr9	100908377	100908830	+	0	NA	intron (NM_003389, intron 2 of 11)	intron (NM_003389, intron 2 of 11)	26571	NM_003389	7464	Hs.113094	NM_003389	ENSG00000106789	CORO2A	CLIPINB|IR10|WDR2	coronin 2A	protein-coding
1-3418	chr4	85976352	85976805	+	0	NA	Intergenic	L1P3|LINE|L1	87941	NR_152782	404201	Hs.46730	NM_205857	ENSG00000180769	WDFY3-AS2	C4orf12|FBI4|NCRNA00247	WDFY3 antisense RNA 2	ncRNA
1-780	chr11	66822451	66822904	+	0	NA	Intergenic	Intergenic	-1641	NM_001300886	29984	Hs.15114	NM_014578	ENSG00000173156	RHOD	ARHD|RHOHP1|RHOM|Rho	ras homolog family member D	protein-coding
1-1514	chr7	2897004	2897457	+	0	NA	Intergenic	Intergenic	-13288	NM_001293092	2768	Hs.487341	NM_007353	ENSG00000146535	GNA12	NNX3|RMP|gep	G protein subunit alpha 12	protein-coding
1-5055	chr11	82904566	82905019	+	0	NA	promoter-TSS (NM_001300976)	promoter-TSS (NM_001300976)	38	NM_182603	338699	Hs.503438	NM_182603	ENSG00000137494	ANKRD42	PPP1R79|SARP	ankyrin repeat domain 42	protein-coding
1-3413	chr3	126219870	126220323	+	0	NA	exon (NM_001165974, exon 11 of 21)	exon (NM_001165974, exon 11 of 21)	16520	NM_144639	131669	Hs.331148	NM_144639	ENSG00000159650	UROC1	HMFN0320|UROCD	urocanate hydratase 1	protein-coding
1-1187	chr7	112090006	112090459	+	0	NA	promoter-TSS (NM_001550)	promoter-TSS (NM_001550)	-251	NM_001550	3475	Hs.7879	NM_001550	ENSG00000006652	IFRD1	PC4|TIS7	interferon related developmental regulator 1	protein-coding
1-2753	chr1	1070743	1071196	+	0	NA	Intergenic	MER41B|LTR|ERV1	-1428	NR_038869	254099	Hs.680488	NR_038869	ENSG00000223823	LINC01342	-	long intergenic non-protein coding RNA 1342	ncRNA
1-4352	chr3	190261467	190261920	+	0	NA	intron (NM_001364879, intron 1 of 10)	intron (NM_001364879, intron 1 of 10)	29819	NM_001364879	3556	Hs.478673	NM_002182	ENSG00000196083	IL1RAP	C3orf13|IL-1RAcP|IL1R3	interleukin 1 receptor accessory protein	protein-coding
1-2875	chr20	61291168	61291621	+	0	NA	intron (NM_016354, intron 3 of 11)	intron (NM_016354, intron 3 of 11)	6579	NR_024470	100127888	Hs.671273	NR_024470	ENSG00000232803	SLCO4A1-AS1	-	SLCO4A1 antisense RNA 1	ncRNA
1-2850	chr15	90931272	90931725	+	0	NA	promoter-TSS (NM_003870)	promoter-TSS (NM_003870)	24	NM_003870	8826	Hs.430551	NM_003870	ENSG00000140575	IQGAP1	HUMORFA01|SAR1|p195	IQ motif containing GTPase activating protein 1	protein-coding
1-4930	chr3	140874025	140874478	+	0	NA	Intergenic	MER63B|DNA|hAT-Blackjack	-76416	NM_001037172	92370	Hs.657887	NM_152282	ENSG00000155893	PXYLP1	ACPL2|HEL124|XYLP	2-phosphoxylose phosphatase 1	protein-coding
1-2459	chr11	702742	703195	+	0	NA	exon (NM_174940, exon 5 of 5)	exon (NM_174940, exon 5 of 5)	-3263	NM_022772	64787	Hs.55016	NM_022772	ENSG00000177106	EPS8L2	DFNB106|EPS8R2	EPS8 like 2	protein-coding
1-3313	chr12	124937348	124937801	+	0	NA	intron (NM_001206654, intron 8 of 47)	intron (NM_001206654, intron 8 of 47)	114584	NM_006312	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
1-2980	chr12	57609430	57609883	+	0	NA	promoter-TSS (NM_007224)	promoter-TSS (NM_007224)	-921	NM_007224	11247	Hs.745023	NM_007224	ENSG00000182379	NXPH4	NPH4	neurexophilin 4	protein-coding
1-5634	chr7	22866171	22866624	+	0	NA	Intergenic	MER66B|LTR|ERV1	-3929	NM_019059	54543	Hs.112318	NM_019059	ENSG00000196683	TOMM7	TOM7	translocase of outer mitochondrial membrane 7	protein-coding
1-850	chr14	24664228	24664681	+	0	NA	intron (NM_006405, intron 1 of 5)	CpG	193	NM_001014842	10548	Hs.91586	NM_006405	ENSG00000100926	TM9SF1	HMP70|MP70	transmembrane 9 superfamily member 1	protein-coding
1-2521	chr1	68150648	68151101	+	0	NA	promoter-TSS (NM_001924)	promoter-TSS (NM_001924)	-10	NM_001199741	1647	Hs.80409	NM_001924	ENSG00000116717	GADD45A	DDIT1|GADD45	growth arrest and DNA damage inducible alpha	protein-coding
1-4171	chr10	75571470	75571923	+	0	NA	promoter-TSS (NM_003635)	promoter-TSS (NM_003635)	-118	NR_160743	8509	Hs.654758	NM_003635	ENSG00000166507	NDST2	HSST2|N-HSST 2|NST2	N-deacetylase and N-sulfotransferase 2	protein-coding
1-184	chr22	23863981	23864434	+	0	NA	Intergenic	CpG	-16082	NR_109832	101978785	Hs.575107	NR_109832		PCAT14	-	prostate cancer associated transcript 14	ncRNA
1-4767	chr13	32472547	32473000	+	0	NA	intron (NR_027062, intron 1 of 3)	intron (NR_027062, intron 1 of 3)	51853	NR_027062	196549	Hs.507667	NM_145293		EEF1DP3	-	eukaryotic translation elongation factor 1 delta pseudogene 3	pseudo
1-3170	chr17	65565089	65565542	+	0	NA	intron (NM_181671, intron 4 of 9)	intron (NM_181671, intron 4 of 9)	-97614	NR_030385	693131		NR_030385	ENSG00000263690	MIR548D2	MIRN548D2	microRNA 548d-2	ncRNA
1-4460	chr12	6936411	6936864	+	0	NA	promoter-TSS (NM_014262)	promoter-TSS (NM_014262)	-935	NM_014262	10536	Hs.631655	NM_014262	ENSG00000110811	P3H3	GRCB|HSU47926|LEPREL2	prolyl 3-hydroxylase 3	protein-coding
1-2106	chr1	110091002	110091455	+	0	NA	promoter-TSS (NM_006496)	promoter-TSS (NM_006496)	-9	NM_006496	2773	Hs.73799	NM_006496	ENSG00000065135	GNAI3	87U6|ARCND1	G protein subunit alpha i3	protein-coding
1-4315	chr1	153959425	153959878	+	0	NA	promoter-TSS (NR_073553)	promoter-TSS (NR_073553)	-836	NR_073553	5872	Hs.151536	NM_002870	ENSG00000143545	RAB13	GIG4	RAB13, member RAS oncogene family	protein-coding
1-4928	chr3	128814310	128814763	+	0	NA	intron (NM_001204890, intron 11 of 12)	intron (NM_001204890, intron 11 of 12)	26111	NM_198490	339122	Hs.381132	NM_198490	ENSG00000172780	RAB43	RAB11B|RAB41	RAB43, member RAS oncogene family	protein-coding
1-219	chr13	31572495	31572948	+	0	NA	Intergenic	Intergenic	65928	NM_001353388	122046	Hs.124463	NM_152325	ENSG00000175664	TEX26	C13orf26	testis expressed 26	protein-coding
1-6064	chr13	80025640	80026093	+	0	NA	Intergenic	Intergenic	-29393	NM_001161407	54602	Hs.525093	NM_019080	ENSG00000102471	NDFIP2	N4WBP5A	Nedd4 family interacting protein 2	protein-coding
1-2868	chr19	19367516	19367969	+	0	NA	3' UTR (NM_023002, exon 5 of 5)	3' UTR (NM_023002, exon 5 of 5)	5871	NM_023002	404037	Hs.367829	NM_023002	ENSG00000187664	HAPLN4	BRAL2	hyaluronan and proteoglycan link protein 4	protein-coding
1-3199	chr1	39395168	39395621	+	0	NA	promoter-TSS (NM_001304746)	promoter-TSS (NM_001304746)	-203	NM_001304746	54933	Hs.524626	NM_017821	ENSG00000158315	RHBDL2	RRP2	rhomboid like 2	protein-coding
1-1932	chr19	47792897	47793350	+	0	NA	Intergenic	MER66B|LTR|ERV1	14981	NM_178511	255783	Hs.128690	NM_178511	ENSG00000257704	INAFM1	PRR24	InaF motif containing 1	protein-coding
1-4229	chr15	63340109	63340562	+	0	NA	promoter-TSS (NM_001365782)	promoter-TSS (NM_001365782)	-353	NM_001330351	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1	protein-coding
1-743	chr9	130894266	130894719	+	0	NA	Intergenic	Intergenic	3684	NR_024425	389791	Hs.632678	NM_001013652	ENSG00000232850	PTGES2-AS1	-	PTGES2 antisense RNA 1 (head to head)	ncRNA
1-926	chr2	234074557	234075010	+	0	NA	intron (NM_001017915, intron 12 of 25)	intron (NM_001017915, intron 12 of 25)	-85434	NM_198890	55054	Hs.529322	NM_017974	ENSG00000085978	ATG16L1	APG16L|ATG16A|ATG16L|IBD10|WDR30	autophagy related 16 like 1	protein-coding
1-4539	chr19	41836370	41836823	+	0	NA	3' UTR (NM_000660, exon 7 of 7)	3' UTR (NM_000660, exon 7 of 7)	20214	NM_001346100	90324	Hs.437497	NM_052848	ENSG00000142039	CCDC97	-	coiled-coil domain containing 97	protein-coding
1-2852	chr16	17493735	17494188	+	0	NA	intron (NM_022166, intron 1 of 11)	intron (NM_022166, intron 1 of 11)	70856	NM_022166	64131	Hs.22907	NM_022166	ENSG00000103489	XYLT1	DBQD2|PXYLT1|XT-I|XT1|XTI|XYLTI|xylT-I	xylosyltransferase 1	protein-coding
1-552	chr11	12886287	12886740	+	0	NA	intron (NM_021961, intron 5 of 12)	intron (NM_021961, intron 5 of 12)	124582	NR_038904	100506305	Hs.153408	NR_038904	ENSG00000251381	LINC00958	BLACAT2	long intergenic non-protein coding RNA 958	ncRNA
1-5950	chr6	168899934	168900387	+	0	NA	intron (NM_001166412, intron 1 of 12)	intron (NM_001166412, intron 1 of 12)	58296	NM_022138	64094	Hs.487200	NM_022138	ENSG00000112562	SMOC2	DTDP1|MST117|MSTP117|MSTP140|SMAP2|bA270C4A.1|bA37D8.1|dJ421D16.1	SPARC related modular calcium binding 2	protein-coding
1-3977	chr19	4742877	4743330	+	0	NA	Intergenic	Intergenic	-19249	NR_158699	91039	Hs.515081	NM_139159	ENSG00000142002	DPP9	DP9|DPLP9|DPP IX|DPRP-2|DPRP2	dipeptidyl peptidase 9	protein-coding
1-6045	chr12	54965269	54965722	+	0	NA	intron (NM_001165975, intron 5 of 14)	C-rich|Low_complexity|Low_complexity	10246	NM_001315534	5153	Hs.530871	NM_000924	ENSG00000123360	PDE1B	HEL-S-79p|PDE1B1|PDES1B	phosphodiesterase 1B	protein-coding
1-1310	chr6	11179790	11180243	+	0	NA	Intergenic	Intergenic	52885	NM_182966	4739	Hs.37982	NM_006403	ENSG00000111859	NEDD9	CAS-L|CAS2|CASL|CASS2|HEF1	neural precursor cell expressed, developmentally down-regulated 9	protein-coding
1-3590	chr2	158863728	158864181	+	0	NA	intron (NM_001135098, intron 1 of 8)	intron (NM_001135098, intron 1 of 8)	12263	NM_001135098	151531	Hs.128427	NM_173355	ENSG00000007001	UPP2	UDRPASE2|UP2|UPASE2	uridine phosphorylase 2	protein-coding
1-3599	chr3	158340863	158341316	+	0	NA	Intergenic	LTR10G|LTR|ERV1	-21228	NM_024996	85476	Hs.518355	NM_024996	ENSG00000168827	GFM1	COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1|mtEF-G1	G elongation factor mitochondrial 1	protein-coding
1-5695	chr12	8261381	8261834	+	0	NA	Intergenic	Intergenic	-14621	NM_016184	50856	Hs.504657	NM_016184	ENSG00000111729	CLEC4A	CD367|CLECSF6|DCIR|DDB27|HDCGC13P|LLIR	C-type lectin domain family 4 member A	protein-coding
1-3042	chr1	201854768	201855221	+	0	NA	Intergenic	Intergenic	-2803	NR_030775	149345	Hs.632471	NM_198149	ENSG00000198892	SHISA4	C1orf40|TMEM58	shisa family member 4	protein-coding
1-3482	chr11	15432764	15433217	+	0	NA	Intergenic	Intergenic	-232441	NM_001293172	102724957	Hs.512245	NM_001293172		LOC102724957	-	uncharacterized LOC102724957	protein-coding
1-5337	chr7	155708928	155709381	+	0	NA	Intergenic	L2a|LINE|L2	-44759	NR_144629	389602	Hs.583071	NM_001291913		LOC389602	-	uncharacterized LOC389602	protein-coding
1-3072	chr4	186733192	186733645	+	0	NA	promoter-TSS (NM_003603)	promoter-TSS (NM_003603)	-8	NM_001145670	8470	Hs.481342	NM_003603	ENSG00000154556	SORBS2	ARGBP2|PRO0618	sorbin and SH3 domain containing 2	protein-coding
1-4147	chr8	66589981	66590434	+	0	NA	intron (NM_001145838, intron 1 of 5)	AluSc|SINE|Alu	8099	NM_001145838	9650	Hs.584788	NM_014637	ENSG00000066855	MTFR1	CHPPR|FAM54A2	mitochondrial fission regulator 1	protein-coding
1-4266	chr18	19921511	19921964	+	0	NA	Intergenic	L2c|LINE|L2	76141	NM_172241	64693	Hs.406709	NM_022663	ENSG00000212710	CTAGE1	CT21.1|CT21.2|CTAGE|CTAGE-1|CTAGE-2	cutaneous T cell lymphoma-associated antigen 1	protein-coding
1-2231	chr8	59156381	59156834	+	0	NA	Intergenic	UCON25|Unknown|Unknown	28053	NR_105005	101929528	Hs.563551	NR_105005	ENSG00000253281	LOC101929528	-	uncharacterized LOC101929528	ncRNA
1-5881	chr3	146344497	146344950	+	0	NA	Intergenic	L2|LINE|L2	-20720	NM_001085420	389158	Hs.254692	NM_001085420	ENSG00000231213	PLSCR5	-	phospholipid scramblase family member 5	protein-coding
1-5743	chr16	78283025	78283478	+	0	NA	intron (NM_001291997, intron 4 of 7)	intron (NM_001291997, intron 4 of 7)	149700	NM_001291997	51741	Hs.461453	NM_016373	ENSG00000186153	WWOX	D16S432E|EIEE28|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	WW domain containing oxidoreductase	protein-coding
1-4984	chr7	32767348	32767801	+	0	NA	promoter-TSS (NR_003502)	promoter-TSS (NR_003502)	12	NR_003502	441208	Hs.510645	NM_001013723		ZNRF2P1	-	zinc and ring finger 2 pseudogene 1	pseudo
