	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_NEURON_PROJECTION	BRSK2 C1QL1 CAMK2B CHRM4 DLG2 FZD4 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 NEFL PRKCG S100A1 SEZ6 SLC18A1 SLC8A1 SNAP25 SRCIN1 SSTR5 STMN4 STX1A SV2B SYN1 SYT2 TUBB3 UCN3	ANKS1B BASP1 CACNA1G DPYSL3 ELFN1 FZD4 GABRP KCNAB2 LHFPL4 NPTX1 NTRK2 PCSK2 PTPRN2 RAP1GAP2 SAMD14 SCN1B SORCS2	AP3B2 APBB1 ARC BRSK1 BRSK2 C1QL1 CACNA1C CADM2 CDK5R1 CDK5R2 CNGA3 CNIH2 DLG2 DNER DNM3 DSCAML1 GCH1 JPH4 KCNIP3 KCNJ11 KCNN3 LGI3 MAP2 MAP6 MX1 NTRK1 PSD RGS17 SLC12A5 SNAP25 STRC SYN1 SYP TPGS1 TUBB3	ARHGAP33 CEP290 CYGB KCNIP3 MAP1A NTNG2 NTRK1 RD3 SCN2A SLC18A1 SSTR3 STMN4 STMND1 SV2B USH1G	ANK2 ARHGAP33 BSN CABP4 CACNA1C CDHR1 CEP290 CERKL CHRM4 CHRNA5 CNGA3 CNR1 CPLX2 CRH CYGB DST EPHA8 FRMPD4 GABRE HAP1 IMPG1 JPH4 KCNB2 KCNC1 KCNJ2 KIF5A KIRREL3 KNDC1 LGI3 MAP1A MAP1B MAP9 MAST1 MPP1 MYO3A NEFM PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SRCIN1 SSTR3 STRC SV2A SV2B SYP SYT2 TMOD2 UCN3 UNC80 USH2A	CHRNA3 CHRNA5 CHRNB2 DDN KCNC1 S100A1 SLC18A1 STMN2 STX1A TENM2 TMOD2 TUBB4A UNC80 VCAN	AP3B2 ARC CABP4 DNER MAP6 PRKCG SH2D3C SHISA9 SSTR1 STX1A STXBP1 SYT5	ADCY2 DNM3 KCNJ2 NCS1 RET SCN2A SLC18A1 TPH1	ANKS1B DPYSL3 DRD2 MX1 PRR7 QDPR SLC1A2 TPGS1	BOC CACNA1G CACNA1H CERKL DOCK4 EPHB3 KIAA1549 KIF1A LZTS1 MAP9 PTCH1 PTPRN2 SSTR5 TTLL7 USH2A	ADORA2A ARHGAP33 BAALC BASP1 BRSK1 CACNA1G CDK5R2 DDN DLG2 DST GABRP GRIK5 KCNAB2 KIAA1549 KIF1A KIRREL3 NTRK2 PRRT2 RGS17 SNAP25 SORCS2 SPTBN4 STRC USH2A	ADCY2 ANK2 ANKS1B APBB1 ARHGAP33 ATP1A3 BAALC BASP1 BOC BRS3 BRSK1 BSN CACNA1C CACNG7 CDK5R2 CERKL CHL1 CHRNA5 CNIH2 CPLX2 DLG2 DNER DRD2 FRMPD4 FZD4 GABRA1 GABRE GABRP GAP43 GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KCNN3 KIF5A KIRREL3 LGI3 MAP1A MAP1B MAP2 MAP6 MAPK10 MPP1 MPP2 MYO3A NEFM NFASC NTS PALMD PCSK1 PCSK2 PDE6B PSD QDPR RET RGS14 S100A1 SAMD14 SCGN SCN1B SEZ6 SLC12A5 SLC18A1 SNAP25 SPTBN4 SRCIN1 STMND1 STX1A SV2A SV2B SYP TPGS1 UCHL1 UCN3 UNC80 USH2A VCAN	ADCY2 ADORA2A ARC BAALC BRSK1 C1QL1 CABP4 CACNA1C CACNA1G CDK5R2 CEP290 CNGA3 DDC DLG2 DSCAML1 DST GABRA1 GCH1 GHRL IGSF9B INSRR JPH4 KIRREL3 MAP6 MPP2 MYO3A NTRK2 P2RX6 PCSK1 PCSK2 PRR7 PRRT2 PTPRN QDPR RD3 RGS14 SEZ6 STMN3 STRC SYN1 SYT2 UCHL1 USH1G	ARHGAP33 ATP1A3 C1QL1 CDK5R2 CHRM4 CNR1 CPLX2 CRH CYGB GRIK5 KNDC1 LGI3 MAST1 MYO3A NCS1 PDE6B QDPR RAP1GAP2 SH2D3C SPTBN4 SSTR3 STMN3 STXBP1 SYP TUBB3	APBB1 BRS3 CAMK2B CNIH2 CPT1C DDN GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP1 MPP2 P2RX6 PRR7 RET S100A1 SCGN SCN1B SEZ6 SSTR5 SYP
GO_NEURON_TO_NEURON_SYNAPSE	DLG2 GAP43 IGSF9B MPP2 MX1 MX2 PRKCG SLC8A1 SRCIN1 STX1A SYN1	ADCY1 ANKS1B KCNAB2 NTRK2 SAMD14 SORCS2	ARC CACNA1C CDK5R1 CNIH2 DLG2 DNM3 LIN7A LRFN1 LRFN2 MAP2 MX1 PSD RAPGEF4 SYN1		BSN CACNA1C FRMPD4 LRFN2 MAP1B PRKCG PSD SAMD14 SLC8A1 SRCIN1		ADCY1 ARC PRKCG SHISA9 STX1A		ANKS1B DRD2 MX1 PRR7 RAPGEF4	ADCY1 ADD2 ITPR1 LZTS1 PTCH1	ADORA2A BAALC DLG2 GRIK5 KCNAB2 LIN7A NTRK2 PRRT2 SORCS2	ANKS1B ATP1A3 BAALC BSN CACNA1C CACNG7 CNIH2 DLG2 DRD2 EFNB3 FABP5 FRMPD4 GAP43 GRIK5 LRRTM3 MAP1B MAP2 MPP2 PSD RGS14 SAMD14 SRCIN1 STX1A	ADORA2A ARC BAALC CACNA1C DLG2 IGSF9B LRFN2 MPP2 NTRK2 P2RX6 PRR7 PRRT2 RGS14 SYN1		CAMK1 CNIH2 EFNB3 GRIN1 ITPR1 LRFN1 LZTS1 MPP2 P2RX6 PRR7
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 NALCN SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G GABRP KCNAB2 KCNF1 KCNMB2 SCN1B	CACNA1C CACNG6 CNGA3 FXYD1 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC14A1 SNAP25	CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A TRPC6 TRPC7	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA5 CLCA4 CLCNKA CNGA3 CNGA4 CNR1 GABRE KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B SLC14A1 SLC26A7 TRPC6 TRPM3 UNC80	BCL2 CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 KCNMB3 UNC80		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3	CACNA1G GABRP GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ANXA6 ASIC1 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 CLCA4 GABRA1 GABRE GABRP GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SLC14A1 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 FXYD1 GABRA1 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6 SLC14A1 TRPC7	ANXA6 CNR1 GRIK5 KCNG1 NCS1	ANXA6 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	ANXA6 BRSK2 CABP7 FMN2 MX1 PRKCG SEZ6 SNAP25 SPP1 TPPP3	ANXA6 APLP1 CCDC78 DYNC1I1 NTRK2 PPP1R16B RAP1GAP2	ANKRD13B APBB1 BRSK2 CDK5R1 DNM3 EML1 MAP6 MX1 PDE2A SNAP25 SYP TTBK1	AIF1 HCN4 LAMP3 OSBPL6 RD3 SPP1 TRPC7			AIF1 CHGA MAP6 PRKCG STXBP1 SYT5		AKR1B1 EML1 MX1 PRR7	APLN CERKL HCN4 ITPR1 PTCH1 RAB3C TTBK1		AKR1B1 ANXA6 APBB1 APLP1 CERKL CHGA FMN2 HCN4 KIF5A LCP1 LRAT MAP1B MAP6 PTPN22 RAB3C SEZ6 SNAP25 SPP1 STK33 SYP TPPP3	AIF1 AKR1B1 CCDC78 EML1 KCNH2 LRAT MAP6 NTRK2 OSBPL6 PRR7 PTPN22 RD3 SEZ6 TPPP3 TRPC7	AIF1 ANXA6 LCP1 NCS1 RAP1GAP2 STXBP1 SYP	AIF1 AKR1B1 ANKRD13B ANXA6 APBB1 APLN APLP1 CCDC78 HCN4 ITPR1 KCNH2 LCP1 LRAT MAP6 MAPK8IP1 PDE2A PRR7 SEZ6 STK33 SYP TPPP3
GO_POSITIVE_REGULATION_OF_SECRETION					AGT AVPR1B BAIAP3 CACNB2 CNR1 CRH GIP SLC30A8 UCN3	APLN CHRNB2 GIP STX1A	AIF1 STX1A STXBP1			APLN CACNA1G CACNA1H CADPS CSF1R	ADORA2A CACNA1G CDK5R2 ISL1 PRRT2 SOX4	AGT APBB1 BAIAP3 CDK5R2 DRD2 FFAR1 GIP ISL1 SPP1 STX1A UCN3	ADORA2A AGT AIF1 AVPR1B BAIAP3 CACNA1G CDK5R2 CXCL12 GAL GHRL ISL1 PRRT2 RFX6 SCT	AIF1 CDK5R2 CNR1 CRH CSF1R GAL NCS1 NKX6-1 NPPB STXBP1	
GO_POSTSYNAPSE	CHRM4 DLG2 GAP43 IGSF21 IGSF9B KCNJ2 MPP2 MX1 MX2 NEFL PRKCG SEZ6 SLC8A1 SNAP25 SRCIN1 STX1A SYN1	ADCY1 ANKS1B FXYD6 GABRP KCNAB2 LHFPL4 NTRK2 SAMD14 SORCS2	APBB1 ARC CACNA1C CDK5R1 CNIH2 DLG2 DNM3 FXYD6 KCTD16 LIN7A LRFN1 LRFN2 MAP2 MX1 PSD SNAP25 SYN1		ANK2 ARHGAP33 BSN CACNA1C CALY CHRM4 CHRNA5 CPLX2 FAIM2 FRMPD4 FXYD6 GABRE HAP1 KCNC1 KCNJ2 LRFN2 MAP1B PCDH17 PRKCG PSD SAMD14 SLC6A17 SLC8A1 SRCIN1	ADCY1 CHRNA3 CHRNA5 CHRNB2 DDN KCNC1 STX1A TENM2	ADCY1 ARC PRKCG SHISA9 STX1A STXBP1	DNM3 KCNJ2 NCS1	ANKS1B DRD2 MX1 PRR7	ADCY1 ADD2 ITPR1 KIF1A LZTS1 PTCH1	ADORA2A ARHGAP33 BAALC DDN DLG2 GABRP GRIK5 KCNAB2 KIF1A LIN7A NTRK2 PRRT2 SNAP25 SORCS2	ANK2 ANKS1B APBB1 ARHGAP33 BAALC BSN CACNA1C CACNG7 CHRNA5 CNIH2 CPLX2 DLG2 DRD2 EFNB3 EIF4EBP1 FABP5 FAIM2 FRMPD4 GABRA1 GABRE GABRP GAP43 GRIK5 HAP1 IGSF21 KCNMA1 LRRTM3 MAP1B MAP2 MPP2 PALMD PSD RGS14 SAMD14 SEZ6 SNAP25 SRCIN1 STX1A	ADORA2A ARC BAALC CACNA1C CALY DLG2 EIF4EBP1 GABRA1 GHRL IGSF9B LRFN2 MPP2 NTRK2 P2RX6 PRR7 PRRT2 RGS14 SEZ6 SYN1	ARHGAP33 CHRM4 CPLX2 GRIK5 NCS1 STXBP1	APBB1 CAMK1 CNIH2 CPT1C DDN EFNB3 EIF4EBP1 GRIN1 ITPR1 LRFN1 LZTS1 MPP2 P2RX6 PRR7 SEZ6
GO_POTASSIUM_CHANNEL_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNAB2 KCNF1 KCNMB2	KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3	KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2	KCNC1 KCNE4 KCNMB3		KCNJ2 KCNK17		HCN4 KCNH6 KCNK3	GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SNAP25	KCNF1 KCNH2 KCNJ6 KCNK3	GRIK5 KCNG1	HCN4 KCNF1 KCNH2 KCNJ11
GO_POTASSIUM_CHANNEL_COMPLEX	DLG2 KCNB2 KCNJ2 SNAP25 STX1A	KCNAB2 KCNF1 KCNMB2	DLG2 KCNG1 KCNIP3 KCNJ11 SNAP25	HCN4 KCNG1 KCNIP3 KCNJ3	KCNB2 KCNC1 KCNF1 KCNJ2 KCNJ3 KCNMB3	KCNC1 KCNE4 KCNMB3 STX1A	ABCC9 STX1A				DLG2 GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 DLG2 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 SNAP25 STX1A	DLG2 KCNF1 KCNH2 KCNJ6	GRIK5 KCNG1	HCN4 KCNF1 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 SNAP25	KCNAB2 KCNF1 KCNMB2	KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3	KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2	KCNC1 KCNE4 KCNMB3		KCNJ2 KCNK17		HCN4 KCNH6 KCNK3	GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ATP1A3 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SLC12A5 SNAP25	KCNF1 KCNH2 KCNJ6 KCNK3	ATP1A3 GRIK5 KCNG1	HCN4 KCNF1 KCNH2 KCNJ11
GO_POTASSIUM_ION_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN RGS4 SNAP25		FXYD1 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 WNK2	ANK2 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 WNK3	KCNC1 KCNE4 KCNMB3		KCNJ2 KCNK17		HCN4 KCNH6 KCNK3		ABCC8 ANK2 ATP1A3 DPP10 DRD2 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 NALCN RGS4 SLC12A5 SNAP25	FXYD1 GAL KCNF1 KCNH2 KCNJ6 KCNK3	ATP1A3 GAL KCNG1	
GO_PRESYNAPSE	C1QL1 IGSF21 MX1 MX2 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SV2B SYN1 SYT2 UCN3	CADPS FXYD6 KCNAB2 NTRK2 PTPRN2 STX2	APBB1 ATP6V1B1 BAIAP3 BRSK1 C1QL1 CDK5R1 DNM3 FXYD6 KCNIP3 KCTD16 LGI3 LIN7A MX1 NRXN2 PDE2A SNAP25 SVOP SYN1 SYNGR3 SYP	ATP6V1B1 ATP6V1G2 KCNIP3 KCNJ3 NTNG2 SCN2A SLC18A1 SV2B	ATP6V1G2 BAIAP3 BSN CABP4 CACNB2 CNR1 CPLX2 FXYD6 HAP1 KCNC1 KCNJ3 KIRREL3 LGI3 NRXN2 PCDH17 PDE2A PNISR PRKCG PTPRN SLC6A17 SLC8A1 SRCIN1 SV2A SV2B SVOP SYP SYT2 UCN3 USH2A		CABP4 PRKCG STX1A STXBP1 SYT5	DNM3 NCS1 SCN2A SLC18A1		CADPS KIF1A PTPRN2 RAB3C SYNGR3 USH2A	ADORA2A AMPH BRSK1 GRIK5 KCNAB2 KIF1A KIRREL3 LIN7A NTRK2 PRRT2 SNAP25 STX2 USH2A	AMPH APBB1 ATP6V1G2 BAIAP3 BRSK1 BSN CPLX2 DRD2 EFNB3 GRIK5 HAP1 IGSF21 KCNIP3 KCNJ3 KIRREL3 LGI3 NRXN2 NTS PNISR RAB26 RAB3C SCGN SLC18A1 SNAP25 SRCIN1 STX1A STX2 SV2A SV2B SVOP SYP UCN3 USH2A	ADORA2A BAIAP3 BRSK1 C1QL1 CABP4 DDC KIRREL3 NRXN2 NTRK2 PRRT2 PTPRN RAB26 SVOP SYN1 SYNGR3 SYT2	C1QL1 CNR1 CPLX2 GRIK5 LGI3 NCS1 STXBP1 SYP	APBB1 ATP6V1B1 CADM3 EFNB3 GRIN1 PDE2A SCGN SYP
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION			CNIH2 DLG2 NRXN2 SNAP25	GPC6 GRIN2C MAP1A	BSN JAM3 KIF5A MAP1A NRXN2				ANKS1B GPC6		DLG2 SNAP25	ANKS1B BSN CACNG7 CNIH2 DLG2 GPC6 JAM3 KIF5A MAP1A MAPK10 NRXN2 SNAP25	CDH5 DLG2 JAM3 NRXN2		CNIH2 GRIN1 MAP1A
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	DLG2 SNAP25		CNIH2 DLG2 NRXN2 SNAP25	GPC6 GRIN2C MAP1A	BSN KIF5A MAP1A NRXN2				ANKS1B GPC6		DLG2 SNAP25	ANKS1B BSN CACNG7 CNIH2 DLG2 GPC6 KIF5A MAP1A MAPK10 NRXN2 SNAP25			CNIH2 GRIN1 MAP1A
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION		CACNA1G SCN1B		HCN4 KCNJ3	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B			KCNJ2 SCN3B		CACNA1G HCN4 KCNH6	CACNA1G KCNE4	ANK2 CACNA1C HCN4 KCNH6 KCNJ3 SCN1B	CACNA1C CACNA1G KCNH2		HCN4 KCNH2 SCN1B SCN3B
GO_REGULATION_OF_HORMONE_LEVELS	ADH6 BRSK2 CHST8 FZD4 ILDR2 SLC30A8 SNAP25 SPP1 SSTR5 STX1A UCN3		BAIAP3 BRSK2 CACNA1C CHST8 KCNJ11 RAPGEF4 RBP1 RFX6 SCT SNAP25		AGT AKR1B1 BAIAP3 CACNA1C CACNA1E CACNA2D2 CHST8 CNR1 CPE CRH CYP27C1 GIP PCSK2 PTPRN SFRP1 SLC30A8 STXBP5L UCN3	ADCY5 APLN CYP27C1 GIP STX1A STXBP5L TTR			AKR1B1 DRD2 RAPGEF4 TTR	APLN CACNA1E CACNA1H CACNA2D2 ITPR1 PTPRN2 SSTR5		ABCC8 ADH6 AGT AKR1B1 BAIAP3 CACNA1A CACNA1C CES1 CHGA DHRS2 DKK3 DRD2 ECE2 FFAR1 FZD4 GIP ISL1 LRAT PCSK1 PCSK1N PCSK2 SCG5 SNAP25 SPP1 STX1A STXBP5L UCN3 VGF	AGT AKR1B1 BAIAP3 CACNA1C CPE GAL GHRL ISL1 LRAT NEUROD1 PCSK1 PCSK2 PTPRN RFX6 SCG5 SCT VGF	CNR1 CPE CRH GAL NKX6-1	AGT AKR1B1 APLN ECE2 ITPR1 KCNJ11 LRAT SSTR5 VGF
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1	CACNA1G FXYD6 KCNAB2 KCNF1 SCN1B	ARC CACNA1C CACNG6 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 WNK3	AHNAK CACNG6 FGF14 HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A TRPC6 WNK2	AGT ANK2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CLCNKA CRH FXYD6 HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN RGS4 SCN1B SCN3B SLC8A1 TRPC6 WNK3	HECW2 HSPA2 KCNC1 KCNE4 S100A1		CACNG6 KCNJ2 KCNK17 SCN2A SCN3B		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 KCNH6	CACNA1G DLG2 HSPA2 KCNAB2 KCNE4	AGT ANK2 CACNA1A CACNA1C CACNB4 CACNG7 CNIH2 DLG2 DPP10 DRD2 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B	AGT ARC CACNA1C CACNA1G CACNB4 DLG2 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 PLCG2		AGT CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNF1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_ION_TRANSPORT	CAMK2B DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC8A1 SYT2		ARC CACNA1C CACNG6 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 WNK3	AHNAK CACNG6 FGF14 HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A TRPC6 WNK2	AGT ANK2 AVPR1B CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CLCNKA CNR1 CRH FXYD6 GABRE HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 NALCN RGS4 SCN1B SCN3B SLC8A1 SV2A SYT2 TRPC6 WNK3	BCL2 CHRNA3 CHRNB2 HECW2 HSPA2 KCNC1 KCNE4 S100A1	ARC SHISA9 SLC38A3 STXBP1 SYT5	APOA1 CACNG6 KCNJ2 KCNK17 SCN2A SCN3B		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 KCNH6	ADORA2A CACNA1G DLG2 HSPA2 KCNAB2 KCNE4 SPTBN4	AGT ANK2 CACNA1A CACNA1C CACNB4 CACNG7 CES1 CNIH2 DLG2 DPP10 DRD2 FFAR1 FGF14 GABRE HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 NALCN RGS4 S100A1 SCN1B SPTBN4 SV2A	ADORA2A AGT ARC AVPR1B CACNA1C CACNA1G CACNB4 CXCL12 DLG2 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 NKAIN1 PLCG2 SYT2	CNR1 CRH GAL KCNG1 SPTBN4 STXBP1	AGT CAMK2B CNIH2 FGF14 GRIN1 GSTM2 HCN4 KCNF1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_REGULATION_OF_MEMBRANE_POTENTIAL	IFI6 IGSF9B KCNJ2 KCNK17 MPP2 NALCN RGS4 SEZ6 SLC8A1 STX1A UCN3	ASIC1 CACNA1G GABRP KCNAB2 KCNMB2 NTRK2 SCN1B SLC25A27		FGF14 GRIN2C HCN4 IFI6 KCNH7 KCNJ3 SCN2A	ANK2 CACNA1C CACNA1E CACNB2 CACNB4 CELF4 CHRNA5 CNR1 GABRE KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 MLLT11 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC8A1 UCN3	BCL2 CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 KCNMB3 STX1A		KCNJ2 KCNK17 SCN2A SCN3B		BCL2 CACNA1E CACNA1G CACNA1H HCN4 KCNH6 KCNK3	ADORA2A CACNA1G GABRP GRIK5 IFI6 KCNAB2 KCNE4 MLLT11 NTRK2	ANK2 ASIC1 ATP1A3 CACNA1A CACNA1C CACNB4 CHRNA5 CNIH2 DRD2 FGF14 GABRA1 GABRE GABRP GRIK5 HCN4 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 MLLT11 MPP2 NALCN RGS4 SCN1B SEZ6 STX1A UCN3	ADORA2A CACNA1C CACNA1G CACNB4 FXYD1 GABRA1 GHRL IGSF9B KCNH2 KCNK3 MLLT11 MPP2 NTRK2 P2RX6 SEZ6		CNIH2 FGF14 GRIN1 HCN4 KCNH2 KCNJ11 MPP2 P2RX6 SCN1B SCN3B SEZ6
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	BRSK2 CAMK2B COLQ FZD4 GAP43 NEFL PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SYT2 TUBB2B	DPYSL3 FZD4 GPC2 LHFPL4 NTRK2 RAP1GAP2 SCN1B SDK1	APBB1 ARC BRSK1 BRSK2 CDK5R1 DNM3 DTX1 GPR173 GRHL3 HEY1 ID4 LRFN1 MAP2 MAP6 NTRK1 PLAG1 RASAL1 RTN4RL1 SNAP25 TTBK1	ARHGAP33 CAMK1 GPC6 MDK NEUROD2 NTNG2 NTRK1 RTN4RL1 SPP1 TRPC6	AGT ARHGAP33 CCDC88A CNR1 CPNE9 GPC2 GPR173 HAP1 HECW2 HOOK3 ID4 IGSF10 ISLR2 KNDC1 MAP1B NEUROD2 PAX6 PLAG1 PLXNC1 RET SCN1B SFRP1 SRCIN1 SYT2 TRPC6	BCL2 CHRNA3 CHRNB2 HECW2 PAX6 RNF157 RTN4RL1 STMN2		DNM3 ISLR2 NCS1 RET	DPYSL3 DRD2 GPC6 GRHL3 PMP22 SLITRK6 TRPC6	BCL2 DLL4 EPHB3 GRHL3 KIF1A LZTS1 PROX1 SEMA6B TTBK1 TUBB2B	ARHGAP33 BRSK1 DLL4 ISL1 KIF1A NDRG4 NTRK2 PRKCH RNF157 SNAP25	AGT APBB1 ARHGAP33 BRSK1 CACNG7 CCDC88A CEND1 COLQ CPNE9 DRD2 DTX1 EFNB3 FZD4 GAP43 GPC6 GPR173 HAP1 ID4 IGSF10 ISL1 LINGO1 LMX1A LRRTM3 MAP1B MAP2 MAP6 MDK NDRG4 NEUROD2 RASAL1 RET RGS14 SCN1B SEZ6 SLITRK6 SNAP25 SPP1 SRCIN1 TUBB2B	AGT ARC ASCL2 BRSK1 CEND1 CXCL12 GHRL GPC2 HES6 HOOK3 ID4 ISL1 MAP6 MDK NDRG4 NEUROD1 NEUROG3 NTRK2 PMP22 PRKD1 RASAL1 RGS14 SEZ6 SYT2	ARHGAP33 CNR1 DLL4 KNDC1 NCS1 NEGR1 NKX6-1 RAP1GAP2	AGT APBB1 CAMK1 CAMK2B EFNB3 GRIN1 HES6 LINGO1 LRFN1 LZTS1 MAP6 MDK RET SCN1B SEZ6
