PeakID (cmd=annotatePeaks.pl MAFB_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4399	chr12	49457354	49458100	+	0	NA	TTS (NM_144593)	TTS (NM_144593)	6035	NM_144593	121268	Hs.159013	NM_144593	ENSG00000167550	RHEBL1	RHEBL1c	RHEB like 1	protein-coding
8070	chr17	46405795	46406289	+	0	NA	intron (NM_001075099, intron 4 of 12)	intron (NM_001075099, intron 4 of 12)	34333	NR_131239	105371807	Hs.661105	NR_131239	ENSG00000235300	THRA1/BTR	-	uncharacterized LOC105371807	ncRNA
5531	chr13	76017443	76018006	+	0	NA	intron (NM_014832, intron 1 of 20)	intron (NM_014832, intron 1 of 20)	38580	NM_001286658	9882	Hs.210891	NM_014832	ENSG00000136111	TBC1D4	AS160|NIDDM5	TBC1 domain family member 4	protein-coding
9424	chr2	11638747	11639315	+	0	NA	Intergenic	Intergenic	-32728	NM_001278275	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
10454	chr2	158415231	158416155	+	0	NA	intron (NM_001111031, intron 2 of 8)	intron (NM_001111031, intron 2 of 8)	38379	NM_001111031	130399	Hs.562901	NM_145259	ENSG00000123612	ACVR1C	ACVRLK7|ALK7	activin A receptor type 1C	protein-coding
11573	chr20	45804247	45804625	+	0	NA	intron (NM_172110, intron 12 of 13)	intron (NM_172110, intron 12 of 13)	8827	NR_037410	100500814		NR_037410	ENSG00000264901	MIR3616	mir-3616	microRNA 3616	ncRNA
7274	chr16	20824351	20824782	+	0	NA	exon (NM_030941, exon 3 of 20)	exon (NM_030941, exon 3 of 20)	6717	NM_001199053	81691	Hs.177926	NM_030941	ENSG00000005189	REXO5	NEF-sp	RNA exonuclease 5	protein-coding
2767	chr10	112620423	112621309	+	0	NA	Intergenic	Intergenic	9796	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
19591	chr8	59469381	59470100	+	0	NA	intron (NM_001007070, intron 1 of 8)	(TATAA)n|Simple_repeat|Simple_repeat	3920	NM_005625	6386	Hs.200804	NM_005625	ENSG00000137575	SDCBP	MDA-9|MDA9|ST1|SYCL|TACIP18	syndecan binding protein	protein-coding
2904	chr10	127748019	127748501	+	0	NA	intron (NM_001288973, intron 14 of 22)	intron (NM_001288973, intron 14 of 22)	-86418	NR_102707	101410540	Hs.557889	NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
11632	chr20	50383418	50384020	+	0	NA	intron (NM_006045, intron 1 of 27)	CpG	1210	NM_006045	10079	Hs.649234	NM_006045	ENSG00000054793	ATP9A	ATPIIA	ATPase phospholipid transporting 9A (putative)	protein-coding
4559	chr12	67807206	67807838	+	0	NA	Intergenic	Intergenic	28817	NR_146500	102724433		NR_146500	ENSG00000256172	LINC02420	-	long intergenic non-protein coding RNA 2420	ncRNA
21467	chrX	83386208	83386640	+	0	NA	intron (NM_014496, intron 8 of 21)	intron (NM_014496, intron 8 of 21)	56519	NM_001330512	27330	Hs.234478	NM_014496	ENSG00000072133	RPS6KA6	PP90RSK4|RSK-4|RSK4|S6K-alpha-6|p90RSK6	ribosomal protein S6 kinase A6	protein-coding
6147	chr14	68761961	68762623	+	0	NA	intron (NM_001321817, intron 9 of 11)	intron (NM_001321817, intron 9 of 11)	333212	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
20628	chr9	75730720	75731426	+	0	NA	Intergenic	Intergenic	-35708	NM_000700	301	Hs.494173	NM_000700	ENSG00000135046	ANXA1	ANX1|LPC1	annexin A1	protein-coding
14452	chr4	90218603	90218950	+	0	NA	intron (NM_198281, intron 1 of 1)	intron (NM_198281, intron 1 of 1)	10175	NM_198281	285513	Hs.100912	NM_198281	ENSG00000185477	GPRIN3	GRIN3	GPRIN family member 3	protein-coding
11923	chr21	44489881	44490245	+	0	NA	intron (NM_001321073, intron 3 of 17)	intron (NM_001321073, intron 3 of 17)	-1549	NM_001321072	875	Hs.533013	NM_000071	ENSG00000160200	CBS	CBSL|HIP4	cystathionine-beta-synthase	protein-coding
15537	chr5	59122811	59123242	+	0	NA	intron (NM_001349243, intron 4 of 16)	intron (NM_001349243, intron 4 of 16)	-58352	NM_001364602	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
18214	chr7	26554923	26555518	+	0	NA	intron (NR_148500, intron 5 of 5)	intron (NR_148500, intron 5 of 5)	23224	NR_022006	9808	Hs.69749	NM_014769	ENSG00000122548	KIAA0087	-	KIAA0087 lncRNA	ncRNA
11273	chr20	14123626	14124432	+	0	NA	intron (NM_001351661, intron 3 of 17)	intron (NM_001351661, intron 3 of 17)	147867	NM_001351663	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
16370	chr5	157546864	157547177	+	0	NA	Intergenic	Intergenic	-260867	NM_014666	9685	Hs.644000	NM_014666	ENSG00000113282	CLINT1	CLINT|ENTH|EPN4|EPNR	clathrin interactor 1	protein-coding
275	chr1	28220889	28221472	+	0	NA	intron (NM_002946, intron 6 of 8)	intron (NM_002946, intron 6 of 8)	19906	NM_002946	6118	Hs.79411	NM_002946	ENSG00000117748	RPA2	REPA2|RP-A p32|RP-A p34|RPA32	replication protein A2	protein-coding
5907	chr14	39705327	39705622	+	0	NA	intron (NM_054024, intron 1 of 5)	L2c|LINE|L2	2355	NM_001329214	4253	Hs.287694	NM_005930	ENSG00000150527	MIA2	CTAGE5|MEA6|MGEA|MGEA11|MGEA6|TALI	MIA SH3 domain ER export factor 2	protein-coding
20496	chr9	27600584	27601037	+	0	NA	Intergenic	Intergenic	-26946	NM_145005	203228	Hs.493639	NM_018325	ENSG00000147894	C9orf72	ALSFTD|DENND9|DENNL72|FTDALS|FTDALS1	C9orf72-SMCR8 complex subunit	protein-coding
11784	chr21	27379967	27380448	+	0	NA	intron (NM_000484, intron 6 of 17)	intron (NM_000484, intron 6 of 17)	132501	NM_001136016	351	Hs.434980	NM_000484	ENSG00000142192	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4	amyloid beta precursor protein	protein-coding
19888	chr8	102093010	102093614	+	0	NA	Intergenic	Intergenic	29030	NR_033962	441374	Hs.652045	NR_033962	ENSG00000248599	FLJ42969	-	uncharacterized LOC441374	ncRNA
6634	chr15	47486961	47487505	+	0	NA	intron (NM_001198999, intron 1 of 19)	intron (NM_001198999, intron 1 of 19)	10947	NM_001198999	80031	Hs.511265	NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
8501	chr18	8807928	8808397	+	0	NA	intron (NM_015210, intron 11 of 16)	intron (NM_015210, intron 11 of 16)	90783	NM_015210	23255	Hs.707920	NM_015210	ENSG00000168502	MTCL1	CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1	protein-coding
1399	chr1	205110822	205111480	+	0	NA	TTS (NM_015375)	TTS (NM_015375)	-20045	NM_001193273	5929	Hs.519230	NM_005057	ENSG00000117222	RBBP5	RBQ3|SWD1	RB binding protein 5, histone lysine methyltransferase complex subunit	protein-coding
16119	chr5	133863278	133863690	+	0	NA	intron (NM_015288, intron 1 of 10)	intron (NM_015288, intron 1 of 10)	1686	NM_015288	23338	Hs.732155	NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
10782	chr2	201248358	201248994	+	0	NA	intron (NM_001282743, intron 2 of 11)	intron (NM_001282743, intron 2 of 11)	75003	NM_001282744	26010	Hs.120323	NM_015535	ENSG00000196141	SPATS2L	DNAPTP6|SGNP	spermatogenesis associated serine rich 2 like	protein-coding
17416	chr6	112266133	112267395	+	0	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	-36164	NR_149099	105377946		NR_149099		LINC02527	-	long intergenic non-protein coding RNA 2527	ncRNA
17035	chr6	48635240	48636110	+	0	NA	Intergenic	Intergenic	-599250	NM_207499	442213	Hs.659409	NM_207499	ENSG00000244694	PTCHD4	C6orf138|PTCH53|dJ402H5.2	patched domain containing 4	protein-coding
6103	chr14	65229965	65230434	+	0	NA	intron (NM_001355436, intron 32 of 35)	intron (NM_001355436, intron 32 of 35)	22205	NR_107009	102465841		NR_107009	ENSG00000284269	MIR7855	hsa-mir-7855	microRNA 7855	ncRNA
568	chr1	61086747	61087712	+	0	NA	intron (NR_146508, intron 1 of 7)	intron (NR_146508, intron 1 of 7)	1128	NR_146508	105378763	Hs.551175	NR_146508	ENSG00000226476	LINC01748	-	long intergenic non-protein coding RNA 1748	ncRNA
8935	chr18	72427711	72429000	+	0	NA	intron (NM_001146189, intron 2 of 6)	intron (NM_001146189, intron 2 of 6)	85436	NM_001146189	55628	Hs.536490	NM_017757	ENSG00000215421	ZNF407	-	zinc finger protein 407	protein-coding
241	chr1	25867405	25868002	+	0	NA	Intergenic	Intergenic	-2373	NM_015627	26119	Hs.590911	NM_015627	ENSG00000157978	LDLRAP1	ARH|ARH1|ARH2|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
7557	chr16	78171744	78172398	+	0	NA	intron (NM_001291997, intron 3 of 7)	intron (NM_001291997, intron 3 of 7)	38520	NM_016373	51741	Hs.461453	NM_016373	ENSG00000186153	WWOX	D16S432E|EIEE28|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	WW domain containing oxidoreductase	protein-coding
4529	chr12	62586484	62586758	+	0	NA	promoter-TSS (NM_178539)	promoter-TSS (NM_178539)	-1	NM_178539	338811	Hs.269745	NM_178539	ENSG00000198673	TAFA2	FAM19A2|TAFA-2	TAFA chemokine like family member 2	protein-coding
10109	chr2	89208128	89208591	+	0	NA	Intergenic	MER82|DNA|TcMar-Tigger	96475	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
21402	chrX	49648811	49649200	+	0	NA	Intergenic	Intergenic	4918	NM_001145073	389856	Hs.143587	NM_001145073	ENSG00000273820	USP27X	MRX105|USP22L|USP27	ubiquitin specific peptidase 27 X-linked	protein-coding
17682	chr6	138816348	138816934	+	0	NA	intron (NM_020464, intron 2 of 6)	intron (NM_020464, intron 2 of 6)	3990	NM_001144060	57224	Hs.652741	NM_020464	ENSG00000135540	NHSL1	C6orf63	NHS like 1	protein-coding
5626	chr13	97444827	97445455	+	0	NA	intron (NM_153456, intron 1 of 1)	intron (NM_153456, intron 1 of 1)	191285	NR_051966	100887754	Hs.617003	NR_051966		LINC00359	-	long intergenic non-protein coding RNA 359	ncRNA
6628	chr15	45879687	45880487	+	0	NA	intron (NR_132359, intron 1 of 2)	intron (NR_132359, intron 1 of 2)	117	NR_132356	26258	Hs.7037	NM_012388	ENSG00000104164	BLOC1S6	BLOS6|HPS9|PA|PALLID|PLDN	biogenesis of lysosomal organelles complex 1 subunit 6	protein-coding
2931	chr10	133746135	133746517	+	0	NA	Intergenic	Intergenic	-1629	NM_001291310	55844	Hs.380372	NM_018461	ENSG00000175470	PPP2R2D	B55D|B55delta|MDS026	protein phosphatase 2 regulatory subunit Bdelta	protein-coding
2161	chr10	35759223	35759947	+	0	NA	intron (NM_001282853, intron 2 of 10)	intron (NM_001282853, intron 2 of 10)	133783	NM_001282852	219771	Hs.14745	NM_145012	ENSG00000108100	CCNY	C10orf9|CBCP1|CCNX|CFP1	cyclin Y	protein-coding
14271	chr4	74719853	74720213	+	0	NA	3' UTR (NM_002620, exon 3 of 3)	3' UTR (NM_002620, exon 3 of 3)	1020	NM_002620	5197	Hs.72933	NM_002620	ENSG00000109272	PF4V1	CXCL4L1|CXCL4V1|PF4-ALT|PF4A|SCYB4V1	platelet factor 4 variant 1	protein-coding
9333	chr2	1939953	1940758	+	0	NA	intron (NM_001329845, intron 9 of 24)	intron (NM_001329845, intron 9 of 24)	-192068	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	ASGD7|COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
21135	chr9	136619876	136620276	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-14999	NM_007101	1757	Hs.198003	NM_007101	ENSG00000123453	SARDH	BPR-2|DMGDHL1|SAR|SARD|SDH	sarcosine dehydrogenase	protein-coding
4984	chr12	123326274	123327578	+	0	NA	intron (NM_003959, intron 1 of 31)	intron (NM_003959, intron 1 of 31)	6922	NM_003959	9026	Hs.524815	NM_003959	ENSG00000130787	HIP1R	HIP12|HIP3|ILWEQ	huntingtin interacting protein 1 related	protein-coding
8836	chr18	56032375	56032937	+	0	NA	intron (NM_001144971, intron 20 of 30)	intron (NM_001144971, intron 20 of 30)	-85650	NR_029667	406906		NR_029667	ENSG00000284440	MIR122	MIR122A|MIRN122|MIRN122A|hsa-mir-122|miRNA122|miRNA122A|mir-122	microRNA 122	ncRNA
13811	chr3	195621385	195621795	+	0	NA	intron (NM_005781, intron 1 of 14)	intron (NM_005781, intron 1 of 14)	629	NM_001010938	10188	Hs.518513	NM_005781	ENSG00000061938	TNK2	ACK|ACK-1|ACK1|p21cdc42Hs	tyrosine kinase non receptor 2	protein-coding
3583	chr11	83219627	83220257	+	0	NA	intron (NM_001142699, intron 21 of 27)	intron (NM_001142699, intron 21 of 27)	173526	NM_001142702	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
9607	chr2	30871703	30872387	+	0	NA	Intergenic	Intergenic	158267	NM_144575	92291	Hs.660911	NM_144575	ENSG00000162949	CAPN13	-	calpain 13	protein-coding
10998	chr2	225132914	225133637	+	0	NA	Intergenic	Intergenic	133436	NM_024785	79843	Hs.147585	NM_024785	ENSG00000124019	FAM124B	-	family with sequence similarity 124 member B	protein-coding
12016	chr22	24798445	24799151	+	0	NA	intron (NM_001254732, intron 13 of 14)	intron (NM_001254732, intron 13 of 14)	-20767	NM_001278500	135	Hs.197029	NM_000675	ENSG00000128271	ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor	protein-coding
8401	chr17	77951189	77951751	+	0	NA	intron (NM_019020, intron 3 of 11)	intron (NM_019020, intron 3 of 11)	-26818	NM_001271844	125058	Hs.369819	NM_019020	ENSG00000167291	TBC1D16	-	TBC1 domain family member 16	protein-coding
4973	chr12	122517925	122518703	+	0	NA	intron (NM_014938, intron 1 of 16)	intron (NM_014938, intron 1 of 16)	1652	NM_014938	22877	Hs.437153	NM_014938	ENSG00000175727	MLXIP	MIR|MONDOA|bHLHe36	MLX interacting protein	protein-coding
3119	chr11	16812982	16813579	+	0	NA	intron (NM_001329631, intron 19 of 22)	intron (NM_001329631, intron 19 of 22)	53086	NM_014267	10944	Hs.368226	NM_014267	ENSG00000110696	C11orf58	IMAGE145052|SMAP	chromosome 11 open reading frame 58	protein-coding
15371	chr5	41045789	41046115	+	0	NA	exon (NM_173489, exon 18 of 42)	exon (NM_173489, exon 18 of 42)	25492	NM_173489	133558	Hs.97714	NM_173489	ENSG00000171495	MROH2B	HEATR7B2|SPIF	maestro heat like repeat family member 2B	protein-coding
20384	chr9	8661478	8661903	+	0	NA	intron (NM_130392, intron 1 of 30)	intron (NM_130392, intron 1 of 30)	72256	NM_130393	5789	Hs.446083	NM_002839	ENSG00000153707	PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA	protein tyrosine phosphatase receptor type D	protein-coding
18447	chr7	67734396	67734828	+	0	NA	Intergenic	Intergenic	249372	NR_120514	102723427	Hs.583491	NR_120514	ENSG00000225209	LOC102723427	-	uncharacterized LOC102723427	ncRNA
13946	chr4	16526087	16526516	+	0	NA	intron (NM_001290, intron 5 of 7)	intron (NM_001290, intron 5 of 7)	298015	NR_027696	202020	Hs.445315	NM_152684	ENSG00000263327	TAPT1-AS1	-	TAPT1 antisense RNA 1 (head to head)	ncRNA
9395	chr2	8821962	8822439	+	0	NA	promoter-TSS (NM_002166)	promoter-TSS (NM_002166)	14	NM_002166	3398	Hs.180919	NM_002166	ENSG00000115738	ID2	GIG8|ID2A|ID2H|bHLHb26	inhibitor of DNA binding 2	protein-coding
9860	chr2	55108841	55109368	+	0	NA	intron (NM_001039753, intron 16 of 40)	intron (NM_001039753, intron 16 of 40)	128304	NM_007008	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
17223	chr6	86837824	86838255	+	0	NA	Intergenic	Intergenic	-449588	NR_003038	387066	Hs.292457	NR_003038	ENSG00000203875	SNHG5	C6orf160|LINC00044|NCRNA00044|U50HG	small nucleolar RNA host gene 5	ncRNA
6220	chr14	77499759	77500282	+	0	NA	Intergenic	CpG	-4969	NM_024496	64207	Hs.179260	NM_024496	ENSG00000119669	IRF2BPL	C14orf4|EAP1|NEDAMSS	interferon regulatory factor 2 binding protein like	protein-coding
15857	chr5	102130887	102131408	+	0	NA	intron (NM_001364584, intron 1 of 25)	intron (NM_001364584, intron 1 of 25)	-12755	NM_001364582	5066	Hs.369430	NM_000919	ENSG00000145730	PAM	PAL|PHM	peptidylglycine alpha-amidating monooxygenase	protein-coding
585	chr1	62478881	62479202	+	0	NA	intron (NM_176877, intron 28 of 42)	intron (NM_176877, intron 28 of 42)	-65417	NR_036058	100422902		NR_036058	ENSG00000263908	MIR3116-1	-	microRNA 3116-1	ncRNA
2268	chr10	61259792	61260289	+	0	NA	Intergenic	Intergenic	-137101	NM_001347842	220965	Hs.607594	NM_198215	ENSG00000148541	FAM13C	FAM13C1	family with sequence similarity 13 member C	protein-coding
9672	chr2	39663908	39664368	+	0	NA	promoter-TSS (NR_037875)	promoter-TSS (NR_037875)	288	NM_003618	8491	Hs.655750	NM_003618	ENSG00000011566	MAP4K3	GLK|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3	protein-coding
20462	chr9	19958165	19958589	+	0	NA	Intergenic	Intergenic	-171360	NM_001193288	25769	Hs.283014	NM_020344	ENSG00000155886	SLC24A2	NCKX2	solute carrier family 24 member 2	protein-coding
8483	chr18	7804388	7805220	+	0	NA	intron (NM_001105244, intron 2 of 32)	intron (NM_001105244, intron 2 of 32)	237490	NM_001105244	5797	Hs.49774	NM_002845	ENSG00000173482	PTPRM	PTPRL1|R-PTP-MU|RPTPM|RPTPU|hR-PTPu	protein tyrosine phosphatase receptor type M	protein-coding
10284	chr2	126649298	126649946	+	0	NA	Intergenic	(TATAA)n|Simple_repeat|Simple_repeat	225940	NR_146970	105373600	Hs.555059	NR_146970	ENSG00000226813	LINC01941	-	long intergenic non-protein coding RNA 1941	ncRNA
21430	chrX	63005101	63005878	+	0	NA	promoter-TSS (NM_001369043)	promoter-TSS (NM_001369043)	-395	NM_001330495	23229	Hs.54697	NM_015185	ENSG00000131089	ARHGEF9	COLLYBISTIN|EIEE8|HPEM-2|PEM-2|PEM2	Cdc42 guanine nucleotide exchange factor 9	protein-coding
17860	chr6	154915604	154916172	+	0	NA	Intergenic	Intergenic	-84069	NM_001368117	154043	Hs.16064	NM_173515	ENSG00000153721	CNKSR3	CNK3|CNK3/IPCEF1|MAGI1	CNKSR family member 3	protein-coding
1484	chr1	211454268	211455155	+	0	NA	intron (NM_018254, intron 6 of 10)	intron (NM_018254, intron 6 of 10)	21422	NM_018254	55758	Hs.356399	NM_018254	ENSG00000117625	RCOR3	-	REST corepressor 3	protein-coding
10267	chr2	121793473	121794451	+	0	NA	Intergenic	Intergenic	244105	NM_005270	2736	Hs.111867	NM_005270	ENSG00000074047	GLI2	CJS|HPE9|PHS2|THP1|THP2	GLI family zinc finger 2	protein-coding
4598	chr12	72149176	72149630	+	0	NA	intron (NM_014999, intron 1 of 6)	intron (NM_014999, intron 1 of 6)	760	NM_014999	23011	Hs.524590	NM_014999	ENSG00000080371	RAB21	-	RAB21, member RAS oncogene family	protein-coding
12886	chr3	72323451	72324048	+	0	NA	Intergenic	Intergenic	123341	NR_038221	201617	Hs.382623	NR_038221	ENSG00000243083	LINC00870	-	long intergenic non-protein coding RNA 870	ncRNA
21638	chrX	149805112	149805816	+	0	NA	intron (NM_000252, intron 6 of 14)	intron (NM_000252, intron 6 of 14)	-55971	NM_001353994	8776	Hs.347187	NM_003828	ENSG00000063601	MTMR1	-	myotubularin related protein 1	protein-coding
2065	chr10	26196185	26196810	+	0	NA	Intergenic	LTR88b|LTR|Gypsy?	26142	NR_120650	101929073	Hs.409816	NR_120650	ENSG00000226304	LOC101929073	-	uncharacterized LOC101929073	ncRNA
8292	chr17	69399023	69399617	+	0	NA	Intergenic	Intergenic	-201000	NR_104152	101928165	Hs.407613	NR_104152	ENSG00000260785	CASC17	LINC00600	cancer susceptibility 17	ncRNA
5980	chr14	55505495	55505946	+	0	NA	intron (NM_199421, intron 2 of 2)	L1M7|LINE|L1	11766	NM_199421	122809	Hs.744302	NM_080867	ENSG00000180008	SOCS4	SOCS7	suppressor of cytokine signaling 4	protein-coding
1700	chr1	233808877	233809321	+	0	NA	TTS (NM_002245)	TTS (NM_002245)	49201	NR_039625	100616390		NR_039625	ENSG00000265744	MIR4427	-	microRNA 4427	ncRNA
6858	chr15	70636888	70637313	+	0	NA	Intergenic	Intergenic	161167	NR_146562	105370880		NR_146562	ENSG00000259473	LINC02205	-	long intergenic non-protein coding RNA 2205	ncRNA
5989	chr14	56648459	56649013	+	0	NA	intron (NM_021255, intron 2 of 5)	L2a|LINE|L2	63607	NM_021255	57161	Hs.657926	NM_021255	ENSG00000139946	PELI2	-	pellino E3 ubiquitin protein ligase family member 2	protein-coding
2075	chr10	26844797	26845577	+	0	NA	intron (NM_019043, intron 11 of 14)	intron (NM_019043, intron 11 of 14)	23049	NR_134472	101929117	Hs.127031	NR_134472		LOC101929117	-	uncharacterized LOC101929117	ncRNA
9310	chr19	54962217	54963524	+	0	NA	intron (NM_052925, intron 2 of 15)	intron (NM_052925, intron 2 of 15)	2493	NM_052925	114823	Hs.502378	NM_052925	ENSG00000167615	LENG8	pp13842	leukocyte receptor cluster member 8	protein-coding
16779	chr6	28554947	28555769	+	0	NA	promoter-TSS (NM_052923)	promoter-TSS (NM_052923)	-283	NM_052923	114821	Hs.176980	NM_052923	ENSG00000232040	ZBED9	Buster4|SCAND3|ZFP38-L|ZNF305P2|ZNF452|dJ1186N24.3	zinc finger BED-type containing 9	protein-coding
19511	chr8	50309207	50309545	+	0	NA	Intergenic	Intergenic	115363	NR_134294	100507464	Hs.245745	NR_134294	ENSG00000253380	LOC100507464	-	uncharacterized LOC100507464	ncRNA
3980	chr11	125838476	125838921	+	0	NA	intron (NM_016952, intron 18 of 19)	intron (NM_016952, intron 18 of 19)	22747	NM_001365077	338667	Hs.730137	NM_001365077		VSIG10L2	-	V-set and immunoglobulin domain containing 10 like 2	protein-coding
21523	chrX	109289186	109289838	+	0	NA	intron (NM_032227, intron 2 of 6)	intron (NM_032227, intron 2 of 6)	-9045	NR_030381	724022		NR_030381	ENSG00000208013	MIR652	MIRN652|hsa-mir-652	microRNA 652	ncRNA
7151	chr16	4033081	4033555	+	0	NA	exon (NM_001116, exon 7 of 11)	exon (NM_001116, exon 7 of 11)	-32873	NR_120311	102724927	Hs.364739	NR_120311	ENSG00000262185	LOC102724927	-	uncharacterized LOC102724927	ncRNA
231	chr1	24106381	24106967	+	0	NA	intron (NM_020362, intron 3 of 5)	intron (NM_020362, intron 3 of 5)	1766	NM_020362	57095	Hs.31819	NM_020362	ENSG00000057757	PITHD1	C1orf128|HT014|TXNL1CL	PITH domain containing 1	protein-coding
2314	chr10	64272362	64272848	+	0	NA	intron (NM_199451, intron 4 of 7)	intron (NM_199451, intron 4 of 7)	-7602	NM_199452	22891	Hs.22653	NM_014951	ENSG00000138311	ZNF365	Su48|UAN|ZNF365D	zinc finger protein 365	protein-coding
6314	chr14	91069956	91070538	+	0	NA	intron (NM_001320421, intron 17 of 20)	intron (NM_001320421, intron 17 of 20)	-38726	NR_110134	101928909	Hs.662545	NR_110134	ENSG00000259163	LOC101928909	-	uncharacterized LOC101928909	ncRNA
8613	chr18	31382457	31383941	+	0	NA	Intergenic	Intergenic	225016	NM_030632	80816	Hs.464876	NM_030632	ENSG00000141431	ASXL3	BRPS|KIAA1713	ASXL transcriptional regulator 3	protein-coding
11974	chr22	19879604	19880204	+	0	NA	intron (NR_147957, intron 10 of 16)	intron (NR_147957, intron 10 of 16)	-37507	NM_053004	54584	Hs.105642	NM_053004	ENSG00000185838	GNB1L	DGCRK3|FKSG1|GY2|WDR14|WDVCF	G protein subunit beta 1 like	protein-coding
1483	chr1	211431507	211432121	+	0	NA	promoter-TSS (NM_001136225)	promoter-TSS (NM_001136225)	-805	NR_146434	55758	Hs.356399	NM_018254	ENSG00000117625	RCOR3	-	REST corepressor 3	protein-coding
4489	chr12	57145395	57145987	+	0	NA	intron (NM_000946, intron 1 of 12)	intron (NM_000946, intron 1 of 12)	416	NM_000946	5557	Hs.534339	NM_000946	ENSG00000198056	PRIM1	p49	DNA primase subunit 1	protein-coding
977	chr1	145000049	145000861	+	0	NA	intron (NM_001350523, intron 3 of 45)	intron (NM_001350523, intron 3 of 45)	-3344	NM_001195260	9659	Hs.584841	NM_014644	ENSG00000178104	PDE4DIP	CMYA2|MMGL	phosphodiesterase 4D interacting protein	protein-coding
10501	chr2	163029264	163029966	+	0	NA	TTS (NR_110255)	TTS (NR_110255)	-20858	NM_002054	2641	Hs.516494	NM_002054	ENSG00000115263	GCG	GLP-1|GLP1|GLP2|GRPP	glucagon	protein-coding
8488	chr18	8197230	8198082	+	0	NA	intron (NM_001105244, intron 14 of 32)	intron (NM_001105244, intron 14 of 32)	169376	NR_024419	100192426	Hs.666655	NR_024419	ENSG00000266149	LOC100192426	-	uncharacterized LOC100192426	ncRNA
4789	chr12	103667134	103668071	+	0	NA	non-coding (NR_103526, exon 6 of 11)	non-coding (NR_103526, exon 6 of 11)	121982	NR_126333	101929058	Hs.171310	NR_126333	ENSG00000257860	LOC101929058	-	uncharacterized LOC101929058	ncRNA
15964	chr5	115822195	115822561	+	0	NA	intron (NM_020796, intron 10 of 18)	intron (NM_020796, intron 10 of 18)	39184	NR_109879	101927233	Hs.732850	NR_109879	ENSG00000248445	SEMA6A-AS1	CTB-118N6.3	SEMA6A antisense RNA 1	ncRNA
12895	chr3	73319813	73320327	+	0	NA	Intergenic	Intergenic	163076	NM_001303142	23024	Hs.660347	NM_015009	ENSG00000121440	PDZRN3	LNX3|SEMACAP3|SEMCAP3	PDZ domain containing ring finger 3	protein-coding
10353	chr2	136899061	136899490	+	0	NA	Intergenic	Intergenic	-23550	NM_003467	7852	Hs.593413	NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	C-X-C motif chemokine receptor 4	protein-coding
7214	chr16	11012591	11012904	+	0	NA	intron (NR_104444, intron 14 of 17)	intron (NR_104444, intron 14 of 17)	23578	NM_014015	28955	Hs.592051	NM_014015	ENSG00000182108	DEXI	MYLE	Dexi homolog	protein-coding
