PeakID (cmd=annotatePeaks.pl FOXA2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6086	chr10	78950926	78951888	+	0	NA	intron (NM_001322832, intron 3 of 27)	intron (NM_001322832, intron 3 of 27)	50818	NR_120654	101929310	Hs.666457	NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
33457	chr3	170957369	170958030	+	0	NA	intron (NM_015028, intron 2 of 32)	intron (NM_015028, intron 2 of 32)	-133151	NR_030295	693154		NR_030295	ENSG00000207963	MIR569	MIRN569|hsa-mir-569	microRNA 569	ncRNA
15558	chr14	77171540	77172231	+	0	NA	Intergenic	Intergenic	-55926	NM_014909	22846	Hs.525479	NM_014909	ENSG00000071246	VASH1	KIAA1036|TTCP 1	vasohibin 1	protein-coding
10272	chr12	20710100	20710864	+	0	NA	intron (NM_000921, intron 2 of 15)	intron (NM_000921, intron 2 of 15)	-14316	NM_001244683	5139	Hs.386791	NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A	protein-coding
17901	chr16	14242301	14243072	+	0	NA	intron (NM_001365417, intron 4 of 4)	intron (NM_001365417, intron 4 of 4)	-37857	NM_001365411	57496	Hs.49143	NM_014048	ENSG00000186260	MRTFB	MKL2|MRTF-B|NPD001	myocardin related transcription factor B	protein-coding
4198	chr1	230960769	230961413	+	0	NA	Intergenic	Intergenic	30662	NM_001136495	84886	Hs.520494	NM_032800	ENSG00000119280	C1orf198	-	chromosome 1 open reading frame 198	protein-coding
35579	chr4	82235343	82236310	+	0	NA	Intergenic	Intergenic	-99450	NM_001363401	5593	Hs.232044	NM_006259	ENSG00000138669	PRKG2	PKG2|PRKGR2|cGK2|cGKII	protein kinase cGMP-dependent 2	protein-coding
27785	chr20	10842148	10842643	+	0	NA	Intergenic	Intergenic	47525	NR_109866	101929413	Hs.385604	NR_109866	ENSG00000232900	LOC101929413	-	uncharacterized LOC101929413	ncRNA
12974	chr13	41204024	41204837	+	0	NA	intron (NM_002015, intron 1 of 2)	intron (NM_002015, intron 1 of 2)	36348	NM_002015	2308	Hs.370666	NM_002015	ENSG00000150907	FOXO1	FKH1|FKHR|FOXO1A	forkhead box O1	protein-coding
4260	chr1	232989468	232990206	+	0	NA	Intergenic	Intergenic	49199	NM_019090	54627	Hs.160373	NM_019090	ENSG00000212916	MAP10	KIAA1383|MTR120	microtubule associated protein 10	protein-coding
13689	chr13	78141041	78141416	+	0	NA	intron (NM_144777, intron 5 of 32)	intron (NM_144777, intron 5 of 32)	31387	NM_003843	8796	Hs.534699	NM_003843	ENSG00000136155	SCEL	-	sciellin	protein-coding
38318	chr5	33422848	33423684	+	0	NA	Intergenic	MIR3|SINE|MIR	-17536	NM_001258437	6897	Hs.481860	NM_152295	ENSG00000113407	TARS	ThrRS	threonyl-tRNA synthetase	protein-coding
53328	chrX	10165374	10166173	+	0	NA	intron (NM_001256944, intron 3 of 10)	intron (NM_001256944, intron 3 of 10)	40758	NM_001830	1183	Hs.495674	NM_001830	ENSG00000073464	CLCN4	CLC4|ClC-4|ClC-4A|MRX15|MRX49|MRXSRC	chloride voltage-gated channel 4	protein-coding
27260	chr2	226513563	226514123	+	0	NA	intron (NM_001371273, intron 6 of 7)	intron (NM_001371273, intron 6 of 7)	248241	NM_020864	57624	Hs.224409	NM_020864	ENSG00000144460	NYAP2	KIAA1486	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein-coding
12161	chr12	120975821	120976637	+	0	NA	intron (NM_014868, intron 1 of 16)	intron (NM_014868, intron 1 of 16)	4070	NM_014868	9921	Hs.442798	NM_014868	ENSG00000022840	RNF10	RIE2	ring finger protein 10	protein-coding
40096	chr5	122848729	122849239	+	0	NA	intron (NM_001364148, intron 1 of 8)	intron (NM_001364148, intron 1 of 8)	1113	NM_001270573	1456	Hs.129206	NM_004384	ENSG00000151292	CSNK1G3	CKI-gamma 3|CSNK1G3L	casein kinase 1 gamma 3	protein-coding
12088	chr12	116713863	116714829	+	0	NA	intron (NM_015335, intron 1 of 30)	intron (NM_015335, intron 1 of 30)	645	NM_015335	23389	Hs.603766	NM_015335	ENSG00000123066	MED13L	MRFACD|PROSIT240|THRAP2|TRAP240L	mediator complex subunit 13L	protein-coding
16478	chr15	42883612	42884338	+	0	NA	intron (NM_020759, intron 3 of 32)	intron (NM_020759, intron 3 of 32)	16171	NM_020759	57519	Hs.122061	NM_020759	ENSG00000159433	STARD9	KIF16A	StAR related lipid transfer domain containing 9	protein-coding
32715	chr3	132035959	132037832	+	0	NA	intron (NM_001134194, intron 1 of 10)	intron (NM_001134194, intron 1 of 10)	644	NM_001292037	55	Hs.433060	NM_001099	ENSG00000014257	ACPP	5'-NT|ACP-3|ACP3	acid phosphatase, prostate	protein-coding
18091	chr16	31397504	31398468	+	0	NA	Intergenic	MER66D|LTR|ERV1	-6670	NM_005353	3681	Hs.679163	NM_005353	ENSG00000156886	ITGAD	ADB2|CD11D	integrin subunit alpha D	protein-coding
12689	chr13	32443584	32444126	+	0	NA	intron (NR_027062, intron 1 of 3)	L2c|LINE|L2	22935	NR_027062	196549	Hs.507667	NM_145293		EEF1DP3	-	eukaryotic translation elongation factor 1 delta pseudogene 3	pseudo
31714	chr3	78160559	78161316	+	0	NA	Intergenic	Intergenic	-62823	NR_146636	105377172		NR_146636		LINC02077	-	long intergenic non-protein coding RNA 2077	ncRNA
52253	chr9	93121377	93122188	+	0	NA	intron (NR_109795, intron 2 of 2)	L1MD1|LINE|L1	73989	NR_109795	101927873	Hs.598482	NR_109795	ENSG00000231107	LINC01508	-	long intergenic non-protein coding RNA 1508	ncRNA
14564	chr14	31550926	31551600	+	0	NA	intron (NM_007077, intron 5 of 5)	intron (NM_007077, intron 5 of 5)	55414	NM_001254728	11154	Hs.293411	NM_007077	ENSG00000100478	AP4S1	AP47B|CLA20|CLAPS4|CPSQ6|SPG52	adaptor related protein complex 4 subunit sigma 1	protein-coding
25381	chr2	135460723	135461681	+	0	NA	intron (NM_030923, intron 2 of 7)	HAL1|LINE|L1	15368	NM_030923	81615	Hs.369471	NM_030923	ENSG00000152128	TMEM163	DC29|SV31	transmembrane protein 163	protein-coding
30632	chr3	31411353	31412149	+	0	NA	Intergenic	L1M4|LINE|L1	-162666	NM_178862	201595	Hs.475812	NM_178862	ENSG00000163527	STT3B	CDG1X|SIMP|STT3-B	STT3 oligosaccharyltransferase complex catalytic subunit B	protein-coding
2673	chr1	162823750	162824626	+	0	NA	3' UTR (NM_178550, exon 4 of 4)	3' UTR (NM_178550, exon 4 of 4)	14417	NM_178550	339512	Hs.407631	NM_178550	ENSG00000185860	CCDC190	C1orf110	coiled-coil domain containing 190	protein-coding
17681	chr16	2089246	2090072	+	0	NA	TTS (NM_002528)	TTS (NM_002528)	6364	NM_001252073	9351	Hs.440896	NM_004785	ENSG00000065054	SLC9A3R2	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	SLC9A3 regulator 2	protein-coding
38718	chr5	57234647	57235269	+	0	NA	Intergenic	Intergenic	-39969	NR_109900	101928539	Hs.639385	NR_109900	ENSG00000249584	LINC02225	-	long intergenic non-protein coding RNA 2225	ncRNA
23473	chr2	29725216	29726146	+	0	NA	intron (NM_004304, intron 4 of 28)	intron (NM_004304, intron 4 of 28)	-27438	NR_136317	105374389	Hs.196534	NR_136317		LOC105374389	-	uncharacterized LOC105374389	ncRNA
4439	chr1	238368541	238369179	+	0	NA	Intergenic	Intergenic	280457	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	LINK-A|LINKA	long intergenic non-protein coding RNA 1139	ncRNA
38865	chr5	60133664	60134135	+	0	NA	intron (NM_024930, intron 1 of 8)	intron (NM_024930, intron 1 of 8)	6197	NM_024930	79993	Hs.274256	NM_024930	ENSG00000164181	ELOVL7	-	ELOVL fatty acid elongase 7	protein-coding
19886	chr17	50214685	50215478	+	0	NA	intron (NM_001082533, intron 2 of 9)	intron (NM_001082533, intron 2 of 9)	20993	NM_020178	56934	Hs.463466	NM_020178	ENSG00000154975	CA10	CA-RPX|CARPX|HUCEP-15	carbonic anhydrase 10	protein-coding
24443	chr2	67190541	67191541	+	0	NA	intron (NR_110169, intron 4 of 4)	intron (NR_110169, intron 4 of 4)	-41419	NR_110600	102724321	Hs.146803	NR_110600	ENSG00000232688	LINC01628	-	long intergenic non-protein coding RNA 1628	ncRNA
6961	chr10	116463116	116463921	+	0	NA	intron (NM_001322885, intron 1 of 20)	intron (NM_001322885, intron 1 of 20)	-18756	NM_001322882	3983	Hs.438236	NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
25658	chr2	153046428	153047175	+	0	NA	Intergenic	Intergenic	-14524	NM_005843	10254	Hs.17200	NM_005843	ENSG00000115145	STAM2	Hbp|STAM2A|STAM2B	signal transducing adaptor molecule 2	protein-coding
7568	chr11	15918491	15919260	+	0	NA	Intergenic	Intergenic	72292	NR_106721	102464826		NR_106721	ENSG00000284094	MIR6073	hsa-mir-6073	microRNA 6073	ncRNA
23420	chr2	28061402	28062095	+	0	NA	intron (NM_022128, intron 5 of 7)	intron (NM_022128, intron 5 of 7)	-49828	NM_001329112	9577	Hs.258314	NM_004899	ENSG00000158019	BABAM2	BRCC4|BRCC45|BRE	BRISC and BRCA1 A complex member 2	protein-coding
45640	chr7	25295162	25296542	+	0	NA	Intergenic	Intergenic	-27747	NM_022150	64111	Hs.60473	NM_022150	ENSG00000105954	NPVF	C7orf9|RFRP	neuropeptide VF precursor	protein-coding
16122	chr15	26951320	26952092	+	0	NA	intron (NM_001278631, intron 3 of 9)	intron (NM_001278631, intron 3 of 9)	10206	NM_001191320	2562	Hs.302352	NM_000814	ENSG00000166206	GABRB3	ECA5|EIEE43	gamma-aminobutyric acid type A receptor beta3 subunit	protein-coding
1291	chr1	60642990	60643465	+	0	NA	Intergenic	ERVL-B4-int|LTR|ERVL	-103785	NM_152377	127795	Hs.47385	NM_152377	ENSG00000162598	C1orf87	CREF	chromosome 1 open reading frame 87	protein-coding
21571	chr18	46627358	46628240	+	0	NA	intron (NM_001353216, intron 14 of 15)	intron (NM_001353216, intron 14 of 15)	-51661	NR_039898	100616420		NR_039898	ENSG00000263849	MIR4744	-	microRNA 4744	ncRNA
29958	chr22	47196797	47197788	+	0	NA	intron (NM_014346, intron 4 of 12)	intron (NM_014346, intron 4 of 12)	27468	NM_001284305	25771	Hs.435044	NM_014346	ENSG00000054611	TBC1D22A	C22orf4|HSC79E021	TBC1 domain family member 22A	protein-coding
4878	chr10	7517195	7517888	+	0	NA	Intergenic	Intergenic	-64093	NM_001029880	57713	Hs.407983	NM_001018039	ENSG00000198879	SFMBT2	-	Scm like with four mbt domains 2	protein-coding
51570	chr9	27682335	27682960	+	0	NA	Intergenic	Intergenic	-108783	NM_001256054	203228	Hs.493639	NM_018325	ENSG00000147894	C9orf72	ALSFTD|DENND9|DENNL72|FTDALS|FTDALS1	C9orf72-SMCR8 complex subunit	protein-coding
413	chr1	20510134	20510780	+	0	NA	TTS (NR_110078)	TTS (NR_110078)	-2132	NM_152376	127733	Hs.432503	NM_152376	ENSG00000162543	UBXN10	UBXD3	UBX domain protein 10	protein-coding
30133	chr3	5388812	5389568	+	0	NA	Intergenic	Intergenic	-97250	NR_039953	100616334		NR_039953	ENSG00000265180	MIR4790	-	microRNA 4790	ncRNA
52150	chr9	88254530	88255056	+	0	NA	intron (NM_015239, intron 13 of 25)	intron (NM_015239, intron 13 of 25)	102151	NM_001286715	23287	Hs.719980	NM_015239	ENSG00000135049	AGTPBP1	CCP1|CONDCA|NNA1	ATP/GTP binding protein 1	protein-coding
3195	chr1	184155231	184155810	+	0	NA	Intergenic	L1M5|LINE|L1	134656	NR_125335	116461	Hs.548197	NM_052965	ENSG00000198860	TSEN15	C1orf19|PCH2F|sen15	tRNA splicing endonuclease subunit 15	protein-coding
2780	chr1	167892229	167893046	+	0	NA	intron (NM_015415, intron 3 of 5)	L1MB3|LINE|L1	-9265	NM_001297772	55811	Hs.320892	NM_018417	ENSG00000143199	ADCY10	HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC	adenylate cyclase 10	protein-coding
28563	chr20	49039564	49040197	+	0	NA	Intergenic	Intergenic	-86978	NM_001278618	5770	Hs.417549	NM_002827	ENSG00000196396	PTPN1	PTP1B	protein tyrosine phosphatase non-receptor type 1	protein-coding
35559	chr4	79946171	79947003	+	0	NA	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	53685	NR_038342	100505875	Hs.480055	NR_038342		LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
53781	chrX	45366169	45366591	+	0	NA	intron (NR_104644, intron 1 of 3)	intron (NR_104644, intron 1 of 3)	1747	NR_104645	101927528	Hs.550772	NR_104644	ENSG00000229563	LINC01204	-	long intergenic non-protein coding RNA 1204	ncRNA
36535	chr4	125447789	125448391	+	0	NA	intron (NR_110838, intron 5 of 8)	intron (NR_110838, intron 5 of 8)	31499	NR_110838	101927087	Hs.518966	NR_110838	ENSG00000261083	LINC02516	-	long intergenic non-protein coding RNA 2516	ncRNA
42089	chr6	33547936	33548520	+	0	NA	promoter-TSS (NM_001188)	promoter-TSS (NM_001188)	-175	NM_001188	578	Hs.485139	NM_001188	ENSG00000030110	BAK1	BAK|BAK-LIKE|BCL2L7|CDN1	BCL2 antagonist/killer 1	protein-coding
1739	chr1	83997372	83998327	+	0	NA	Intergenic	Intergenic	86112	NR_146478	101927542	Hs.623976	NR_146478		LINC01712	-	long intergenic non-protein coding RNA 1712	ncRNA
47481	chr7	122611357	122611949	+	0	NA	Intergenic	Intergenic	24101	NM_016945	50833	Hs.272395	NM_016945	ENSG00000128519	TAS2R16	BGLPT|T2R16	taste 2 receptor member 16	protein-coding
51445	chr9	19359540	19360012	+	0	NA	intron (NR_073201, intron 27 of 31)	intron (NR_073201, intron 27 of 31)	20458	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
11676	chr12	96392137	96393016	+	0	NA	Intergenic	Intergenic	-2433	NM_001258333	3034	Hs.190783	NM_002108	ENSG00000084110	HAL	HIS|HSTD	histidine ammonia-lyase	protein-coding
27242	chr2	226284512	226285073	+	0	NA	intron (NM_001371273, intron 3 of 7)	intron (NM_001371273, intron 3 of 7)	19190	NM_020864	57624	Hs.224409	NM_020864	ENSG00000144460	NYAP2	KIAA1486	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	protein-coding
46534	chr7	79927530	79928073	+	0	NA	Intergenic	Intergenic	75954	NR_110075	101927269	Hs.583232	NR_110075		LOC101927269	-	uncharacterized LOC101927269	ncRNA
36888	chr4	143201855	143202876	+	0	NA	intron (NM_001101669, intron 9 of 25)	intron (NM_001101669, intron 9 of 25)	565323	NM_001331040	8821	Hs.176376	NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
46066	chr7	42685523	42686149	+	0	NA	Intergenic	Intergenic	60210	NR_110833	101928795	Hs.566753	NR_110833	ENSG00000238284	LINC01448	-	long intergenic non-protein coding RNA 1448	ncRNA
41969	chr6	25165462	25165863	+	0	NA	Intergenic	Intergenic	-27042	NR_027626	8418	Hs.484918	NR_002174	ENSG00000168405	CMAHP	CMAH|CSAH	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	pseudo
27445	chr2	238634800	238635574	+	0	NA	intron (NM_001137550, intron 7 of 23)	MIRb|SINE|MIR	34339	NM_001137552	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
38071	chr5	15891606	15892207	+	0	NA	intron (NM_012304, intron 2 of 3)	LTR33|LTR|ERVL	-43385	NR_030616	100126347		NR_030616	ENSG00000216077	MIR887	MIRN887|hsa-mir-887	microRNA 887	ncRNA
44558	chr6	147611389	147612091	+	0	NA	intron (NM_001127715, intron 8 of 27)	intron (NM_001127715, intron 8 of 27)	-85990	NR_034115	729178	Hs.557608	NR_034115		STXBP5-AS1	-	STXBP5 antisense RNA 1	ncRNA
10034	chr12	6501607	6502362	+	0	NA	Intergenic	Intergenic	8656	NM_002342	4055	Hs.1116	NM_002342	ENSG00000111321	LTBR	D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	lymphotoxin beta receptor	protein-coding
7842	chr11	30981888	30982408	+	0	NA	intron (NM_001367979, intron 20 of 38)	intron (NM_001367979, intron 20 of 38)	32085	NM_020869	341019	Hs.127405	NM_020869	ENSG00000170959	DCDC1	DCDC5	doublecortin domain containing 1	protein-coding
53870	chrX	57928690	57929575	+	0	NA	Intergenic	Intergenic	7935	NM_007156	7789	Hs.550094	NM_007156	ENSG00000198205	ZXDA	ZNF896	zinc finger X-linked duplicated A	protein-coding
42765	chr6	64275315	64275983	+	0	NA	Intergenic	Intergenic	-6268	NM_003463	7803	Hs.227777	NM_003463	ENSG00000112245	PTP4A1	HH72|PRL-1|PRL1|PTP(CAAX1)|PTPCAAX1	protein tyrosine phosphatase 4A1	protein-coding
4375	chr1	236056370	236056729	+	0	NA	Intergenic	Intergenic	-9536	NR_102436	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding
45673	chr7	26478820	26479580	+	0	NA	intron (NR_148500, intron 2 of 5)	intron (NR_148500, intron 2 of 5)	-40162	NR_136272	105375304	Hs.735352	NR_136270	ENSG00000225792	LOC105375304	-	uncharacterized LOC105375304	ncRNA
25118	chr2	117567540	117568215	+	0	NA	Intergenic	Intergenic	-1004390	NM_006773	8886	Hs.744922	NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
32106	chr3	106682184	106682884	+	0	NA	Intergenic	Intergenic	276951	NR_028303	100302640	Hs.648607	NR_028303	ENSG00000242759	LINC00882	-	long intergenic non-protein coding RNA 882	ncRNA
9467	chr11	115372515	115372940	+	0	NA	intron (NM_001301044, intron 1 of 10)	intron (NM_001301044, intron 1 of 10)	2406	NM_001301045	23705	Hs.370510	NM_014333	ENSG00000182985	CADM1	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1	protein-coding
31419	chr3	66755645	66756567	+	0	NA	Intergenic	Intergenic	32654	NR_135533	105377143	Hs.553944	NR_135533		LOC105377143	-	uncharacterized LOC105377143	ncRNA
25990	chr2	166458167	166459035	+	0	NA	intron (NM_001172173, intron 4 of 6)	intron (NM_001172173, intron 4 of 6)	29755	NM_024969	80034	Hs.470479	NM_024969	ENSG00000178662	CSRNP3	FAM130A2|PPP1R73|TAIP-2|TAIP2	cysteine and serine rich nuclear protein 3	protein-coding
18644	chr16	76610767	76611355	+	0	NA	Intergenic	Intergenic	-57834	NR_110934	101928203	Hs.737035	NR_110934	ENSG00000250514	LINC02125	-	long intergenic non-protein coding RNA 2125	ncRNA
28904	chr21	20047908	20048453	+	0	NA	intron (NR_109925, intron 2 of 3)	L1MEc|LINE|L1	10302	NR_036166	100422920		NR_036166	ENSG00000265841	MIR548X	-	microRNA 548x	ncRNA
18261	chr16	54404357	54405085	+	0	NA	promoter-TSS (NR_134922)	promoter-TSS (NR_134922)	-110	NR_134923	100996345	Hs.112680	NR_134922	ENSG00000261803	LINC02140	-	long intergenic non-protein coding RNA 2140	ncRNA
38366	chr5	36301861	36302782	+	0	NA	promoter-TSS (NM_001323275)	promoter-TSS (NM_001323275)	-317	NM_001323278	202151	Hs.199777	NM_145000	ENSG00000164188	RANBP3L	-	RAN binding protein 3 like	protein-coding
40129	chr5	123797374	123798161	+	0	NA	Intergenic	Intergenic	-23554	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
24075	chr2	51911294	51911754	+	0	NA	intron (NR_135237, intron 5 of 10)	L1MEe|LINE|L1	651785	NR_135237	730100	Hs.640140	NR_135237	ENSG00000231918	LOC730100	-	uncharacterized LOC730100	ncRNA
36708	chr4	137305349	137306077	+	0	NA	Intergenic	MIR|SINE|MIR	-470878	NR_103763	100507528	Hs.518987	NR_103762	ENSG00000248330	LINC00613	-	long intergenic non-protein coding RNA 613	ncRNA
48331	chr8	11331635	11332388	+	0	NA	Intergenic	Intergenic	-7749	NM_053279	83648	Hs.124299	NM_053279	ENSG00000154319	FAM167A	C8orf13|D8S265|DIORA-1	family with sequence similarity 167 member A	protein-coding
42750	chr6	62366015	62366669	+	0	NA	intron (NR_146873, intron 10 of 11)	MIR|SINE|MIR	82307	NM_001190706	100463487		NM_001190706		MTRNR2L9	HN9	MT-RNR2 like 9	protein-coding
32785	chr3	136520975	136521899	+	0	NA	Intergenic	Intergenic	-16424	NM_001097599	80723	Hs.477692	NM_025246	ENSG00000168917	SLC35G2	TMEM22	solute carrier family 35 member G2	protein-coding
50048	chr8	98775747	98776532	+	0	NA	Intergenic	Intergenic	-11877	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
18130	chr16	48405924	48406583	+	0	NA	intron (NM_003031, intron 1 of 1)	intron (NM_003031, intron 1 of 1)	-6455	NM_001006610	6477	Hs.706828	NM_003031	ENSG00000196470	SIAH1	SIAH1A	siah E3 ubiquitin protein ligase 1	protein-coding
34550	chr4	21627147	21627565	+	0	NA	intron (NM_147182, intron 2 of 8)	intron (NM_147182, intron 2 of 8)	43637	NR_134233	105374516		NR_134233	ENSG00000250092	LOC105374516	-	uncharacterized LOC105374516	ncRNA
6613	chr10	101104132	101104610	+	0	NA	intron (NM_020348, intron 1 of 10)	intron (NM_020348, intron 1 of 10)	15258	NM_020348	26507	Hs.274579	NM_020348	ENSG00000119946	CNNM1	ACDP1|CLP-1	cyclin and CBS domain divalent metal cation transport mediator 1	protein-coding
49272	chr8	59818379	59819456	+	0	NA	intron (NM_014729, intron 3 of 8)	intron (NM_014729, intron 3 of 8)	212789	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection associated high mobility group box	protein-coding
11086	chr12	66993648	66994251	+	0	NA	intron (NM_001366723, intron 1 of 23)	intron (NM_001366723, intron 1 of 23)	78907	NM_001366722	23426	Hs.505946	NM_021150	ENSG00000155974	GRIP1	FRASRS3|GRIP	glutamate receptor interacting protein 1	protein-coding
17998	chr16	21349711	21350823	+	0	NA	Intergenic	Intergenic	-10417	NR_045011	100652781	Hs.443656	NM_001012391		SNX29P1	RUNDC2B|RUNDC2L	sorting nexin 29 pseudogene 1	pseudo
20483	chr17	72753459	72754089	+	0	NA	intron (NM_004252, intron 1 of 5)	intron (NM_004252, intron 1 of 5)	9007	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
27646	chr20	7399665	7400042	+	0	NA	Intergenic	L1MC4a|LINE|L1	47598	NR_107029	102465865		NR_107029	ENSG00000278159	MIR8062	hsa-mir-8062	microRNA 8062	ncRNA
923	chr1	45412218	45413801	+	0	NA	intron (NM_001261418, intron 3 of 10)	intron (NM_001261418, intron 3 of 10)	39258	NM_020365	8891	Hs.533549	NM_020365	ENSG00000070785	EIF2B3	EIF-2B|EIF2Bgamma	eukaryotic translation initiation factor 2B subunit gamma	protein-coding
3089	chr1	180393579	180394382	+	0	NA	intron (NM_032360, intron 4 of 7)	intron (NM_032360, intron 4 of 7)	13545	NR_036067	100423032		NR_036067	ENSG00000265435	MIR3121	mir-3121	microRNA 3121	ncRNA
11567	chr12	93624122	93624709	+	0	NA	intron (NR_040096, intron 2 of 4)	intron (NR_040096, intron 2 of 4)	56273	NR_120492	102724933	Hs.663947	NR_120492	ENSG00000258171	LINC02412	-	long intergenic non-protein coding RNA 2412	ncRNA
40351	chr5	130797949	130798759	+	0	NA	TTS (NM_001164390)	TTS (NM_001164390)	172568	NM_001164388	51735	Hs.483329	NM_016340	ENSG00000158987	RAPGEF6	KIA001LB|PDZ-GEF2|PDZGEF2|RA-GEF-2|RAGEF2	Rap guanine nucleotide exchange factor 6	protein-coding
31758	chr3	79933363	79934032	+	0	NA	Intergenic	Intergenic	-116549	NM_002941	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
6902	chr10	114476564	114477281	+	0	NA	intron (NM_001365713, intron 8 of 8)	intron (NM_001365713, intron 8 of 8)	82993	NR_036177	100422909		NR_036177	ENSG00000264763	MIR4295	-	microRNA 4295	ncRNA
21534	chr18	43457353	43457885	+	0	NA	intron (NM_020964, intron 34 of 43)	MIR3|SINE|MIR	51979	NM_213602	284266	Hs.287692	NM_213602	ENSG00000197046	SIGLEC15	CD33L3|HsT1361|SIGLEC-15	sialic acid binding Ig like lectin 15	protein-coding
7455	chr11	11802182	11802843	+	0	NA	Intergenic	Intergenic	2257	NR_107037	102465870		NR_107037	ENSG00000278529	MIR8070	hsa-mir-8070	microRNA 8070	ncRNA
5458	chr10	36179722	36180377	+	0	NA	Intergenic	Intergenic	112819	NR_110138	102578074		NR_110138	ENSG00000280719	PCAT5	LINC01452|TPCAT-10-36067	prostate cancer associated transcript 5	ncRNA
488	chr1	22745355	22746163	+	0	NA	Intergenic	MIRb|SINE|MIR	-32585	NM_001330398	9923	Hs.418966	NM_014870	ENSG00000184677	ZBTB40	ZNF923	zinc finger and BTB domain containing 40	protein-coding
10133	chr12	12900765	12901604	+	0	NA	intron (NM_001130415, intron 1 of 1)	intron (NM_001130415, intron 1 of 1)	-16399	NR_030344	693198		NR_030344	ENSG00000207983	MIR613	MIRN613|hsa-mir-613	microRNA 613	ncRNA
15007	chr14	55823448	55824084	+	0	NA	Intergenic	Intergenic	54810	NM_014924	22863	Hs.414809	NM_014924	ENSG00000126775	ATG14	ATG14L|BARKOR|KIAA0831	autophagy related 14	protein-coding
7345	chr11	6409059	6409711	+	0	NA	Intergenic	MER4C|LTR|ERV1	-2319	NR_027400	6609	Hs.498173	NM_000543	ENSG00000166311	SMPD1	ASM|ASMASE|NPD	sphingomyelin phosphodiesterase 1	protein-coding
11596	chr12	94171934	94172701	+	0	NA	intron (NM_001320100, intron 2 of 2)	intron (NM_001320100, intron 2 of 2)	-40718	NR_110092	101928731	Hs.659971	NR_110092	ENSG00000258274	LOC101928731	-	uncharacterized LOC101928731	ncRNA
38447	chr5	41156870	41157929	+	0	NA	intron (NM_001115131, intron 13 of 17)	intron (NM_001115131, intron 13 of 17)	56235	NM_000065	729	Hs.481992	NM_000065	ENSG00000039537	C6	-	complement C6	protein-coding
24727	chr2	82958757	82959529	+	0	NA	Intergenic	LTR33|LTR|ERVL	-124784	NR_033423	1720	Hs.169235	NR_033423		DHFRP3	-	dihydrofolate reductase pseudogene 3	pseudo
45139	chr7	3419630	3420165	+	0	NA	intron (NM_152744, intron 1 of 44)	intron (NM_152744, intron 1 of 44)	79013	NM_152744	221935	Hs.653013	NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
