PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-226	chr12	12537721	12537952	+	0	NA	intron (NM_058169, intron 2 of 3)	intron (NM_058169, intron 2 of 3)	27824	NM_001330356	118426	Hs.504805	NM_058169	ENSG00000165714	BORCS5	LOH12CR1|LOH1CR12	BLOC-1 related complex subunit 5	protein-coding
1-8980	chr3	135687131	135687285	+	0	NA	intron (NM_001190447, intron 1 of 12)	L2c|LINE|L2	2638	NM_002718	5523	Hs.518155	NM_002718	ENSG00000073711	PPP2R3A	PPP2R3|PR130|PR72	protein phosphatase 2 regulatory subunit B''alpha	protein-coding
1-8534	chr2	228639059	228639279	+	0	NA	Intergenic	LTR22|LTR|ERVK	-39389	NM_001130046	6364	Hs.75498	NM_004591	ENSG00000115009	CCL20	CKb4|Exodus|LARC|MIP-3-alpha|MIP-3a|MIP3A|SCYA20|ST38	C-C motif chemokine ligand 20	protein-coding
1-1330	chr11	57250240	57250471	+	0	NA	Intergenic	CpG	22354	NM_178570	349667	Hs.502618	NM_178570	ENSG00000186907	RTN4RL2	NGRH1|NgR2	reticulon 4 receptor like 2	protein-coding
1-8264	chr16	75666807	75667038	+	0	NA	intron (NM_001130089, intron 8 of 14)	LTR22|LTR|ERVK	-9743	NM_001324446	23536	Hs.729312	NM_012091	ENSG00000065457	ADAT1	HADAT1	adenosine deaminase tRNA specific 1	protein-coding
1-2317	chr7	95354679	95354910	+	0	NA	Intergenic	Zaphod2|DNA|hAT-Tip100	-47024	NM_004411	1780	Hs.440364	NM_004411	ENSG00000158560	DYNC1I1	DNCI1|DNCIC1	dynein cytoplasmic 1 intermediate chain 1	protein-coding
1-10277	chr2	150676034	150676265	+	0	NA	intron (NR_145421, intron 2 of 4)	LTR33A_|LTR|ERVL	39556	NR_145421	150596	Hs.470217	NM_153041	ENSG00000162947	LINC01931	-	long intergenic non-protein coding RNA 1931	ncRNA
1-3419	chr17	72357359	72357590	+	0	NA	intron (NM_001080466, intron 1 of 2)	intron (NM_001080466, intron 1 of 2)	533	NM_001080466	388419		NM_001080466	ENSG00000204347	BTBD17	BTBD17A|LGALS3BPL|TANGO10A	BTB domain containing 17	protein-coding
1-8486	chrX	73641221	73641452	+	0	NA	promoter-TSS (NM_006517)	promoter-TSS (NM_006517)	8	NM_006517	6567	Hs.75317	NM_006517	ENSG00000147100	SLC16A2	AHDS|DXS128|DXS128E|MCT 7|MCT 8|MCT7|MCT8|MRX22|XPCT	solute carrier family 16 member 2	protein-coding
1-2103	chr4	105413737	105413968	+	0	NA	intron (NM_025212, intron 1 of 2)	intron (NM_025212, intron 1 of 2)	1730	NR_125926	101929468	Hs.480435	NR_125926	ENSG00000245384	CXXC4-AS1	-	CXXC4 antisense RNA 1	ncRNA
1-1354	chr13	90207115	90207346	+	0	NA	intron (NR_046991, intron 1 of 3)	intron (NR_046991, intron 1 of 3)	9437	NR_046991	100874139	Hs.742173	NR_046991		LINC00353	-	long intergenic non-protein coding RNA 353	ncRNA
1-6070	chr2	30019409	30019640	+	0	NA	intron (NM_004304, intron 1 of 28)	intron (NM_004304, intron 1 of 28)	124928	NM_004304	238	Hs.654469	NM_004304	ENSG00000171094	ALK	CD246|NBLST3	ALK receptor tyrosine kinase	protein-coding
1-5717	chr10	101210640	101210871	+	0	NA	Intergenic	Intergenic	-20374	NM_002079	2805	Hs.500756	NM_002079	ENSG00000120053	GOT1	AST1|ASTQTL1|GIG18|cAspAT|cCAT	glutamic-oxaloacetic transaminase 1	protein-coding
1-8807	chr7	36327473	36327704	+	0	NA	intron (NM_030636, intron 6 of 7)	intron (NM_030636, intron 6 of 7)	79261	NM_001199706	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
1-3637	chr15	44304072	44304303	+	0	NA	intron (NM_001322949, intron 1 of 15)	intron (NM_001322949, intron 1 of 15)	-133818	NR_003571	728758	Hs.658099	NR_003571		PIN4P1	-	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1	pseudo
1-1165	chr8	129621419	129621650	+	0	NA	Intergenic	Intergenic	-44609	NR_121672	101927774	Hs.628730	NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
1-6764	chr2	220593719	220593932	+	0	NA	Intergenic	Intergenic	101473	NM_005070	6508	Hs.1176	NM_005070	ENSG00000114923	SLC4A3	AE3|CAE3/BAE3|SLC2C	solute carrier family 4 member 3	protein-coding
1-1327	chr9	38421984	38422215	+	0	NA	intron (NM_001007563, intron 1 of 4)	intron (NM_001007563, intron 1 of 4)	2352	NM_001007563	347252	Hs.349705	NM_001007563	ENSG00000137142	IGFBPL1	IGFBP-RP4|IGFBPRP4|bA113O24.1	insulin like growth factor binding protein like 1	protein-coding
1-4125	chr2	249850	250081	+	0	NA	intron (NM_001282682, intron 2 of 10)	intron (NM_001282682, intron 2 of 10)	6375	NM_001282687	26751	Hs.515951	NM_015677	ENSG00000035115	SH3YL1	RAY	SH3 and SYLF domain containing 1	protein-coding
1-5136	chr2	106899577	106899705	+	0	NA	Intergenic	L2c|LINE|L2	-86560	NR_157576	402096		NR_157576		LOC402096	-	anaphase promoting complex subunit 1 pseudogene	pseudo
1-2070	chr6	100914008	100914239	+	0	NA	Intergenic	Intergenic	-2572	NM_005068	6492	Hs.520293	NM_005068	ENSG00000112246	SIM1	bHLHe14	SIM bHLH transcription factor 1	protein-coding
1-10701	chr13	54056868	54057099	+	0	NA	Intergenic	Intergenic	-330948	NR_125788	102723875	Hs.149083	NR_125788		LINC01065	-	long intergenic non-protein coding RNA 1065	ncRNA
1-10073	chr1	204462991	204463168	+	0	NA	Intergenic	Intergenic	-3605	NM_002646	5287	Hs.497487	NM_002646	ENSG00000133056	PIK3C2B	C2-PI3K	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	protein-coding
1-1613	chr22	35708255	35708486	+	0	NA	intron (NM_001135732, intron 1 of 14)	L2a|LINE|L2	12483	NR_024194	10043	Hs.474705	NM_005488	ENSG00000100284	TOM1	-	target of myb1 membrane trafficking protein	protein-coding
1-5170	chr6	167854663	167854887	+	0	NA	Intergenic	Intergenic	30238	NR_134591	105378127	Hs.58456	NR_134591		LOC105378127	-	uncharacterized LOC105378127	ncRNA
1-420	chr20	38482371	38482602	+	0	NA	Intergenic	MamSINE1|SINE|tRNA	-150617	NR_109937	100505663	Hs.559348	NR_109936	ENSG00000237767	LINC01370	HI-LNC25|HILNC25	long intergenic non-protein coding RNA 1370	ncRNA
1-6803	chr6	25251098	25251329	+	0	NA	intron (NR_110863, intron 2 of 2)	intron (NR_110863, intron 2 of 2)	10422	NR_110862	101928663	Hs.561600	NR_110862		LOC101928663	-	uncharacterized LOC101928663	ncRNA
1-9494	chr7	158442049	158442280	+	0	NA	intron (NM_017760, intron 24 of 27)	MER58A|DNA|hAT-Charlie	55331	NM_001281932	54892	Hs.18616	NM_017760	ENSG00000146918	NCAPG2	3KS|CAP-G2|CAPG2|LUZP5|MTB|hCAP-G2	non-SMC condensin II complex subunit G2	protein-coding
1-1877	chr17	17321239	17321470	+	0	NA	Intergenic	LTR62|LTR|ERVL	-58960	NM_018019	55090	Hs.244595	NM_018019	ENSG00000141026	MED9	MED25	mediator complex subunit 9	protein-coding
1-8478	chr21	39345956	39346181	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	-57308	NM_002240	3763	Hs.626242	NM_002240	ENSG00000157542	KCNJ6	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|KPLBS|hiGIRK2	potassium voltage-gated channel subfamily J member 6	protein-coding
1-10788	chr4	185736367	185736598	+	0	NA	intron (NM_001286711, intron 1 of 19)	intron (NM_001286711, intron 1 of 19)	-3069	NM_001286708	2180	Hs.406678	NM_001995	ENSG00000151726	ACSL1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2	acyl-CoA synthetase long chain family member 1	protein-coding
1-8298	chr1	42392799	42393030	+	0	NA	intron (NR_038261, intron 1 of 3)	LTR86A1|LTR|ERVL	-8321	NM_001127714	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
1-1994	chr2	204596940	204597171	+	0	NA	intron (NM_006139, intron 3 of 3)	intron (NM_006139, intron 3 of 3)	25693	NM_001243077	940	Hs.443123	NM_006139	ENSG00000178562	CD28	Tp44	CD28 molecule	protein-coding
1-8155	chr3	93699273	93699464	+	0	NA	intron (NM_144996, intron 1 of 7)	CpG	369	NR_033427	200894	Hs.533086	NM_144996	ENSG00000169379	ARL13B	ARL2L1|JBTS8	ADP ribosylation factor like GTPase 13B	protein-coding
1-6161	chr13	80370354	80370567	+	0	NA	Intergenic	Intergenic	-8061	NR_125785	102724076	Hs.208617	NR_125785	ENSG00000229011	LINC01038	-	long intergenic non-protein coding RNA 1038	ncRNA
1-5036	chr8	119062672	119062903	+	0	NA	intron (NM_000127, intron 1 of 10)	MER58B|DNA|hAT-Charlie	61271	NM_000127	2131	Hs.492618	NM_000127	ENSG00000182197	EXT1	EXT|LGCR|LGS|TRPS2|TTV	exostosin glycosyltransferase 1	protein-coding
1-3037	chr7	140114104	140114335	+	0	NA	intron (NM_001008749, intron 3 of 3)	intron (NM_001008749, intron 3 of 3)	10361	NM_001008749	401409	Hs.583545	NM_001008749	ENSG00000146955	RAB19	RAB19B	RAB19, member RAS oncogene family	protein-coding
1-5573	chr13	51203501	51203732	+	0	NA	Intergenic	Intergenic	-102031	NR_125753	103689915	Hs.722230	NR_125753	ENSG00000186047	DLEU1-AS1	LINC01308	DLEU1 antisense RNA 1	ncRNA
1-1252	chr3	153900322	153900553	+	0	NA	intron (NM_015595, intron 6 of 14)	intron (NM_015595, intron 6 of 14)	61258	NM_015595	26084	Hs.240845	NM_015595	ENSG00000114790	ARHGEF26	CSGEF|HMFN1864|SGEF	Rho guanine nucleotide exchange factor 26	protein-coding
1-9818	chr20	6057951	6058182	+	0	NA	intron (NM_017671, intron 14 of 14)	intron (NM_017671, intron 14 of 14)	-23360	NM_152611	164312	Hs.149133	NM_152611	ENSG00000125872	LRRN4	C20orf75|NLRR-4|NLRR4|dJ1056H1.1	leucine rich repeat neuronal 4	protein-coding
1-9996	chr13	29947409	29947624	+	0	NA	intron (NM_001366650, intron 8 of 15)	L1MEf|LINE|L1	-55281	NM_015233	23281	Hs.22287	NM_015233	ENSG00000132938	MTUS2	CAZIP|ICIS|KIAA0774|TIP150	microtubule associated scaffold protein 2	protein-coding
1-10750	chr1	70827724	70827955	+	0	NA	intron (NM_001036645, intron 1 of 2)	intron (NM_001036645, intron 1 of 2)	7345	NM_001036646	11147	Hs.142245	NM_007071	ENSG00000197568	HHLA3	-	HERV-H LTR-associating 3	protein-coding
1-4121	chr1	56559156	56559355	+	0	NA	Intergenic	LTR16C|LTR|ERVL	148495	NR_147161	105378738	Hs.121473	NR_147161	ENSG00000233079	LINC01755	-	long intergenic non-protein coding RNA 1755	ncRNA
1-2577	chr12	65124274	65124505	+	0	NA	intron (NM_002076, intron 9 of 13)	intron (NM_002076, intron 9 of 13)	28797	NM_002076	2799	Hs.334534	NM_002076	ENSG00000135677	GNS	G6S	glucosamine (N-acetyl)-6-sulfatase	protein-coding
1-1143	chr7	130005552	130005783	+	0	NA	non-coding (NR_133928, exon 2 of 2)	non-coding (NR_133928, exon 2 of 2)	1301	NR_133928	105375504	Hs.436058	NR_133928		LOC105375504	-	uncharacterized LOC105375504	ncRNA
1-4292	chr18	55583163	55583394	+	0	NA	Intergenic	Intergenic	-112731	NM_005603	5205	Hs.216623	NM_005603	ENSG00000081923	ATP8B1	ATPIC|BRIC|FIC1|ICP1|PFIC|PFIC1	ATPase phospholipid transporting 8B1	protein-coding
1-3231	chr1	220536622	220536853	+	0	NA	Intergenic	Intergenic	-90942	NM_012414	25782	Hs.654849	NM_012414	ENSG00000118873	RAB3GAP2	RAB3-GAP150|RAB3GAP150|SPG69|WARBM2|p150	RAB3 GTPase activating non-catalytic protein subunit 2	protein-coding
1-349	chr17	40682924	40683155	+	0	NA	Intergenic	AluJb|SINE|Alu	-5220	NM_000263	4669	Hs.50727	NM_000263	ENSG00000108784	NAGLU	CMT2V|MPS-IIIB|MPS3B|NAG|UFHSD	N-acetyl-alpha-glucosaminidase	protein-coding
1-10535	chr11	107992717	107992902	+	0	NA	intron (NM_000019, intron 1 of 11)	intron (NM_000019, intron 1 of 11)	515	NM_000019	38	Hs.232375	NM_000019	ENSG00000075239	ACAT1	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase 1	protein-coding
1-8159	chr3	187114619	187114830	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	28551	NM_022147	64108	Hs.43388	NM_022147	ENSG00000136514	RTP4	IFRG28|Z3CXXC4	receptor transporter protein 4	protein-coding
1-6361	chr14	94640020	94640224	+	0	NA	promoter-TSS (NR_145441)	promoter-TSS (NR_145441)	-527	NM_020958	57718	Hs.259599	NM_020958	ENSG00000119698	PPP4R4	CFAP14|KIAA1622|PP4R4	protein phosphatase 4 regulatory subunit 4	protein-coding
1-7762	chr7	36951430	36951661	+	0	NA	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	7492	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
1-4519	chr2	40374648	40374870	+	0	NA	intron (NM_001351488, intron 7 of 8)	intron (NM_001351488, intron 7 of 8)	229985	NR_038441	100128590	Hs.744988	NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
1-6948	chr2	12493077	12493308	+	0	NA	intron (NR_110196, intron 4 of 5)	intron (NR_110196, intron 4 of 5)	153936	NR_037452	100500884		NR_037452	ENSG00000264089	MIR3681	-	microRNA 3681	ncRNA
1-3665	chr2	98344623	98344854	+	0	NA	intron (NM_001079, intron 4 of 13)	intron (NM_001079, intron 4 of 13)	-6131	NM_207519	7535	Hs.234569	NM_001079	ENSG00000115085	ZAP70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	zeta chain of T cell receptor associated protein kinase 70	protein-coding
1-6734	chr22	29339061	29339268	+	0	NA	intron (NM_032173, intron 1 of 8)	intron (NM_032173, intron 1 of 8)	25787	NM_032173	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
1-7838	chr15	69940651	69940882	+	0	NA	intron (NR_126437, intron 3 of 5)	intron (NR_126437, intron 3 of 5)	56227	NR_126437	104472713	Hs.430824	NR_126437	ENSG00000245750	PCAT29	-	prostate cancer associated transcript 29	ncRNA
1-6452	chr5	160388900	160389131	+	0	NA	Intergenic	Intergenic	-23382	NR_027111	285629	Hs.554279	NR_027111	ENSG00000253417	LINC02159	-	long intergenic non-protein coding RNA 2159	ncRNA
1-3059	chr15	53973318	53973549	+	0	NA	intron (NM_182758, intron 13 of 19)	intron (NM_182758, intron 13 of 19)	78427	NM_182758	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
1-8681	chr18	7762250	7762481	+	0	NA	intron (NM_001105244, intron 1 of 32)	L2c|LINE|L2	195051	NM_001105244	5797	Hs.49774	NM_002845	ENSG00000173482	PTPRM	PTPRL1|R-PTP-MU|RPTPM|RPTPU|hR-PTPu	protein tyrosine phosphatase receptor type M	protein-coding
1-6216	chrX	43553399	43553421	+	0	NA	intron (NM_001270458, intron 4 of 15)	intron (NM_001270458, intron 4 of 15)	39255	NM_001270458	4128	Hs.183109	NM_000240	ENSG00000189221	MAOA	BRNRS|MAO-A	monoamine oxidase A	protein-coding
1-1051	chr12	125140150	125140381	+	0	NA	Intergenic	Intergenic	-88107	NM_006312	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
1-3411	chr13	72453220	72453451	+	0	NA	Intergenic	Intergenic	-11993	NM_080759	1602	Hs.129452	NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
1-3504	chr1	226843973	226844204	+	0	NA	non-coding (NR_103784, exon 2 of 2)	non-coding (NR_103784, exon 2 of 2)	18681	NR_103784	100506443	Hs.664293	NR_103784		ITPKB-IT1	-	ITPKB intronic transcript 1	ncRNA
1-6449	chr5	66016511	66016656	+	0	NA	intron (NM_001164664, intron 1 of 28)	L1M6|LINE|L1	-108018	NM_015183	375449	Hs.595458	NM_015183	ENSG00000069020	MAST4	-	microtubule associated serine/threonine kinase family member 4	protein-coding
1-4113	chr22	21401983	21402141	+	0	NA	intron (NM_001291006, intron 2 of 9)	L2b|LINE|L2	1827	NM_001291006	400891	Hs.291198	NM_001013675	ENSG00000187905	LRRC74B	-	leucine rich repeat containing 74B	protein-coding
1-5159	chr5	137903086	137903317	+	0	NA	exon (NM_004134, exon 7 of 17)	exon (NM_004134, exon 7 of 17)	-6402	NR_002913	26785		NR_002913	ENSG00000206989	SNORD63	RNU63|SNORD63A|U63	small nucleolar RNA, C/D box 63	snoRNA
1-7477	chr1	52814474	52814705	+	0	NA	Intergenic	Intergenic	17288	NM_032449	200014	Hs.591451	NM_032449	ENSG00000154222	CC2D1B	-	coiled-coil and C2 domain containing 1B	protein-coding
1-9432	chr3	89289106	89289298	+	0	NA	intron (NM_005233, intron 3 of 16)	intron (NM_005233, intron 3 of 16)	132431	NM_182644	2042	Hs.123642	NM_005233	ENSG00000044524	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	protein-coding
1-3817	chr1	28500327	28500558	+	0	NA	intron (NM_001164723, intron 1 of 2)	intron (NM_001164723, intron 1 of 2)	2759	NM_001164723	5724	Hs.77542	NM_000952	ENSG00000169403	PTAFR	PAFR	platelet activating factor receptor	protein-coding
1-2277	chr9	103402233	103402464	+	0	NA	Intergenic	Intergenic	61987	NM_001018116	347273	Hs.99004	NM_001018116	ENSG00000170681	CAVIN4	MURC|cavin-4	caveolae associated protein 4	protein-coding
1-5826	chr5	98666825	98667056	+	0	NA	Intergenic	Intergenic	-202754	NR_110562	102724855	Hs.519477	NR_110562		LINC02113	CTD-2151A2.1	long intergenic non-protein coding RNA 2113	ncRNA
1-3487	chr17	48503090	48503321	+	0	NA	promoter-TSS (NM_001288968)	promoter-TSS (NM_001288968)	-314	NM_001288969	80221	Hs.288959	NM_025149	ENSG00000167107	ACSF2	ACSMW|AVYV493	acyl-CoA synthetase family member 2	protein-coding
1-8798	chr6	128602296	128602453	+	0	NA	intron (NM_001291983, intron 2 of 18)	intron (NM_001291983, intron 2 of 18)	239370	NM_001291982	5796	Hs.155919	NM_002844	ENSG00000152894	PTPRK	R-PTP-kappa	protein tyrosine phosphatase receptor type K	protein-coding
1-183	chr11	64102582	64102813	+	0	NA	Intergenic	Intergenic	-4979	NM_032251	283234	Hs.98564	NM_032251	ENSG00000168071	CCDC88B	BRLZ|CCDC88|HKRP3|gipie	coiled-coil domain containing 88B	protein-coding
1-6599	chr3	134384326	134384557	+	0	NA	Intergenic	Intergenic	-14577	NM_001366277	339855	Hs.146730	NM_178554	ENSG00000174611	KY	MFM7	kyphoscoliosis peptidase	protein-coding
1-10805	chr7	75961434	75961665	+	0	NA	intron (NM_012479, intron 1 of 1)	intron (NM_012479, intron 1 of 1)	26759	NM_012479	7532	Hs.744840	NM_012479	ENSG00000170027	YWHAG	14-3-3GAMMA|EIEE56|PPP1R170	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	protein-coding
1-2918	chr13	53471464	53471590	+	0	NA	Intergenic	Intergenic	-48752	NM_002590	5100	Hs.19492	NM_002590	ENSG00000136099	PCDH8	ARCADLIN|PAPC	protocadherin 8	protein-coding
1-9539	chr12	14863823	14864016	+	0	NA	Intergenic	Intergenic	-14386	NM_004963	2984	Hs.524278	NM_004963	ENSG00000070019	GUCY2C	DIAR6|GC-C|GUC2C|MECIL|MUCIL|STAR	guanylate cyclase 2C	protein-coding
1-10661	chr7	11245909	11246140	+	0	NA	Intergenic	Intergenic	232525	NR_033436	9678	Hs.655688	NM_014660	ENSG00000106443	PHF14	-	PHD finger protein 14	protein-coding
1-1740	chr2	189191455	189191686	+	0	NA	intron (NR_045563, intron 2 of 12)	intron (NR_045563, intron 2 of 12)	29351	NR_030287	693146		NR_030287	ENSG00000207951	MIR561	MIRN561|hsa-mir-561|mir-561	microRNA 561	ncRNA
1-9894	chr4	80885749	80885797	+	0	NA	intron (NM_058172, intron 16 of 16)	intron (NM_058172, intron 16 of 16)	108610	NM_001286781	118429	Hs.162963	NM_058172	ENSG00000163297	ANTXR2	CMG-2|CMG2|HFS|ISH|JHF	ANTXR cell adhesion molecule 2	protein-coding
1-3622	chr9	101079454	101079685	+	0	NA	intron (NM_005458, intron 13 of 18)	intron (NM_005458, intron 13 of 18)	-61638	NM_001267571	55357	Hs.371016	NM_018421	ENSG00000095383	TBC1D2	PARIS-1|PARIS1|TBC1D2A	TBC1 domain family member 2	protein-coding
1-2715	chr5	116541019	116541250	+	0	NA	Intergenic	Intergenic	-210074	NR_046089	728342	Hs.434420	NR_046089		LINC00992	-	long intergenic non-protein coding RNA 992	ncRNA
1-5372	chr1	181066404	181066635	+	0	NA	Intergenic	Intergenic	8683	NM_016545	51278	Hs.15725	NM_016545	ENSG00000162783	IER5	SBBI48	immediate early response 5	protein-coding
1-10050	chr22	39268750	39268981	+	0	NA	promoter-TSS (NM_001303494)	promoter-TSS (NM_001303494)	-644	NM_001303494	23466	Hs.592201	NM_014292	ENSG00000183741	CBX6	-	chromobox 6	protein-coding
1-1514	chr22	26326936	26327167	+	0	NA	intron (NM_032608, intron 34 of 43)	intron (NM_032608, intron 34 of 43)	188896	NM_032608	84700	Hs.417959	NM_032608	ENSG00000133454	MYO18B	KFS4	myosin XVIIIB	protein-coding
1-80	chr14	59130345	59130576	+	0	NA	Intergenic	Intergenic	24905	NR_046095	51339	Hs.48950	NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
1-2035	chr7	25894313	25894544	+	0	NA	Intergenic	Intergenic	-64689	NR_157808	646588	Hs.72068	NR_157808	ENSG00000223561	LOC646588	-	uncharacterized LOC646588	ncRNA
1-959	chr3	68884178	68884409	+	0	NA	intron (NM_001005527, intron 3 of 5)	L2a|LINE|L2	97405	NM_182522	151647	Hs.187873	NM_182522	ENSG00000163377	TAFA4	FAM19A4|TAFA-4	TAFA chemokine like family member 4	protein-coding
1-3086	chr1	246956746	246956835	+	0	NA	Intergenic	L1MB3|LINE|L1	3871	NR_015422	149134	Hs.720494	NM_207326		LINC01341	-	long intergenic non-protein coding RNA 1341	ncRNA
1-7938	chr4	139949648	139949879	+	0	NA	intron (NM_012118, intron 1 of 2)	intron (NM_012118, intron 1 of 2)	12828	NM_012118	25819	Hs.639842	NM_012118	ENSG00000151014	NOCT	CCR4L|CCRN4L|Ccr4c|NOC	nocturnin	protein-coding
1-1569	chr15	75956429	75956660	+	0	NA	Intergenic	Intergenic	15196	NM_001318146	257364	Hs.8705	NM_153271	ENSG00000173548	SNX33	SH3PX3|SH3PXD3C|SNX30	sorting nexin 33	protein-coding
1-5992	chr8	62066219	62066442	+	0	NA	Intergenic	Intergenic	-134199	NM_173519	157807	Hs.591874	NM_173519	ENSG00000177182	CLVS1	C6orf212L|CRALBPL|RLBP1L1	clavesin 1	protein-coding
1-8109	chr1	155017381	155017612	+	0	NA	TTS (NR_040772)	TTS (NR_040772)	6145	NR_040772	100505666	Hs.657533	NR_040772		DCST1-AS1	-	DCST1 antisense RNA 1	ncRNA
1-2446	chr20	61646204	61646435	+	0	NA	intron (NR_033370, intron 1 of 4)	intron (NR_033370, intron 1 of 4)	5584	NR_033370	63930	Hs.640084	NR_033370	ENSG00000272259	LINC01749	-	long intergenic non-protein coding RNA 1749	ncRNA
1-2800	chr15	71947115	71947346	+	0	NA	intron (NM_001286429, intron 1 of 11)	intron (NM_001286429, intron 1 of 11)	36648	NR_120346	101929173	Hs.680593	NR_120346		THSD4-AS2	-	THSD4 antisense RNA 2	ncRNA
1-5453	chr14	79880466	79880673	+	0	NA	intron (NM_001272020, intron 1 of 5)	intron (NM_001272020, intron 1 of 5)	134846	NM_001272020	9369	Hs.368307	NM_004796	ENSG00000021645	NRXN3	C14orf60	neurexin 3	protein-coding
1-4479	chr15	60330328	60330559	+	0	NA	Intergenic	Intergenic	33933	NM_012182	27023	Hs.734475	NM_012182	ENSG00000171956	FOXB1	FKH5|HFKH-5	forkhead box B1	protein-coding
1-1072	chr11	46019176	46019407	+	0	NA	intron (NR_147890, intron 5 of 18)	intron (NR_147890, intron 5 of 18)	75084	NM_001300721	120071	Hs.86543	NM_152312	ENSG00000165905	LARGE2	GYLTL1B|PP5656	LARGE xylosyl- and glucuronyltransferase 2	protein-coding
1-5515	chr4	40192462	40192693	+	0	NA	promoter-TSS (NM_001278368)	promoter-TSS (NM_001278368)	-123	NM_001278368	399	Hs.654594	NM_004310	ENSG00000168421	RHOH	ARHH|TTF	ras homolog family member H	protein-coding
1-2047	chr15	99847159	99847344	+	0	NA	intron (NR_135759, intron 4 of 7)	intron (NR_135759, intron 4 of 7)	49521	NR_073383	7190	Hs.656611	NR_073383	ENSG00000259706	HSP90B2P	GRP94P1|GRP94b|HSP|HSPCP2|TRA1P1|TRAP1	heat shock protein 90 beta family member 2, pseudogene	pseudo
1-7413	chr14	30824670	30824901	+	0	NA	Intergenic	Intergenic	-203544	NM_001308097	55632	Hs.509008	NM_017769	ENSG00000092140	G2E3	KIAA1333|PHF7B	G2/M-phase specific E3 ubiquitin protein ligase	protein-coding
1-7189	chr8	22725171	22725402	+	0	NA	intron (NM_001363233, intron 3 of 6)	intron (NM_001363233, intron 3 of 6)	-10199	NR_125433	101929237	Hs.677838	NR_125433	ENSG00000248738	LOC101929237	-	uncharacterized LOC101929237	ncRNA
1-3315	chr1	116270441	116270655	+	0	NA	intron (NM_001232, intron 5 of 10)	intron (NM_001232, intron 5 of 10)	40878	NM_001232	845	Hs.57975	NM_001232	ENSG00000118729	CASQ2	PDIB2	calsequestrin 2	protein-coding
1-8250	chr14	52344638	52344869	+	0	NA	intron (NM_001243773, intron 2 of 3)	intron (NM_001243773, intron 2 of 3)	17423	NM_001243773	54331	Hs.187772	NM_053064	ENSG00000186469	GNG2	-	G protein subunit gamma 2	protein-coding
1-2484	chr12	52024879	52025110	+	0	NA	intron (NM_001369788, intron 1 of 25)	intron (NM_001369788, intron 1 of 25)	39974	NM_001177984	6334	Hs.436550	NM_014191	ENSG00000196876	SCN8A	BFIS5|CERIII|CIAT|EIEE13|MED|MYOCL2|NaCh6|Nav1.6|PN4	sodium voltage-gated channel alpha subunit 8	protein-coding
1-3991	chr16	85320643	85320874	+	0	NA	intron (NR_038859, intron 2 of 2)	CpG	4194	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
