	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR		CAMK2B DLG2																																												
REACTOME_RECYCLING_PATHWAY_OF_L1																																				TUBA1A TUBB2B										
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT																					AKT3 PAX6																		NEUROD1 RFX6							
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS																					AKT3 PAX6																		NEUROD1 RFX6							
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_		SCG3 SPP1															MMP2 SCG3		PAPPA2 SCG2							SPP1 VGF										PAPPA2 SPP1 VCAN VGF			CHGB MMP2 VGF						SCG3 VGF	
REACTOME_REGULATION_OF_INSULIN_SECRETION		SNAP25 STX1A			CACNA1C KCNJ11 RAPGEF4 SNAP25						ADCY5 STX1A			STX1A STXBP1 SYT5			CACNA1C SNAP25		ITPR1 STX1A									GNG4 ITPR1		GNG4 SNAP25						ABCC8 CACNA1A CACNA1C GNG2 GNG4 SNAP25 STX1A							GNG2 SYT5		ITPR1 KCNJ11	
REACTOME_REGULATION_OF_RAS_BY_GAPS					RASAL1 SPRED3																																									
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION												CENPE TUBA1A																									CENPE TUBB2B									
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_		PRKCG SCG3																																												
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS																					LRAT RBP1																									
REACTOME_RET_SIGNALING								DOK6 GFRA1 GFRA3 RET																												DOK6 RET										
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS											EVL TUBB4A	CENPE TUBA1A																									CENPE TUBB2B						EVL TUBB2B			
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS																																				TUBA1A TUBB2B										
REACTOME_RHO_GTPASE_CYCLE																					STARD8 VAV3																		ARHGAP9 STARD8 VAV3							
REACTOME_RHO_GTPASE_EFFECTORS												CENPE CIT TUBA1A																															EVL KIF5A TUBB2B			
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS															ITPR1 PLCG2																															
REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION																																				AKT3 ITGBL1										
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III																																				TUBA1A TUBB2B										
REACTOME_SEMAPHORIN_INTERACTIONS					CDK5R1 DPYSL4																														CDK5R1 PLXNC1											
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS												CENPE TUBA1A																									CENPE TUBB2B									
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A SYN1			SNAP25 SYN1									STX1A STXBP1					STX1A SYN1																	SNAP25 STX1A										
REACTOME_SHC_MEDIATED_CASCADE_FGFR1																																				FGF17 FGF9										
REACTOME_SHC_MEDIATED_CASCADE_FGFR3																																				FGF17 FGF9										
REACTOME_SHC_MEDIATED_CASCADE_FGFR4																																				FGF17 FGF9										
REACTOME_SIALIC_ACID_METABOLISM								ST6GALNAC5 ST8SIA3																												ST6GALNAC5 ST8SIA3										
REACTOME_SIGNALING_BY_BRAF_AND_RAF_FUSIONS		CAMK2B FAM131B																																											CAMK2B FAM131B	
REACTOME_SIGNALING_BY_ERBB4									GABRB3 SPARC																																					
REACTOME_SIGNALING_BY_FGFR1																																				FGF17 FGF9										
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE																																				FGF17 FGF9										
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE																																				FGF17 FGF9										
REACTOME_SIGNALING_BY_FGFR3																																				FGF17 FGF9										
REACTOME_SIGNALING_BY_FGFR4																																				FGF17 FGF9										
REACTOME_SIGNALING_BY_GPCR	MCF2L NPY PRKCG PRKCH SSTR3					APLN GPC2 SSTR3		AGT APOB AVPR1B CHRM4 CNR1 GPC2 MLN PDE2A PRKCG RGS4 SST SSTR3 UCN3	ADCY1 APLN BRS3 DRD2 FFAR2 GABBR2 PTCH1 RGS9 SST UCN3							ADORA2A APLN FFAR2 GNG2 LRAT SSTR1 TAC3			ADCY2 CHRM4 GPC2 ITPR1 MLN RGS17 RGS4 UCN3		AKT3 LRAT NPY PRKCH PTCH1 RBP1 SST VAV3			ADCY1 MCF2L PRKCH RBP1 REEP2						ADORA2A GNG4 NPY PRKCH RGS17 SST VAV3			APLN ITPR1 PRKCH	ADCY1 AKT3 CHRM4 DRD2 GABBR2 GPC2 HRH3 LRAT OR51E1 PDE8B RGS9						CLPS RGS17 TAC3					AGT APLN BRS3 CAMK2B ITPR1 LRAT MLN PDE2A PTHLH TAC3	
REACTOME_SIGNALING_BY_HEDGEHOG											ADCY1 ADCY5 TUBB4A	DZIP1 TUBA1A		ADCY1 DZIP1										ADCY1 TUBB2B	DZIP1 PTCH1			ADCY1 BOC PTCH1 TUBB2B								ADCY2 BOC TUBA1A TUBB2B										
REACTOME_SIGNALING_BY_INTERLEUKINS																															BCL2 PELI3															
REACTOME_SIGNALING_BY_NOTCH2																													DLL1 MDK																	
REACTOME_SIGNALING_BY_NTRKS					CDK5R1 CDK5R2 ID4																				CDK5R1 VGF	MAPK12 VGF				ADORA2A CDK5R2						CDK5R2 ID4 MAPK12 VGF			ADORA2A CDK5R2 ID4 VGF							
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES																					AKT3 ATP6V1B1 HGFAC SPARC VAV3				CDK5R1 GRAP2 VGF	FGF17 MAPK12 SPP1 VGF				ADORA2A CDK5R2 VAV3			ADAM12 ITPR1			ADAM12 AKT3 CDK5R2 FGF17 FGF9 ID4 MAPK12 SPP1 VGF										
REACTOME_SIGNALING_BY_RHO_GTPASES												CENPE CIT TUBA1A												KIF5A MCF2L TUBB2B																						
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR_															ITPR1 PLCG2																															
REACTOME_SIGNALING_BY_VEGF																					AKT3 VAV3																									
REACTOME_SIGNALING_BY_WNT															ITPR1 LGR6													CXXC4 GNG4 ITPR1																		
REACTOME_SIGNAL_AMPLIFICATION																																				GNG2 GNG4										
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT																							SLC14A2 SLC18A1																							
REACTOME_STIMULI_SENSING_CHANNELS		TRPM2 UNC79						ASIC4 UNC79 WNK3				CLCN4 WNK3							UNC79 WNK2																											
REACTOME_STRIATED_MUSCLE_CONTRACTION							MYBPC2 MYBPC3	MYBPC2 TMOD2	MYBPC3 TMOD2																																					
REACTOME_SURFACTANT_METABOLISM																																							ADORA2A PGA4							
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX_																																							DPEP1 GGT5							
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS								ST6GALNAC5 ST8SIA3																																						
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS																			ACSL6 ELOVL4																											
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN																																				MBOAT4 PCSK1			GHRL PCSK1							
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1_																					PAX6 PCSK1																									
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_																					PAX6 PCSK1															ISL1 PCSK1			ISL1 PCSK1							
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS																																		KCNK16 KCNK17												
REACTOME_TCR_SIGNALING																																										EVL HLA-DQA2				
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION_																					LRAT RBP1																									
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS_																																				GNG2 GNG4										
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR																																				GNG2 GNG4										
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BONT_D_								SV2A SV2B																												SV2A SV2B										
REACTOME_TP53_REGULATES_METABOLIC_GENES																																		AKT3 RRAGD												
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS		CAMK2B PRKCG																																												
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	CHRNB2 KCNJ2 PRKCG STXBP1	CAMK2B DLG2 KCNJ2 PRKCG SNAP25 STX1A SYN1 TUBB2B		ADCY5 DLG2 KCNJ2	DLG2 LIN7A SNAP25 SYN1					ADCY5 DLG2	ADCY1 ADCY5 CHRNA3 CHRNB2 STX1A TUBB4A			ADCY1 PPM1E PRKCG STX1A STXBP1					ADCY2 STX1A SYN1				ADCY2 KCNJ2	ADCY1 TUBB2B				ADCY1 GNG4 TUBB2B		DLG2 GNG4 GRIK5 LIN7A SNAP25				ADCY1 CACNG4 CPLX1 GABBR2		ADCY2 CACNA1A DLG2 GNG2 GNG4 GRIK5 SNAP25 STX1A TUBA1A TUBB2B			ADCY2 DLG2 KCNJ6 SYN1				GNG2 KCNJ6 TUBB2B	GRIK5 STXBP1 TUBA1A		
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS																							SLC14A2 SLC18A1																							
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE																																				TUBA1A TUBB2B										
REACTOME_TRANSPORT_OF_SMALL_MOLECULES		ABCA9 CAMK2B SLC18A1 SLC8A1 TRPM2 UNC79									ABCA9 ADCY1 ADCY5 SLC18A1												ADCY2 SLC14A2 SLC18A1																							
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION		CHST8 ST8SIA3 TUBB2B			CHST8 CNIH2 ST8SIA3																															ANK2 CNIH2 SPTBN4 ST8SIA3 TUBA1A TUBB2B								SPTBN4 TUBA1A		
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION		CAMK2B DLG2																																												
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS		SNAP25 STX1A SV2B						SV2A SV2B											STX1A SV2B																	SNAP25 STX1A SV2A SV2B										
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS											ADCY1 ADCY5																	ADCY1 GNG4								ADCY2 GNG2 GNG4										
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY																					AKT3 VAV3																									
REACTOME_VISUAL_PHOTOTRANSDUCTION																					LRAT RBP1													GPC2 LRAT RGS9												
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS				KCNB2 KCNH7	KCNG1 KCNH8		KCNG1 KCNH7	KCNB2 KCNH8								KCNH3 KCNH6																		KCNB2 KCNH7		KCNB2 KCNH3 KCNH6										
SIG_BCR_SIGNALING_PATHWAY															ITPR1 PLCG2													BCL2 ITPR1						AKT3 PLCG2												
SIG_CD40PATHWAYMAP																																				MAPK10 MAPK12						MAPK10 MAPK8IP2				
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES															ITPR1 PLCG2																			AKT3 PLCG2												
ST_B_CELL_ANTIGEN_RECEPTOR																																		AKT3 PLCG2												
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS																																				MAP1B MAPK10 TUBA1A						MAPK10 MAPK8IP2				
ST_FAS_SIGNALING_PATHWAY																																										MAPK10 MAPK8IP2				
ST_GRANULE_CELL_SURVIVAL_PATHWAY																																										MAPK10 MAPK8IP2				
ST_G_ALPHA_I_PATHWAY																																		AKT3 DRD2		AKT3 DRD2										
ST_INTEGRIN_SIGNALING_PATHWAY															MAPK8IP2 PLCG2														ITGA7 PLCG2					AKT3 PLCG2		AKT3 ITGA7 MAPK10						MAPK10 MAPK8IP2				
ST_WNT_BETA_CATENIN_PATHWAY									CXXC4 NKD1												AKT3 NKD1	NKD1 SFRP1																								
ST_WNT_CA2_CYCLIC_GMP_PATHWAY																																													CAMK2B ITPR1	
WNT_SIGNALING									CXXC4 NKD1													NKD1 SFRP1 WNT9A															NKD1 WNT9A							NKD1 WNT9A		
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS									BCL2 NEFM																																					
WP_APOPTOSIS																						MAPK10 TP73																								
WP_APOPTOSIS_MODULATION_AND_SIGNALING															NAIP PRKD1																															
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY								CACNA1C CACNB2 SLC8A1																										CACNA2D1 CACNG4		CACNA1C ITGA7 SGCD							SGCD SLC8A1			CACNA1C ITGA7
WP_BMP2WNT4FOXO1_PATHWAY_IN_HUMAN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION								SFRP1 SST																																						
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY																						MAPK10 VAV3													CDK5R1 SYN1											
WP_BREAST_CANCER_PATHWAY																						DLL1 FGF17																								
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY																																							MAPK4 PLCG2							
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	PRKCG PRKCH	CAMK2B CHRM4 PRKCG RGS4 SLC8A1						CACNA1C CHRM4 PRKCG RGS4 SLC8A1		ADCY5 RGS17	ADCY1 ADCY5	RGS17 RGS5		ADCY1 PRKCG	ITPR1 PRKD1		CACNA1C GNAO1 RGS4		ADCY2 CHRM4 ITPR1 RGS17 RGS4		CACNA1C PRKCH			ADCY1 GJD2 PRKCH				ADCY1 GNG4 ITPR1		GNG4 PRKCH RGS17			ITPR1 PRKCH	ADCY1 CHRM4 RGS9		ADCY2 CACNA1A CACNA1C GNAO1 GNG2 GNG4 RGS4			ADCY2 CACNA1C PRKD1			CACNA1B GNAO1	GNG2 SLC8A1			
WP_CANNABINOID_RECEPTOR_SIGNALING														ADCY1 MAPK12																						MAPK10 MAPK12										
WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR																					AKT3 EFNB3													AKT3 MMP2		AKT3 EFNB3										
WP_CHEMOKINE_SIGNALING_PATHWAY											ADCY1 ADCY5																	ADCY1 GNG4		GNG4 VAV3						ADCY2 AKT3 GNG2 GNG4										
WP_CILIOPATHIES																															CCDC40 TTC25												DNAH11 TUB			
WP_CIRCADIAN_RHYTHM_RELATED_GENES	CHRNB2 PRKCG										ADCY1 CHRNB2			ADCY1 PRKCG										ADCY1 ARNT2										ADCY1 DRD2 ID4 KCNH7												
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION									ADCY1 DRD2					ADCY1 PRKCG																				ADCY1 DRD2		DRD2 PPP1R1A										
WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING_PATHWAY																												BCL2 CACNA1H	CACNA1H PLCG2																	
WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALLING_BY_CNV		CAMK2B DLG2 STX1A																																		DLG2 STX1A										
WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT																						MAPK10 TP73																								
WP_DOPAMINERGIC_NEUROGENESIS																																				LMX1A RET									CDKN1C RET	
WP_EBOLA_VIRUS_PATHWAY_ON_HOST																																										BST2 HLA-DQA2				
WP_ECTODERM_DIFFERENTIATION			CELSR2 POU2F2	POU2F2 TRPM2				GREB1 PAX6 POU2F2								GREB1 PLCXD3			CELSR2 ELOVL4 GREB1 PLCXD3		PAX6 POU2F2																									
WP_EGFEGFR_SIGNALING_PATHWAY																																												MAPK4 STXBP1		
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE		AKT3 PRKCG																																AKT3 PLCG2												
WP_EICOSANOID_METABOLISM_VIA_LIPO_OXYGENASES_LOX																																							DPEP1 GGT5							
WP_ENDOCHONDRAL_OSSIFICATION																										PTHLH SPP1																			CDKN1C PTHLH	
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS																										PTHLH SPP1																			CDKN1C PTHLH	
WP_ENDODERM_DIFFERENTIATION																						ATP8B2 PTHLH SFRP1 VAV3																								
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY											ADCY1 ADCY5																																			
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER																					AKT3 PROX1 SPARC	DLL1 WNT9A							DLL1 MMP2 PROX1															MMP2 WNT9A		
WP_ERBB_SIGNALING_PATHWAY		AKT3 CAMK2B PRKCG																																												
WP_ESC_PLURIPOTENCY_PATHWAYS									FGF17 MAPK4																	FGF17 MAPK12										AKT3 FGF14 FGF17 FGF9 MAPK12										
WP_FGF23_SIGNALLING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS																																		ROS1 SPP1												
WP_FGFR3_SIGNALLING_IN_CHONDROCYTE_PROLIFERATION_AND_TERMINAL_DIFFERENTIATION																										MAPK12 PTHLH										FGF9 MAPK12										
WP_FOCAL_ADHESION		AKT3 PRKCG SPP1																												ITGA7 VAV3																
WP_FOCAL_ADHESIONPI3KAKTMTORSIGNALING_PATHWAY																ANGPT2 CSF1R GNG2												CSF1R FGF9 GNG4								AKT3 FGF14 FGF17 FGF9 GNG2 GNG4 ITGA7 SPP1										
WP_FRAGILE_X_SYNDROME																																													CAMK2B ITPR1	
WP_G13_SIGNALING_PATHWAY																						CIT MAPK10														CIT MAPK10										
WP_G1_TO_S_CELL_CYCLE_CONTROL					CDKN1C MYT1																																								CDKN1C MYT1	
WP_GABA_RECEPTOR_SIGNALING									GABBR2 GABRB3																																					
WP_GANGLIO_SPHINGOLIPID_METABOLISM		FUT1 ST8SIA3																																												
WP_GASTRIN_SIGNALING_PATHWAY																					CHGA PRKCH			PRKCH TFF2																						
WP_GDNFRET_SIGNALLING_AXIS								GFRA1 RET																																						
WP_GENES_INVOLVED_IN_MALE_INFERTILITY																	GNAO1 MMP2											BCL2 MSH5																		
WP_GENOTOXICITY_PATHWAY														CENPE E2F7					CENPE E2F7 ITPR1			CENPE E2F7												E2F7 MEX3B	CENPE E2F7		CENPE E2F7									
WP_GPCRS_CLASS_A_RHODOPSINLIKE								AVPR1B CHRM4 CNR1 GPR173 SSTR3	BRS3 DRD2 FFAR2							ADORA2A FFAR2 SSTR1																												CHRM4 CNR1 SSTR3		
WP_GPCRS_OTHER								CNR1 GPR162 LGR6	GPR162 LGR6								GPR162 SSTR2																													
WP_G_PROTEIN_SIGNALING_PATHWAYS	PRKCG PRKCH										ADCY1 ADCY5			ADCY1 PRKCG	ITPR1 PRKD1				ADCY2 ITPR1					ADCY1 PRKCH				ADCY1 GNG4 ITPR1		GNG4 PRKCH			ITPR1 PRKCH			ADCY2 GNAO1 GNG4 PDE8B			ADCY2 PRKD1							
WP_HEDGEHOG_SIGNALING_PATHWAY									BCL2 PTCH1																			BCL2 BOC PTCH1																		
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION																													CBFA2T3 HES6										HES6 KCNH2						HES6 KCNH2	
WP_HEPATITIS_B_INFECTION														MAPK12 PRKCG																																
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION																													FLT1 ITGA7																	
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_MAPK_SIGNALING																				BST2 IFI27																MAPK10 MAPK12						BST2 MAPK10				
WP_HUMAN_COMPLEMENT_SYSTEM																										C7 SPP1																				
WP_HUMAN_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY																																				ADCY2 GNAO1 GNG2 KCNIP3										
WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE																																		ANGPT2 LTBP2												
WP_IL18_SIGNALING_PATHWAY																																		FUT1 MMP2 SPON1 SPP1					CDK5R2 KCNH2 MMP2 SPON1							
WP_INSULIN_SIGNALING	MAP3K12 PRKCH STXBP1													MAPK12 STXBP1																PRKCH SNAP25														MAPK4 STXBP1		
WP_INTEGRINMEDIATED_CELL_ADHESION																					AKT3 VAV3	MAPK10 VAV3								ITGA7 VAV3						AKT3 ITGA7 MAPK10 MAPK12										
WP_INTRACELLULAR_TRAFFICKING_PROTEINS_INVOLVED_IN_CMT_NEUROPATHY																													GDAP1 PMP22																	
WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY	PRKCG PRKCH																																													
WP_LNCRNA_INVOLVEMENT_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER									CXXC4 NKD1													NKD1 SFRP1																								
WP_LUNG_FIBROSIS																													MMP2 RTEL1					MMP2 RTEL1 SPP1												
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE											ADCY1 ADCY5																																			
WP_MAPK_CASCADE																																				MAP2 MAPK10 MAPK12										
WP_MAPK_SIGNALING_PATHWAY	MAP3K12 PRKCG												MAP3K12 PRKCG	MAPK12 PRKCG																						AKT3 CACNA1A CACNA1C FGF14 FGF17 FGF9 MAPK10 MAPK12						CACNA1B MAPK10 MAPK8IP2				
WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME								SST TET1																		NREP SST																	MYT1 NREP			
WP_MESODERMAL_COMMITMENT_PATHWAY																			CCDC88A DLL1 TET1		PAX6 VAV3	ATP8B2 DLL1 VAV3															CCDC88A TET1									
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II																	NAT8L SULT1A4																													
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY																																							PLCG2 VAV3							
WP_MONOAMINE_GPCRS																													CHRM4 DRD2					CHRM4 DRD2												
WP_MONOAMINE_TRANSPORT		STX1A SYN1																	STX1A SYN1											ADORA2A AMPH				AMPH HRH3		AGT AMPH STX1A			ADORA2A AGT SYN1			AGT HRH3 TDO2				
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS	PRKCG PRKCH	CAMK2B PRKCG RGS4 SLC8A1								ADCY5 RGS17	ADCY1 ADCY5	RGS17 RGS5		ADCY1 PRKCG	ITPR1 PLCG2 PRKD1	GNG2 PLCG2			ADCY2 ITPR1 RGS17 RGS4					ADCY1 PRKCH				ADCY1 GNG4 ITPR1		GNG4 PRKCH RGS17			ITPR1 PRKCH	ADCY1 PLCG2 RGS9		ADCY2 GNG2 GNG4 RGS4			ADCY2 PLCG2 PRKD1				GNG2 SLC8A1			
WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING																																				AKT3 MAPK10 MAPK12										
WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA									CXXC4 NKD1													NKD1 SFRP1																								
WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT																																		AKT3 MMP2												
WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER																																		AKT3 MMP2												
WP_NEURAL_CREST_DIFFERENTIATION																			DLL1 ISL1										DLL1 PMP22																	
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS									DRD2 KCNK3		CHRNA3 CHRNB2																									ADCY2 DRD2 GNG2			ADCY2 KCNK3							
WP_NOCGMPPKG_MEDIATED_NEUROPROTECTION					CNGA3 PDE2A			CNGA3 CNGA4 PDE2A																													CNGA4 PDE2A								CAMK2B PDE2A	
WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3	PRKCG PRKCH	CAMK2B PRKCG												MAPK12 PRKCG							IFI44L PRKCH			IFI44L PRKCH										PLCG2 RSAD2												
WP_NONSMALL_CELL_LUNG_CANCER		AKT3 PRKCG																																AKT3 PLCG2												
WP_NOTCH_SIGNALING_PATHWAY_NETPATH																													DLL1 HES6																	
WP_ONE_CARBON_METABOLISM_AND_RELATED_PATHWAYS							BCAT1 PCYT1B																											BCAT1 PCYT1B												
WP_OSTEOBLAST_DIFFERENTIATION	PRKCG PRKCH								MAPK4 PTCH1					MAPK12 PRKCG							PRKCH PTCH1	DLL1 MAPK10 WNT9A		DLL3 PRKCH	PTCH1 WNT9A			FGF9 PTCH1	DLL1 FGF9 HES6										HES6 MAPK4 PRKD1					MAPK4 WNT9A		
WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA																		FLT1 LDHD																												
WP_PATHWAYS_REGULATING_HIPPO_SIGNALING	PRKCG PRKCH																							CDH22 PRKCH																						
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION									ADCY1 DRD2		ADCY1 ADCY5															DRD2 PDE2A								ADCY1 DRD2 PDE8B		ADCY2 DRD2 PDE8B	DRD2 PDE2A		ADCY2 ADORA2A							
WP_PI3KAKT_SIGNALING_PATHWAY									ANGPT2 BCL2 CSH1 FGF17							ANGPT2 CSF1R GNG2												BCL2 CSF1R FGF9 GNG4								AKT3 FGF14 FGF17 FGF9 GNG2 GNG4 ITGA7 SPP1										
WP_PPAR_SIGNALING_PATHWAY																			ACSL6 CPT1C																											
WP_PRADERWILLI_AND_ANGELMAN_SYNDROME																																							GHRL PCSK1							
WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS																																													CAMK2B CDKN1C	
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION																																				AKR1B1 SCGB1A1										
WP_PYRIMIDINE_METABOLISM																																			CTPS1 ENTPD1											
WP_RAC1PAK1P38MMP2_PATHWAY																																		ANGPT2 MMP2												
WP_RAS_SIGNALING																CSF1R GNG2 PLCG2												CSF1R GNG4 TTBK1						AKT3 FLT1 KSR2 PLCG2 TTBK1		AKT3 GNG2 GNG4 MAPK10 RASAL1										
WP_REGULATION_OF_ACTIN_CYTOSKELETON																																												CHRM4 MAPK4		
WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY							PELI3 SPP1																			MAPK12 SPP1										AKT3 MAPK10 MAPK12 PELI3 SPP1										
WP_REGULATORY_CIRCUITS_OF_THE_STAT3_SIGNALING_PATHWAY																																				MAPK10 MAPK12 PTPRT										
WP_RENIN_ANGIOTENSIN_ALDOSTERONE_SYSTEM_RAAS																																													AGT CAMK2B ITPR1	
WP_RESISTIN_AS_A_REGULATOR_OF_INFLAMMATION															ITPR1 PLCG2																			AKT3 PLCG2												
WP_RETT_SYNDROME_CAUSING_GENES									ACTL6B GABBR2																																					
WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER									BCL2 SPARC																																					
WP_SIGNALING_PATHWAYS_IN_GLIOBLASTOMA	PRKCG PRKCH	AKT3 PRKCG																			AKT3 PRKCH													AKT3 PLCG2												
WP_SIGNAL_TRANSDUCTION_OF_S1P_RECEPTOR																																				AKT3 MAPK12										
WP_SLEEP_REGULATION																																							ADORA2A GHRL							
WP_SOMITOGENESIS_IN_THE_CONTEXT_OF_SPONDYLOCOSTAL_DYSOSTOSIS																								DLL3 EPHA4																						
WP_SPINAL_CORD_INJURY									EPHA4 GAP43																																					
