	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES				HERC5 MX2													HERC5 MX2														MX1 MX2 USP41														HERC5 MX2 USP41			MX1 USP41									HERC5 MX1 MX2				HERC5 MX1 MX2 USP41						HERC5 MX1	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	DPEP1 PTHLH					ADORA2A DPEP1				ADORA2A DPEP1 PTHLH					ADCY1 ADCY2 ADCY5 GNG2 GNG4 ITPR1 PTHLH				ADCY1 ADCY2 ADCY5 ADORA2A DPEP1 ITPR1		ADORA2A ITPR1						ADCY1 ADCY2 ADCY5 DPEP1							ADCY1 ADCY2 ADCY5 GNG2 GNG4 ITPR1 PTHLH										ADCY2 ADCY5 ITPR1 PLCG2						ADCY1 ADCY2 GGT5 GNG2							ADCY1 GGT5 ITPR1 PLCG2 PTHLH	ADCY1 ADORA2A GNG2 GNG4 PLCG2 PTHLH										
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT			ADCY1 GNG2 GNG4												ADCY1 ADCY2 ADCY5 GNG2 GNG4				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 GNG2			ADCY1 ADCY2 ADCY5 GNG2 GNG4	ADCY1 GNG2 GNG4								ADCY1 ADCY2 ADCY5 GNG4	ADCY2 ADCY5		ADCY5 GNG2	ADCY5 GNG2			ADCY1 ADCY2 GNG2								ADCY1 GNG2 GNG4			ADCY1 ADCY5 GNG4						ADCY5 GNG4	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																											ANK2 ST6GALNAC5 ST8SIA3 TUBB4A				ANK2 CNIH2 SPTBN4 ST6GALNAC5 ST8SIA5 TUBA1A TUBB2B																																					
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS					CAMK2B TUBB4A									CAMK2B LIN7A TUBA1A	DLG2 LIN7A TUBA1A									LIN7A TUBB4A			LIN7A TUBB4A				LIN7A TUBA1A TUBB2B	CAMK2B LIN7A TUBA1A TUBB2B					CAMK2B TUBB4A						CAMK2B DLG2		TUBA1A TUBB4A							CAMK2B LIN7A TUBA1A TUBB4A				CAMK2B LIN7A		DLG2 LIN7A			TUBA1A TUBB4A	CAMK2B TUBB4A						
REACTOME_AURKA_ACTIVATION_BY_TPX2																																													TUBA1A TUBB4A																							
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS			BGN VCAN											B3GAT1 GPC2																											BGN GPC2		B3GAT1 BGN																									
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING												GNAO1 ITPR1 PRKCG			GNAO1 GNG2 GNG4 ITPR1																												GNAO1 GNG4 ITPR1 PRKCG													GNAO1 GNG4 ITPR1 PRKCG					GNAO1 GNG4 ITPR1 PRKCG							
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN																											ST6GALNAC5 ST8SIA3																																									
REACTOME_CA2_ACTIVATED_K_CHANNELS														KCNMA1 KCNMB2					KCNMA1 KCNMB2										KCNMA1 KCNMB2		KCNMA1 KCNMB2				KCNMA1 KCNMB2				KCNMA1 KCNMB2					KCNMA1 KCNMB2		KCNMA1 KCNMB2									KCNMA1 KCNMB2													
REACTOME_CA2_PATHWAY												GNAO1 ITPR1		GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4 ITPR1			GNG2 ITPR1																GNG2 GNG4 ITPR1	GNAO1 GNG2 GNG4								GNAO1 GNG4 ITPR1			GNAO1 GNG2									GNAO1 ITPR1	GNAO1 GNG4 ITPR1		GNAO1 GNG2 GNG4			GNAO1 GNG4 ITPR1							
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN					TTLL6 TUBB4A							LRRC49 TTLL7				LRRC49 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7	LRRC49 TTLL6								TTLL7 TUBB4A		TTLL6 TTLL7		LRRC49 TUBA1A TUBB2B	LRRC49 TTLL6 TTLL7 TUBA1A TUBB2B		LRRC49 TTLL6 TTLL7	LRRC49 TTLL6 TTLL7		TTLL7 TUBB4A						LRRC49 TTLL6 TTLL7		TUBA1A TUBB4A	LRRC49 TTLL6						LRRC49 TTLL6 TTLL7 TUBA1A TUBB4A				LRRC49 TTLL7		TTLL6 TTLL7			LRRC49 TUBA1A TUBB4A	LRRC49 TUBB4A					TTLL6 TTLL7	
REACTOME_CARDIAC_CONDUCTION			CACNA1C CACNA2D1 FGF14 SCN2A	CAMK2B KCNJ11 KCNJ2 KCNK17 SCN3A	CAMK2B KCNH2 KCNJ11 SCN1B							ATP1A3 CACNB2 ITPR1		CACNA2D1 CAMK2B KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SLC8A1	ATP1A3 CACNA2D1 FGF14 ITPR1 KCNH2 KCNIP3 KCNK16				ATP1A3 CACNA1C ITPR1 KCNK3								CACNA1C FGF14 KCNK3		FGF14 ITPR1 KCNK3 SCN3A		CACNA1C FGF14 KCNJ2 KCNK17 SCN2A			CACNA2D1 CACNG4 ITPR1 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNG4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1		CAMK2B KCNH2 KCNIP3 KCNJ11 KCNK17 KCNK3	CACNA2D1 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1		CAMK2B KCNH2 KCNK17 KCNK3 SCN1B	CACNB2 SCN3A	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNJ2 KCNK3	CACNA1C CACNA2D1 CACNB2 ITPR1 SCN2A SLC8A1	CACNA2D1 FGF14 KCNJ11	ATP1A3 CACNA2D1 FGF14 KCNIP3 KCNJ11 KCNJ2	ATP1A3 KCNJ2 KCNK3 SLC8A1	CACNA1C SLC8A1	CACNA2D1 FGF14 KCNK17	CACNA2D1 KCNK16 KCNK17		ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1		CACNB2 SCN3A		ATP1A3 CACNA1C CAMK2B ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK3 SCN1B	CACNA2D1 ITPR1 KCNH2 KCNK3 SCN2A SLC8A1	CACNA1C FGF14 KCNIP3 KCNJ2 KCNK17 SCN2A SCN3A SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA2D1 CACNG4 ITPR1 KCNIP3 KCNJ2	ATP1A3 CAMK2B		CACNB2 ITPR1	ATP1A3 CACNA1C CACNB2 SCN2A	KCNJ11 KCNJ2 KCNK3 SCN1B		
REACTOME_CA_DEPENDENT_EVENTS				ADCY5 CAMK2B	ADCY1 CAMK2B										ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5	ADCY1 CAMK2B		ADCY1 ADCY2 ADCY5			ADCY2 CAMK2B		ADCY5 CAMK2B				ADCY1 ADCY2 ADCY5 CAMK2B PRKCG	ADCY2 ADCY5						ADCY1 ADCY2		CAMK2B PRKCG			ADCY5 PRKCG	ADCY5 CAMK2B PRKCG					ADCY1 ADCY5 PRKCG						ADCY5 PRKCG	
REACTOME_CD28_CO_STIMULATION			GRAP2 PAK3																								AKT3 GRAP2				AKT3 GRAP2 PAK3	AKT3 GRAP2			AKT3 GRAP2 PAK3				AKT3 PAK3																													
REACTOME_CELL_CELL_COMMUNICATION																										CADM2 SDK2																																				CADM2 SDK1						
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION																										CADM2 SDK2																	CADM2 SDK1 SDK2	CADM2 SDK1												CADM2 SDK1 SDK2						CADM2 SDK1						
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE																																									MCF2L VAV3																											
REACTOME_CELL_JUNCTION_ORGANIZATION																										CADM2 SDK2																	CADM2 SDK1 SDK2													CADM2 SDK1 SDK2						CADM2 SDK1						
REACTOME_CGMP_EFFECTS														KCNMA1 KCNMB2 PDE2A					ITPR1 KCNMA1 KCNMB2 PDE2A										ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2			ITPR1 KCNMB2 PDE2A	KCNMA1 KCNMB2 PDE2A		KCNMA1 PDE2A		KCNMA1 KCNMB2					ITPR1 KCNMA1 KCNMB2		KCNMA1 KCNMB2	KCNMA1 PDE2A								ITPR1 KCNMA1 KCNMB2 PDE2A	ITPR1 KCNMB2					ITPR1 KCNMB2							
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS			BGN VCAN																																																																	
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM			BGN VCAN																																						BGN GPC2																											
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_								SUCNR1 TACR3					ADORA2A AGT GHRL	APLN AVPR1B CHRM4 CNR1 FFAR2 GHRL MLN SST SSTR2 SUCNR1 TACR3			APLN DRD2 FFAR2 SSTR2		ADORA2A AGT FFAR2 GHRL SSTR1 TAC3 TACR3		ADORA2A AGT BRS3 MLN													APLN AVPR1B CHRM4 CNR1 DRD2 FFAR2 SSTR1 TAC3	ADORA2A AGT APLN AVPR1B BRS3 CHRM4 CNR1 NPY SST	NPY SUCNR1 TACR3										APLN AVPR1B BRS3 MLN NPY SSTR3								SST SUCNR1 TACR3				ADORA2A AGT BRS3 CNR1 FFAR2 HRH3 MLN										
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_			GNG2 GNG4 WNT9A											GNG2 GNG4 PTHLH UCN3 WNT9A	GNG2 GNG4 PTHLH																																									GNG4 PTCH1 UCN3 WNT9A	PTCH1 PTHLH WNT9A	GNG2 GNG4 PTHLH UCN3			GNG4 PTCH1 WNT9A						GNG4 PTCH1 UCN3 WNT9A	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES				COL12A1 COL22A1	COL12A1 COL21A1												COL12A1 COL21A1	COL12A1 COL21A1																																COL21A1 COL22A1											COL12A1 COL21A1 COL22A1						COL12A1 COL21A1 COL22A1	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION				COL12A1 COL22A1	COL12A1 COL21A1												COL12A1 COL21A1	COL12A1 COL21A1	COL12A1 COL22A1													COL21A1 COL22A1															COL21A1 COL22A1			COL21A1 COL22A1											COL12A1 COL21A1 COL22A1						COL12A1 COL21A1 COL22A1	
REACTOME_COLLAGEN_DEGRADATION																																												COL12A1 MMP2																								
REACTOME_COLLAGEN_FORMATION																	COL12A1 COL21A1																																	COL21A1 COL22A1											COL12A1 COL21A1 COL22A1						COL12A1 COL21A1 COL22A1	
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING			GNG2 GNG4 RGS9									GNAO1 RGS9		GNAO1 GNG2 GNG4	GNAO1 GNG2 GNG4 RGS9																				GNAO1 GNG2 GNG4				GNAO1 GNG4 RGS9				GNAO1 GNG4 RGS9			GNAO1 GNG2 RGS9						GNG2 GNG4 RGS9				GNAO1 GNG4 RGS9		GNAO1 GNG2 GNG4			GNAO1 GNG4 RGS9						GNG4 RGS9	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING																															TUBA1A TUBB2B	TUBA1A TUBB2B													TUBA1A TUBB4A							TUBA1A TUBB4A									TUBA1A TUBB4A							
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC			CENPE KIF1A KIF5A TUBA1A																								KIF5A TUBB4A				CENPE KIF5A TUBA1A TUBB2B						KIF19 KIF5A TUBB4A					KIF1A TUBB2B			TUBA1A TUBB4A																	CENPE TUBB4A						
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																																													TUBA1A TUBB4A																							
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT					ANK2 SPTBN4 TUBB4A								SPTBN4 TUBB4A																		ANK2 SPTBN4 TUBA1A TUBB2B																					ANK2 SPTBN4 TUBA1A TUBB4A																
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY			GRAP2 HLA-DQA2 PAK3																								AKT3 GRAP2			HLA-DQA2 PAK3	AKT3 GRAP2 HLA-DQA2 PAK3				AKT3 GRAP2 PAK3	HLA-DQA2 PAK3																		HLA-DQA2 PAK3														
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING																																							CAMK2B DLG2				CAMK2B DLG2																									
REACTOME_CRMPS_IN_SEMA3A_SIGNALING					CDK5R1 DPYSL4									CDK5R1 CRMP1	CDK5R1 CRMP1																																										CDK5R1 DPYSL4											
REACTOME_CS_DS_DEGRADATION			BGN VCAN																																																																	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM																DLG2 EDAR FGF9 HERC5 KSR2 MAPK10 MAPK12 MMP2 MX2 RASAL1 RSAD2 SNAP25 SPRED3 STX1A			BCL2 DLG2 EDAR KSR2 MAPK10 NCAM1 RASAL1 RSAD2 SNAP25 SPRED3 SPTBN4 STX1A USP41 XAF1				BST2 HLA-DQA2 IFI27																		CAMK2B CRLF1 CSF1R EDAR HERC5 KSR2 MAPK10 RASAL1 RSAD2		BCL2 CAMK2B DLG2 GFRA1 MAPK10 MMP2 MX1 MX2 NCAM1 RASAL1 RSAD2 SNAP25 SPRED3 SPTBN4 STX1A			BCL2 EDAR FGF17 GFRA1 KSR2 MAPK10 MX1 NCAM1 PELI3 RASAL1 RET RSAD2 SNAP25 SPTBN4 USP41		CSF1R MAPK12 MX1 SPRED3 USP41					CSH1 GFRA1 TNFSF14 XAF1		CRLF1 DLG2 FGF17 FGF9 GFRA1 GFRA3 MAPK10 NCAM1 PELI3 RASAL1 SPTBN4 STX1A USP41				EDAR HERC5 HLA-DQA2 KIT		BCL2 CRLF1 CSF1R EDAR GFRA1 HERC5 IFI27 KIT KSR2 MAPK10 MAPK12 MX1 MX2 PELI3 RET RSAD2 SPRED3 STX1A TNFSF14 USP41							
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES			PODXL2 SULT1A4									PODXL2 SULT1A4			PODXL2 SULT1A4																PODXL2 SULT1A4	PODXL2 SULT1A4											PODXL2 SULT1A4																									
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_																																																									ITPR1 MUC15 MUC5B PLCG2											
REACTOME_DAG_AND_IP3_SIGNALING				ADCY5 CAMK2B	ADCY1 CAMK2B							ITPR1 PRKCG			ADCY1 ADCY2 ADCY5 ITPR1				ADCY1 ADCY2 ADCY5 ITPR1								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5	ADCY1 CAMK2B		ADCY1 ADCY2 ADCY5 ITPR1			ADCY2 CAMK2B						ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 PRKCG	ADCY2 ADCY5 ITPR1						ADCY1 ADCY2					ADCY5 ITPR1 PRKCG	ADCY5 CAMK2B ITPR1 PRKCG	ADCY1 ITPR1				ADCY1 ADCY5 ITPR1 PRKCG						ADCY5 PRKCG	
REACTOME_DAP12_INTERACTIONS			GRAP2 PLCG2																																		GRAP2 PLCG2	GRAP2 PLCG2																		GRAP2 PLCG2	GRAP2 PLCG2											
REACTOME_DAP12_SIGNALING			GRAP2 PLCG2											GRAP2 VAV3																		GRAP2 PLCG2					GRAP2 PLCG2	GRAP2 PLCG2	PLCG2 VAV3													GRAP2 VAV3				GRAP2 PLCG2	GRAP2 PLCG2											
REACTOME_DECTIN_2_FAMILY			MUC15 PLCG2		MUC5B PLCG2									MUC15 MUC5B																		MUC15 PLCG2			MUC15 MUC5B								MUC15 MUC5B														MUC15 MUC5B PLCG2											
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE			BGN VCAN																																						BGN GPC2																											
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_														MUC15 MUC5B																					MUC15 MUC5B								MUC15 MUC5B														MUC15 MUC5B											
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE			BGN VCAN																																																																	
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD			BGN VCAN																																																																	
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS			BGN VCAN																																																																	
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_														MUC15 MUC5B																					MUC15 MUC5B								MUC15 MUC5B														MUC15 MUC5B											
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX																										FBN1 SPOCK3																		COL12A1 MMP2 SPOCK3																								
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS			BGN VCAN																																																																	
REACTOME_DEVELOPMENTAL_BIOLOGY						EPHA8 PAX4 TUBB4A								ANK2 BOC CDK5R1 CRMP1 DCX EFNB3 EPHA4 EPHA8 EPHB3 EVL GAP43 GCK GDF1 GFRA1 GFRA3 ISL1 NCAM1 NFASC PAX6 PLXNC1 PMP22 RET RFX6 ROBO1 SCN1B SCN3A SPTBN4 TUBA1A VAV3						CHL1 GDF1 TUBB4A							AKT3 ANK2 CACNA1C EFNB3 EPHB3 EVL NFASC PLXNC1 ROBO1 TUBB4A	EPHA8 GAP43 GATA2 NCAM1 NKX2-2 PAX4		EPHA8 GATA2 GDF1 PAK3 SCN3A	AKT3 ANK2 BOC CACNA1C CFC1 DSCAML1 EPHA4 GAP43 GATA2 GCK GFRA3 ISL1 NCAM1 PAK3 PAX6 ROBO1 SCN2A SPTBN4 STX1A TUBA1A TUBB2B		CACNB2 DPYSL4 EPHA4			DCX EPHA8 GATA2 GDF1 PAK3 SCN3A	CACNA1H CFC1 DSCAML1 GCK INSM1 KLK12 MMP2 NEUROD1 NFASC NKX2-2 PAX4 PMP22 RET TUBB4A		AKT3 CACNA1C CACNG4 CDK5R1 CHL1 DSCAML1 EFNB3 EPHA4 EPHB3 EVL GAP43 INSM1 ISL1 MMP2 NCAM1 NEUROD1 PAK3 PLXNC1 PMP22 RFX6 ROBO1 SCN2A SCN3A SPTBN4 STX1A VAV3													ANK2 BOC CACNA1H CACNB2 CACNG4 CDK5R1 EFNB3 EPHA4 GCK INSM1 MAPK12 MMP2 MSI1 NEUROD1 NFASC NKX2-2 PAX4 PAX6 PLXNC1 RET SPTBN4 TUBA1A TUBB4A VAV3			ANK2 BOC DSCAML1 EFNB3 EPHA4 EVL GAP43 GCK GFRA1 GFRA3 NCAM1 PMP22 ROBO1 SPTBN4 STX1A			AKT3 CACNA1C CFC1 DCX DOK6 DSCAML1 EPHA8 GAP43 GATA2 GCK GDF1 GFRA1 ISL1 MAPK12 NFASC PAX6 PMP22 RET RFX6 SCN2A SCN3A										
REACTOME_DISEASE					ABCC8 ADAMTSL1 ADAMTSL2 ADCY1 CAMK2B CDK5R1 CDKN1C DLL1 DPEP1 FGF9 GCK GPC2 HEYL KCNJ11 MUC5B PLCG2 SPON1 TUBB4A	ADORA2A DPEP1 KIT TUBB4A									ABCC8 ADCY1 ADCY2 ADCY5 AKT3 CDK5R1 CDKN1C DLL1 ENTPD1 FAM131B GCK GNG2 GNG4 ITPR1 KSR2 LRAT MUC15 PRELP PTHLH RBP1 SNAP25 SPON1 SPON2 STX1A TUBA1A																																																					
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM			BGN VCAN									GPC2 PRELP				PRELP VCAN																					GPC2 PRELP	GPC2 PRELP			BGN GPC2 PRELP																GPC2 PRELP											
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS				ADAMTSL2 SPON1	ADAMTSL1 ADAMTSL2 MUC5B SPON1									ADAMTSL2 MUC15 MUC5B	MUC15 SPON1 SPON2		SPON1 SPON2									MUC15 SPON1								ADAMTSL1 ADAMTSL2 MUC15 SPON1 SPON2	ADAMTSL2 MUC15 MUC5B SPON1		ADAMTSL2 SPON2	SPON1 SPON2	ADAMTSL1 SPON1 SPON2		ADAMTSL2 SPON1 SPON2		ADAMTSL1 MUC15 MUC5B														MUC15 MUC5B SPON2											
REACTOME_DISEASES_OF_GLYCOSYLATION			ADAMTSL1 BGN MUC15 VCAN		ADAMTSL1 ADAMTSL2 GPC2 MUC5B SPON1							GPC2 PRELP SPON1			MUC15 PRELP SPON1 SPON2	ADAMTSL1 PRELP SPON1 VCAN										MUC15 SPON1							BGN MUC5B	ADAMTSL1 ADAMTSL2 MUC15 PRELP SPON1 SPON2	ADAMTSL2 MUC15 MUC5B PRELP SPON1		ADAMTSL2 GPC2 PRELP SPON2	GPC2 PRELP SPON1 SPON2	ADAMTSL1 PRELP SPON1 SPON2 VCAN		ADAMTSL2 BGN GPC2 PRELP SPON1 SPON2		ADAMTSL1 BGN MUC15 MUC5B					PRELP SPON2									GPC2 MUC15 MUC5B PRELP SPON2											
REACTOME_DISEASES_OF_METABOLISM					ADAMTSL1 ADAMTSL2 GPC2 MUC5B SPON1																												BGN MUC5B					GPC2 PRELP SPON1 SPON2			ADAMTSL2 BGN GPC2 PRELP SPON1 SPON2							PRELP SPON2																				
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS				ABCC8 GCK KCNJ11	ABCC8 GCK KCNJ11																																																															
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE			CPLX1 STXBP1											LIN7A SYN1	LIN7A SNAP25 STX1A SYN1	SNAP25 STX1A			SNAP25 STX1A								CPLX1 LIN7A SNAP25				LIN7A SNAP25 STX1A SYN1	CPLX1 LIN7A SNAP25 STXBP1		CPLX1 LIN7A SNAP25 SYN1	CPLX1 SNAP25 STX1A SYN1		CPLX1 STXBP1		CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25	CPLX1 SYN1					LIN7A SNAP25			STX1A STXBP1	CPLX1 LIN7A STXBP1		CPLX1 LIN7A SYN1			CPLX1 STX1A				CPLX1 STXBP1			
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1														FGF17 FGF9																	FGF17 FGF9	FGF17 FGF9		FGF17 FGF9																					FGF17 FGF9													
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2														FGF17 FGF9																	FGF17 FGF9	FGF17 FGF9		FGF17 FGF9																					FGF17 FGF9													
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3														FGF17 FGF9																	FGF17 FGF9	FGF17 FGF9		FGF17 FGF9																					FGF17 FGF9													
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4														FGF17 FGF9																	FGF17 FGF9	FGF17 FGF9		FGF17 FGF9																					FGF17 FGF9													
REACTOME_DSCAM_INTERACTIONS																DSCAML1 MAPK12																																								DSCAML1 MAPK12		DSCAML1 MAPK12					DSCAML1 MAPK12					
REACTOME_ECM_PROTEOGLYCANS			BGN ITGA7 SPARC VCAN																																				NCAM1 SPARC VCAN																													
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS															ITPR1 PRKCH			DGKB ITPR1 PRKCH	DGKB ITPR1 PRKCH		ITPR1 PRKCH											DGKB PRKCH												DGKB ITPR1 PRKCH								DGKB PRKCH			DGKB ITPR1 PRKCH	DGKB ITPR1 PRKCH	DGKB ITPR1				ITPR1 PRKCH							
REACTOME_ELASTIC_FIBRE_FORMATION												FBN1 LTBP2																																																		FBN1 LTBP2						
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE														EPHA4 EPHA8																																	EPHA4 EPHA8																					
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING																											EFNB3 EPHB3																													EFNB3 EPHB3												
REACTOME_EPHRIN_SIGNALING														EFNB3 EPHB3													EFNB3 EPHB3								EFNB3 PAK3				EFNB3 EPHB3 PAK3																	EFNB3 EPHB3												
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS			EPHA4 MMP2									EFNB3 EPHA4 VAV3		EFNB3 EPHA4 EPHA8 EPHB3 VAV3													EFNB3 EPHB3					EPHA4 EPHB3 MMP2			EFNB3 EPHA4 MMP2				EFNB3 EPHA4 EPHB3 MMP2 VAV3				EFNB3 EPHA4 MMP2	EPHA4 MMP2			EPHA4 EPHA8 EPHB3 MMP2					EFNB3 EPHA4 MMP2 VAV3			EFNB3 EPHA4	EFNB3 EPHA4 EPHB3				EFNB3 EPHA4								
REACTOME_EPH_EPHRIN_SIGNALING			EPHA4 MMP2 PAK3									EFNB3 EPHA4 VAV3		EFNB3 EPHA4 EPHA8 EPHB3 VAV3													EFNB3 EPHB3			EPHA8 PAK3		EPHA4 EPHB3 MMP2			EFNB3 EPHA4 MMP2 PAK3	EPHA8 PAK3			EFNB3 EPHA4 EPHB3 MMP2 PAK3 VAV3				EFNB3 EPHA4 MMP2				EPHA4 EPHA8 EPHB3 MMP2					EFNB3 EPHA4 MMP2 VAV3				EFNB3 EPHA4 EPHB3				EFNB3 EPHA4								
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT					ANK2 SPTBN4 TUBB4A								SPTBN4 TUBB4A																		ANK2 CNIH2 SPTBN4 TUBA1A TUBB2B														CNIH2 TUBA1A TUBB4A							ANK2 CNIH2 SPTBN4 TUBA1A TUBB4A																
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING																			AKT3 BCL2												AKT3 BCL2	AKT3 BCL2			AKT3 BCL2								AKT3 BCL2			AKT3 BCL2																						
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION			BGN ITGA7 JAM3 MMP2 SPARC SPOCK3 VCAN													ADAM12 COL12A1 LTBP2 MMP2 SPOCK3 VCAN		ADAM12 COL12A1 COL21A1 ITGA7 JAM3						BGN ITGA4 SPP1		FBN1 NCAM1 SPOCK3					ADAM12 COL12A1 FBN1 JAM3 NCAM1 SPOCK3 VCAN	COL21A1 COL22A1 JAM3 LTBP2 MMP2 SPARC SPOCK3 VCAN							COL21A1 COL22A1 ITGA4 MMP2 NCAM1 SPARC SPOCK3 VCAN								ADAM12 COL21A1 COL22A1 ITGA4 LTBP2 MMP2							BGN FBN1 ITGA4								COL22A1 FBN1 ITGA7 LTBP2						
